relation_id,task,carrier,feature_family,failure_mode,failure_location,failure_feature_family,failure_scale_band,failure_transform,localized_failure_count,diffuse_failure_count,failure_entropy,readiness_impact
three_way__stability_core_3,three_way,,stability_core_3,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.6;basis=distinct_failure_type_concentration_2_to_3_types
three_way__stability_core_3,three_way,,stability_core_3,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.6;basis=distinct_failure_type_concentration_2_to_3_types
three_way__stability_core_3,three_way,,stability_core_3,cohort_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.6;basis=distinct_failure_type_concentration_2_to_3_types
three_way__stability_core_3,three_way,,stability_core_3,transition_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.6;basis=distinct_failure_type_concentration_2_to_3_types
three_way__path_shares_only,three_way,,path_shares_only,feature_projection_sensitivity,feature_family,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
three_way__path_shares_only,three_way,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
three_way__path_shares_only,three_way,,path_shares_only,cohort_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
three_way__path_shares_only,three_way,,path_shares_only,transition_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
three_way__path_shares_only,three_way,,path_shares_only,structural_recomposition_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
three_way__path_shares_only,three_way,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
three_way__path_shares_only,three_way,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp2__path_shares_only,C_vs_Cp2,,path_shares_only,cohort_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp2__path_shares_only,C_vs_Cp2,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp2__path_shares_only,C_vs_Cp2,,path_shares_only,structural_recomposition_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp2__path_shares_only,C_vs_Cp2,,path_shares_only,transition_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp2__path_shares_only,C_vs_Cp2,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp2__path_shares_only,C_vs_Cp2,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,,geometry_scores_only,cohort_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,,geometry_scores_only,structural_recomposition_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,,geometry_scores_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,,geometry_scores_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,,geometry_scores_only,transition_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__path_shares_only,C_vs_Cp3,,path_shares_only,feature_projection_sensitivity,feature_family,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__path_shares_only,C_vs_Cp3,,path_shares_only,cohort_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__path_shares_only,C_vs_Cp3,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__path_shares_only,C_vs_Cp3,,path_shares_only,structural_recomposition_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__path_shares_only,C_vs_Cp3,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__path_shares_only,C_vs_Cp3,,path_shares_only,transition_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
C_vs_Cp3__path_shares_only,C_vs_Cp3,,path_shares_only,object_support_sensitivity,structural_resampling,,,,,,,failure_localization_score=0.35;basis=distinct_failure_type_concentration_more_than_3_types
