relation_id,task,carrier,feature_family,rig_status,readiness_score,readiness_class,readiness_blockers,readiness_limiter,score_basis,invariance_strength_score,failure_localization_score,repair_specificity_score,geometry_sufficiency_score,carrier_convergence_score,negative_control_contrast_score,survival_rate,tested_count,survival_count,failure_count,n_carriers_tested,n_carriers_survived,carrier_survival_rate,dominant_failure_mode,failure_localization_basis,repair_recommendation,repair_type,repair_specificity_basis,geometry_level,minimal_sufficient_geometry,geometry_sufficiency_basis,negative_control_group,negative_control_reference_score,negative_control_contrast,audit_notes
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stability_core_3,stable_reusable_invariant,0.7437965662544559,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9825948228464676,0.35,0.5,1.0,1.0,0.20647860542839225,0.9825948228464676,23.0,22.599680925468753,0.4003190745312466,6,6,1.0,,untyped_failure_row_evidence_fallback,preserve compact core; no repair needed,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.10323930271419612,artifact_scoped_intervention_readiness_audit
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,geometry_scores_only,redundant_reusable_invariant,0.7441939831976687,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9834779716091624,0.35,0.5,1.0,1.0,0.20824490295378184,0.9834779716091624,7.0,6.8843458012641365,0.11565419873586347,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.10412245147689092,artifact_scoped_intervention_readiness_audit
C_vs_Cp2__no_window,C_vs_Cp2,no_window,no_window,redundant_reusable_invariant,0.7516157830117779,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9999708600849608,0.35,0.5,1.0,1.0,0.24123067990537872,0.9999708600849608,7.0,6.999796020594726,0.00020397940527416836,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.12061533995268936,artifact_scoped_intervention_readiness_audit
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,stability_plus_geometry,redundant_reusable_invariant,0.7486147546898732,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.993301908258506,0.35,0.5,1.0,1.0,0.22789277625246895,0.993301908258506,7.0,6.953113357809542,0.046886642190457906,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.11394638812623448,artifact_scoped_intervention_readiness_audit
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,strict_numeric_all,redundant_reusable_invariant,0.7516157830117779,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9999708600849608,0.35,0.5,1.0,1.0,0.24123067990537872,0.9999708600849608,7.0,6.999796020594726,0.00020397940527416836,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.12061533995268936,artifact_scoped_intervention_readiness_audit
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_shares_only,weak_redundant_carrier,0.7061344508118645,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.8989012329740419,0.35,0.5,1.0,1.0,0.03909142568354085,0.8989012329740419,7.0,6.292308630818293,0.707691369181707,6,6,1.0,object_support_sensitivity,distinct_failure_type_concentration_more_than_3_types,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8972700406271032,0.019545712841770424,artifact_scoped_intervention_readiness_audit
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,stability_core_3,stable_reusable_invariant,0.7445886223422108,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9843549474859228,0.35,0.5,1.0,1.0,0.20999885470730262,0.9843549474859228,23.0,22.640163792176224,0.35983620782377557,6,6,1.0,,untyped_failure_row_evidence_fallback,preserve compact core; no repair needed,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.10499942735365131,artifact_scoped_intervention_readiness_audit
C_vs_Cp3__no_window,C_vs_Cp3,no_window,no_window,redundant_reusable_invariant,0.7516288959735455,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,1.0,0.35,0.5,1.0,1.0,0.24128895973545705,1.0,7.0,7.0,0.0,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.12064447986772853,artifact_scoped_intervention_readiness_audit
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,stability_plus_geometry,redundant_reusable_invariant,0.7453874774160225,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9861301809832822,0.35,0.5,1.0,1.0,0.21354932170202146,0.9861301809832822,7.0,6.902911266882976,0.09708873311702426,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.10677466085101073,artifact_scoped_intervention_readiness_audit
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,strict_numeric_all,redundant_reusable_invariant,0.7516288959735455,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,1.0,0.35,0.5,1.0,1.0,0.24128895973545705,1.0,7.0,7.0,0.0,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.12064447986772853,artifact_scoped_intervention_readiness_audit
