record_id,relation,target_carrier,target_score_basis,target_score_source,control_carrier,control_record_id,control_score_basis,control_score_source,carrier_contrast_delta,carrier_contrast_abs_delta,carrier_role_expected,carrier_role_observed,carrier_specificity_support,overbroad_carrier_flag,geometry_sharpening_flag,evidence_available,interpretation
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,geometry_scores_only,C_vs_Cp2__geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,-0.0008831487626947965,0.0008831487626947965,compact_primary_candidate,similar_or_redundant,weak,True,True,True,Carrier contrast is weak; carrier may be redundant or overbroad for this relation.
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,no_window,C_vs_Cp2__no_window,0.9999708600849608,obs080d_carrier_mean_ba,-0.017376037238493236,0.017376037238493236,compact_primary_candidate,similar_or_redundant,weak,True,False,True,Carrier contrast is weak; carrier may be redundant or overbroad for this relation.
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,stability_plus_geometry,C_vs_Cp2__stability_plus_geometry,0.993301908258506,obs080d_carrier_mean_ba,-0.010707085412038353,0.010707085412038353,compact_primary_candidate,similar_or_redundant,weak,True,True,True,Carrier contrast is weak; carrier may be redundant or overbroad for this relation.
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,strict_numeric_all,C_vs_Cp2__strict_numeric_all,0.9999708600849608,obs080d_carrier_mean_ba,-0.017376037238493236,0.017376037238493236,compact_primary_candidate,similar_or_redundant,weak,True,False,True,Carrier contrast is weak; carrier may be redundant or overbroad for this relation.
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,path_shares_only,C_vs_Cp2__path_shares_only,0.8989012329740419,obs080d_carrier_mean_ba,0.0836935898724257,0.0836935898724257,compact_primary_candidate,compact_sufficient_relative_to_control,moderate,False,False,True,Carrier contrast is moderate; carrier role is more differentiated for this relation.
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,stability_core_3,C_vs_Cp2__stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,0.0008831487626947965,0.0008831487626947965,geometry_only_control,similar_or_redundant,weak,True,True,True,Carrier contrast is weak; carrier may be redundant or overbroad for this relation.
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,no_window,C_vs_Cp2__no_window,0.9999708600849608,obs080d_carrier_mean_ba,-0.01649288847579844,0.01649288847579844,geometry_only_control,similar_or_redundant,weak,True,True,True,Carrier contrast is weak; carrier may be redundant or overbroad for this relation.
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,stability_plus_geometry,C_vs_Cp2__stability_plus_geometry,0.993301908258506,obs080d_carrier_mean_ba,-0.009823936649343556,0.009823936649343556,geometry_only_control,similar_or_redundant,weak,True,True,True,Carrier contrast is weak; carrier may be redundant or overbroad for this relation.
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,strict_numeric_all,C_vs_Cp2__strict_numeric_all,0.9999708600849608,obs080d_carrier_mean_ba,-0.01649288847579844,0.01649288847579844,geometry_only_control,similar_or_redundant,weak,True,True,True,Carrier contrast is weak; carrier may be redundant or overbroad for this relation.
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,path_shares_only,C_vs_Cp2__path_shares_only,0.8989012329740419,obs080d_carrier_mean_ba,0.0845767386351205,0.0845767386351205,geometry_only_control,geometry_sharpening_or_required_candidate,moderate,False,True,True,"Carrier contrast involves geometry; interpret as sharpening/necessity audit, not proof of intrinsic geometry."
