record_id,relation,carrier,obs081_rig_status,obs082_class,survival_score,survival_score_source,survival_evidence_available,relation_contrast_score,carrier_contrast_score,contract_contrast_score,geometry_contrast_score,permutation_contrast_score,negative_control_strength_score,negative_control_evidence_completeness,failure_localization_score,primary_failure_locus,localization_confidence,localization_evidence_basis,obs082_diffuse_prior_flag,repair_specificity_level,repair_specificity_score,candidate_metric_available,matched_negative_control_available_for_repair,c4_evidence_gate_passed,subclass,readiness_statement,primary_limiter,secondary_limiter,candidate_next_test_type,rationale,guardrail_note
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,,C: diagnostic-only,0.9825948228464676,obs080d_carrier_mean_ba,True,1.0,0.836935898724257,,0.10707085412038353,,0.5671413977353346,3/4_contrast_components_available,0.35,relation_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.567, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,,C: diagnostic-only,0.9834779716091624,obs080d_carrier_mean_ba,True,0.560244663678422,0.845767386351205,,0.10707085412038353,,0.4378642431269456,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.438, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__no_window,C_vs_Cp2,no_window,,C: diagnostic-only,0.9999708600849608,obs080d_carrier_mean_ba,True,0.0007229106060446799,1.0,,0.10707085412038353,,0.3162775012998709,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.316, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,,C: diagnostic-only,0.993301908258506,obs080d_carrier_mean_ba,True,0.16346372056677994,0.9440067528446405,,0.10707085412038353,,0.34830177014148367,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.348, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,,C: diagnostic-only,0.9999708600849608,obs080d_carrier_mean_ba,True,0.0009093546460758883,1.0,,0.10707085412038353,,0.3163334345118803,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.316, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,,C: diagnostic-only,0.8989012329740419,obs080d_carrier_mean_ba,True,0.7944869751864192,1.0,,0.10707085412038353,,0.5544067206739833,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.554, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,,C: diagnostic-only,0.9843549474859228,obs080d_carrier_mean_ba,True,1.0,0.6917038636398776,,0.017752334973594186,,0.5101740093380023,3/4_contrast_components_available,0.35,relation_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.510, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__no_window,C_vs_Cp3,no_window,,C: diagnostic-only,1.0,obs080d_carrier_mean_ba,True,0.001014309756436349,0.8481543887806497,,0.017752334973594186,,0.25741345980716496,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.257, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,,C: diagnostic-only,0.9861301809832822,obs080d_carrier_mean_ba,True,0.09689483543629418,0.7094561986134718,,0.017752334973594186,,0.2445681604609689,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.245, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,,C: diagnostic-only,1.0,obs080d_carrier_mean_ba,True,0.0012007537964675574,0.8481543887806497,,0.017752334973594186,,0.2574693930191743,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.257, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,,C: diagnostic-only,0.9456003308059068,obs080d_carrier_mean_ba,True,0.5349374140810925,0.5439966919409323,,0.017752334973594186,,0.32634308205264656,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.326, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,,C: diagnostic-only,0.915184561121935,obs080d_carrier_mean_ba,True,0.9573202566653505,0.8481543887806497,,0.017752334973594186,,0.5443052438798393,3/4_contrast_components_available,0.35,relation_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.544, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,,C: diagnostic-only,0.999094072214016,obs080d_carrier_mean_ba,True,0.7164056697269583,1.0,,1.0,,0.6649217009180876,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C2_localization-limited,diagnostic-only,failure_localization,repair_specificity,localization,"Assigned C2_localization-limited: N=0.665, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,,C: diagnostic-only,1.0,obs080d_carrier_mean_ba,True,0.001014309756436349,1.0,,1.0,,0.45030429292693086,3/4_contrast_components_available,0.35,carrier_local,weak,contrast_proxy_only,True,R3,0.55,False,False,False,C1_contrast-limited,diagnostic-only,negative_control_contrast,localization_or_repair_secondary,matched_controls,"Assigned C1_contrast-limited: N=0.450, L=0.350, Q=0.550; localization_basis=contrast_proxy_only; repair_level=R3; C4_evidence_gate=failed. C4 remains diagnostic-only if assigned.",OBS-083 is a diagnostic refinement audit only: no interventions performed; no causality/control/actionability claims; C4 remains diagnostic-only. v2 uses OBS-082 diffuse/generic priors and evidence-completeness gates.
