record_id,obs082_class,obs083_subclass,obs082_negative_control_score,obs083_negative_control_score,delta_negative_control,obs082_failure_localization_score,obs083_failure_localization_score,delta_failure_localization,obs082_repair_specificity_score,obs083_repair_specificity_score,delta_repair_specificity,status_change_summary
C_vs_Cp2__stability_core_3,C: diagnostic-only,C2_localization-limited,0.2064786054283922,0.5671413977353346,0.36066279230694237,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp2__geometry_scores_only,C: diagnostic-only,C1_contrast-limited,0.2082449029537818,0.4378642431269456,0.2296193401731638,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp2__no_window,C: diagnostic-only,C1_contrast-limited,0.2412306799053787,0.3162775012998709,0.07504682139449223,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp2__stability_plus_geometry,C: diagnostic-only,C1_contrast-limited,0.2278927762524689,0.34830177014148367,0.12040899388901477,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp2__strict_numeric_all,C: diagnostic-only,C1_contrast-limited,0.2412306799053787,0.3163334345118803,0.07510275460650159,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp2__path_shares_only,C: diagnostic-only,C2_localization-limited,0.0390914256835408,0.5544067206739833,0.5153152949904425,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp3__stability_core_3,C: diagnostic-only,C2_localization-limited,0.2099988547073026,0.5101740093380023,0.30017515463069966,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp3__no_window,C: diagnostic-only,C1_contrast-limited,0.241288959735457,0.25741345980716496,0.01612450007170796,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp3__stability_plus_geometry,C: diagnostic-only,C1_contrast-limited,0.2135493217020214,0.2445681604609689,0.03101883875894751,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp3__strict_numeric_all,C: diagnostic-only,C1_contrast-limited,0.241288959735457,0.2574693930191743,0.01618043328371732,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp3__geometry_scores_only,C: diagnostic-only,C1_contrast-limited,0.1324896213472706,0.32634308205264656,0.19385346070537596,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
C_vs_Cp3__path_shares_only,C: diagnostic-only,C2_localization-limited,0.0716580819793271,0.5443052438798393,0.47264716190051215,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
Cp2_vs_Cp3__geometry_scores_only,C: diagnostic-only,C2_localization-limited,0.2394771041634891,0.6649217009180876,0.42544459675459845,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
Cp2_vs_Cp3__no_window,C: diagnostic-only,C1_contrast-limited,0.241288959735457,0.45030429292693086,0.20901533319147386,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
Cp2_vs_Cp3__path_shares_only,C: diagnostic-only,C2_localization-limited,0.083337391832573,0.6869273518543261,0.6035899600217531,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
Cp2_vs_Cp3__stability_plus_geometry,C: diagnostic-only,C2_localization-limited,0.2329282887892803,0.5065923849752509,0.27366409618597065,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
Cp2_vs_Cp3__strict_numeric_all,C: diagnostic-only,C1_contrast-limited,0.241288959735457,0.4503602261389402,0.20907126640348322,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
Cp2_vs_Cp3__stability_core_3,C: diagnostic-only,C2_localization-limited,0.0243834302416345,0.7467107093797279,0.7223272791380935,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
three_way__geometry_scores_only,C: diagnostic-only,C2_localization-limited,0.0961959702180974,0.6649217009180876,0.5687257306999901,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
three_way__no_window,C: diagnostic-only,C1_contrast-limited,0.2410860977841697,0.45030429292693086,0.20921819514276116,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
three_way__stability_plus_geometry,C: diagnostic-only,C2_localization-limited,0.1952000321391129,0.5065923849752509,0.31139235283613803,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
three_way__strict_numeric_all,C: diagnostic-only,C1_contrast-limited,0.2410488089761635,0.4503602261389402,0.20931141716277674,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
three_way__path_shares_only,C: diagnostic-only,C2_localization-limited,0.0,0.75,0.75,0.35,0.35,0.0,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
three_way__stability_core_3,C: diagnostic-only,C2_localization-limited,0.0,0.75,0.75,0.6,0.35,-0.25,0.5,0.55,0.050000000000000044,OBS-083 refines Class C only; no actionability or candidate-ready promotion claimed.
