record_id,relation,carrier,target_score_basis,target_score_source,control_relation,control_record_id,control_score_basis,control_score_source,relation_contrast_delta,relation_contrast_abs_delta,specificity_direction,expected_direction,contrast_support,evidence_available,interpretation
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__stability_core_3,0.9843549474859228,obs080d_carrier_mean_ba,-0.001760124639455185,0.001760124639455185,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__stability_core_3,0.8854513776926801,obs080d_carrier_mean_ba,0.09714344515378748,0.09714344515378748,target_stronger,target_may_be_stronger,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,0.9825948228464676,obs080d_carrier_mean_ba,three_way,three_way__stability_core_3,0.8732596625718628,obs080d_carrier_mean_ba,0.10933516027460477,0.10933516027460477,target_stronger,target_may_be_stronger,strong,True,"Matched relation contrast is strong enough to support specificity evidence, subject to other limiters."
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__geometry_scores_only,0.9456003308059068,obs080d_carrier_mean_ba,0.03787764080325562,0.03787764080325562,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__geometry_scores_only,0.999094072214016,obs080d_carrier_mean_ba,-0.015616100604853633,0.015616100604853633,target_weaker,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,0.9834779716091624,obs080d_carrier_mean_ba,three_way,three_way__geometry_scores_only,0.9274535052413202,obs080d_carrier_mean_ba,0.056024466367842196,0.056024466367842196,target_stronger,target_may_be_stronger,moderate,True,Matched relation contrast is moderate; useful but not sufficient alone.
C_vs_Cp2__no_window,C_vs_Cp2,no_window,0.9999708600849608,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__no_window,1.0,obs080d_carrier_mean_ba,-2.9139915039166908e-05,2.9139915039166908e-05,target_weaker,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__no_window,C_vs_Cp2,no_window,0.9999708600849608,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__no_window,1.0,obs080d_carrier_mean_ba,-2.9139915039166908e-05,2.9139915039166908e-05,target_weaker,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__no_window,C_vs_Cp2,no_window,0.9999708600849608,obs080d_carrier_mean_ba,three_way,three_way__no_window,0.9998985690243564,obs080d_carrier_mean_ba,7.2291060604468e-05,7.2291060604468e-05,target_stronger,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,0.993301908258506,obs080d_carrier_mean_ba,C_vs_Cp3,C_vs_Cp3__stability_plus_geometry,0.9861301809832822,obs080d_carrier_mean_ba,0.007171727275223749,0.007171727275223749,target_stronger,no_predeclared_direction,weak,True,Matched relation contrast is weak; relation specificity remains limited.
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,0.993301908258506,obs080d_carrier_mean_ba,Cp2_vs_Cp3,Cp2_vs_Cp3__stability_plus_geometry,0.9958196645269116,obs080d_carrier_mean_ba,-0.0025177562684056687,0.0025177562684056687,target_weaker,target_may_be_stronger,weak,True,Matched relation contrast is weak; relation specificity remains limited.
