record_id,relation,subclass,confirmation_eligible,partition,row_count,unique_clusters,class_cluster_counts_json,min_class_clusters,class_mapping_resolved,balance_pass,limitation
C_vs_Cp2__stability_core_3,C_vs_Cp2,C2_localization-limited,True,discovery,60,4,"{""C"": 4, ""Cp2"": 4}",4,True,True,
C_vs_Cp2__stability_core_3,C_vs_Cp2,C2_localization-limited,True,confirmation,49,4,"{""C"": 4, ""Cp2"": 3}",3,True,True,
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,C1_contrast-limited,False,discovery,60,4,"{""C"": 4, ""Cp2"": 4}",4,True,True,
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,C1_contrast-limited,False,confirmation,49,4,"{""C"": 4, ""Cp2"": 3}",3,True,True,
C_vs_Cp2__no_window,C_vs_Cp2,C1_contrast-limited,False,discovery,60,4,"{""C"": 4, ""Cp2"": 4}",4,True,True,
C_vs_Cp2__no_window,C_vs_Cp2,C1_contrast-limited,False,confirmation,49,4,"{""C"": 4, ""Cp2"": 3}",3,True,True,
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,C1_contrast-limited,False,discovery,60,4,"{""C"": 4, ""Cp2"": 4}",4,True,True,
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,C1_contrast-limited,False,confirmation,49,4,"{""C"": 4, ""Cp2"": 3}",3,True,True,
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,C1_contrast-limited,False,discovery,60,4,"{""C"": 4, ""Cp2"": 4}",4,True,True,
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,C1_contrast-limited,False,confirmation,49,4,"{""C"": 4, ""Cp2"": 3}",3,True,True,
C_vs_Cp2__path_shares_only,C_vs_Cp2,C2_localization-limited,True,discovery,60,4,"{""C"": 4, ""Cp2"": 4}",4,True,True,
C_vs_Cp2__path_shares_only,C_vs_Cp2,C2_localization-limited,True,confirmation,49,4,"{""C"": 4, ""Cp2"": 3}",3,True,True,
C_vs_Cp3__stability_core_3,C_vs_Cp3,C2_localization-limited,True,discovery,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__stability_core_3,C_vs_Cp3,C2_localization-limited,True,confirmation,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__no_window,C_vs_Cp3,C1_contrast-limited,False,discovery,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__no_window,C_vs_Cp3,C1_contrast-limited,False,confirmation,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,C1_contrast-limited,False,discovery,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,C1_contrast-limited,False,confirmation,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,C1_contrast-limited,False,discovery,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,C1_contrast-limited,False,confirmation,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,C1_contrast-limited,False,discovery,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,C1_contrast-limited,False,confirmation,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__path_shares_only,C_vs_Cp3,C2_localization-limited,True,discovery,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
C_vs_Cp3__path_shares_only,C_vs_Cp3,C2_localization-limited,True,confirmation,54,4,"{""C"": 4, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,C2_localization-limited,True,discovery,66,4,"{""Cp2"": 4, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,C2_localization-limited,True,confirmation,53,4,"{""Cp2"": 3, ""Cp3"": 3}",3,True,True,
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,C1_contrast-limited,False,discovery,66,4,"{""Cp2"": 4, ""Cp3"": 3}",3,True,True,
