carrier,feature_name,feature_index,feature_present,predictor_allowed,canonical_contract_override,exact_canonical_contract,expected_feature_count,emitted_feature_count,ordered_exact_match,resolution_rule,resolution_status,obs080c_manifest_sha256,obs080d_manifest_sha256
stability_core_3,mean_lambda_local_mean,0,True,True,True,True,3,3,True,exact canonical three-feature core,resolved_exact_canonical_core,,
stability_core_3,mean_delta_d_mean,1,True,True,True,True,3,3,True,exact canonical three-feature core,resolved_exact_canonical_core,,
stability_core_3,bounded_share_mean,2,True,True,True,True,3,3,True,exact canonical three-feature core,resolved_exact_canonical_core,,
geometry_scores_only,centroid_drift,0,True,True,True,True,7,7,True,exact OBS-080c/080d geometry_scores_only contract; manifests must agree in order and content,resolved_from_agreeing_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
geometry_scores_only,id_score,1,True,True,True,True,7,7,True,exact OBS-080c/080d geometry_scores_only contract; manifests must agree in order and content,resolved_from_agreeing_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
geometry_scores_only,jaccard_loss,2,True,True,True,True,7,7,True,exact OBS-080c/080d geometry_scores_only contract; manifests must agree in order and content,resolved_from_agreeing_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
geometry_scores_only,overlap_score,3,True,True,True,True,7,7,True,exact OBS-080c/080d geometry_scores_only contract; manifests must agree in order and content,resolved_from_agreeing_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
geometry_scores_only,pinch_score_total,4,True,True,True,True,7,7,True,exact OBS-080c/080d geometry_scores_only contract; manifests must agree in order and content,resolved_from_agreeing_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
geometry_scores_only,shape_score,5,True,True,True,True,7,7,True,exact OBS-080c/080d geometry_scores_only contract; manifests must agree in order and content,resolved_from_agreeing_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
geometry_scores_only,support_score,6,True,True,True,True,7,7,True,exact OBS-080c/080d geometry_scores_only contract; manifests must agree in order and content,resolved_from_agreeing_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
path_shares_only,bounded_share_mean,0,True,True,True,False,4,4,True,numeric non-leakage fields matching path/share vocabulary,proposed_auto,,
path_shares_only,bounded_share_z,1,True,True,False,False,4,4,True,numeric non-leakage fields matching path/share vocabulary,proposed_auto,,
path_shares_only,proj__outcome_group__nonrecovering__global_share,2,True,True,False,False,4,4,True,numeric non-leakage fields matching path/share vocabulary,proposed_auto,,
path_shares_only,proj__outcome_group__recovering__global_share,3,True,True,False,False,4,4,True,numeric non-leakage fields matching path/share vocabulary,proposed_auto,,
stability_plus_geometry,mean_lambda_local_mean,0,True,True,True,True,10,10,True,exact ordered union of canonical stability core and canonical OBS-080 geometry contract,resolved_from_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
stability_plus_geometry,mean_delta_d_mean,1,True,True,True,True,10,10,True,exact ordered union of canonical stability core and canonical OBS-080 geometry contract,resolved_from_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
stability_plus_geometry,bounded_share_mean,2,True,True,True,True,10,10,True,exact ordered union of canonical stability core and canonical OBS-080 geometry contract,resolved_from_canonical_manifests,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940
