observation_key,row_index,cluster_unit,cluster_id,class_value,partition,partition_seed,discovery_fraction
C|density_core|after|5|6,0,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|before|5|6,1,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|entered|5|6,2,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|exited|5|6,3,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|persisted|5|6,4,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|union|5|6,5,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|after|2|3,6,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|before|2|3,7,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|entered|2|3,8,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|exited|2|3,9,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|persisted|2|3,10,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|density_core|union|2|3,11,object,density_core,C,discovery,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|after|5|6,12,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|before|5|6,13,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|entered|5|6,14,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|exited|5|6,15,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|persisted|5|6,16,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|union|5|6,17,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_negative|after|3|4,18,object,coupling_negative,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_negative|before|3|4,19,object,coupling_negative,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_negative|entered|3|4,20,object,coupling_negative,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_negative|exited|3|4,21,object,coupling_negative,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_negative|persisted|3|4,22,object,coupling_negative,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_negative|union|3|4,23,object,coupling_negative,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|response_ridge|after|6|7,24,object,response_ridge,C,discovery,obs084a-two-way-freeze-v1,0.67
C|response_ridge|before|6|7,25,object,response_ridge,C,discovery,obs084a-two-way-freeze-v1,0.67
C|response_ridge|persisted|6|7,26,object,response_ridge,C,discovery,obs084a-two-way-freeze-v1,0.67
C|response_ridge|union|6|7,27,object,response_ridge,C,discovery,obs084a-two-way-freeze-v1,0.67
C|frobenius_ridge|after|6|7,28,object,frobenius_ridge,C,discovery,obs084a-two-way-freeze-v1,0.67
C|frobenius_ridge|before|6|7,29,object,frobenius_ridge,C,discovery,obs084a-two-way-freeze-v1,0.67
C|frobenius_ridge|persisted|6|7,30,object,frobenius_ridge,C,discovery,obs084a-two-way-freeze-v1,0.67
C|frobenius_ridge|union|6|7,31,object,frobenius_ridge,C,discovery,obs084a-two-way-freeze-v1,0.67
C|lazarus_concentration|after|6|7,32,object,lazarus_concentration,C,discovery,obs084a-two-way-freeze-v1,0.67
C|lazarus_concentration|before|6|7,33,object,lazarus_concentration,C,discovery,obs084a-two-way-freeze-v1,0.67
C|lazarus_concentration|persisted|6|7,34,object,lazarus_concentration,C,discovery,obs084a-two-way-freeze-v1,0.67
C|lazarus_concentration|union|6|7,35,object,lazarus_concentration,C,discovery,obs084a-two-way-freeze-v1,0.67
C|energy_ridge|after|6|7,36,object,energy_ridge,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|energy_ridge|before|6|7,37,object,energy_ridge,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|energy_ridge|persisted|6|7,38,object,energy_ridge,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|energy_ridge|union|6|7,39,object,energy_ridge,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_positive|after|6|7,40,object,coupling_positive,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_positive|before|6|7,41,object,coupling_positive,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_positive|persisted|6|7,42,object,coupling_positive,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|coupling_positive|union|6|7,43,object,coupling_positive,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|after|2|3,44,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|before|2|3,45,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|exited|2|3,46,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|persisted|2|3,47,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
C|seam_proxy|union|2|3,48,object,seam_proxy,C,confirmation,obs084a-two-way-freeze-v1,0.67
Cp2|response_ridge|after|4|5,49,object,response_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|response_ridge|before|4|5,50,object,response_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|response_ridge|entered|4|5,51,object,response_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|response_ridge|exited|4|5,52,object,response_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|response_ridge|persisted|4|5,53,object,response_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|response_ridge|union|4|5,54,object,response_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|frobenius_ridge|after|4|5,55,object,frobenius_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|frobenius_ridge|before|4|5,56,object,frobenius_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|frobenius_ridge|entered|4|5,57,object,frobenius_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|frobenius_ridge|exited|4|5,58,object,frobenius_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|frobenius_ridge|persisted|4|5,59,object,frobenius_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|frobenius_ridge|union|4|5,60,object,frobenius_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|lazarus_concentration|after|6|7,61,object,lazarus_concentration,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|lazarus_concentration|before|6|7,62,object,lazarus_concentration,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|lazarus_concentration|entered|6|7,63,object,lazarus_concentration,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|lazarus_concentration|exited|6|7,64,object,lazarus_concentration,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|lazarus_concentration|persisted|6|7,65,object,lazarus_concentration,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|lazarus_concentration|union|6|7,66,object,lazarus_concentration,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
Cp2|frobenius_ridge|after|5|6,67,object,frobenius_ridge,Cp2,discovery,obs084a-two-way-freeze-v1,0.67
