candidate_id,record_id,relation,carrier,subclass,confirmation_eligible,failure_predicate,failure_mode,support_definition,support_query_json,metric,expected_direction,threshold_basis,minimum_effect,discovery_site_relative_contrast,confirmation_site_relative_contrast,direction_match,n_site_rows,n_complement_rows,n_site_clusters,n_complement_clusters,n_shared_clusters,complement_admissible,predicate_semantics_pass,minimum_effect_pass,confirmation_bootstrap_ci_low,confirmation_bootstrap_ci_high,confirmation_direction_consistency,confirmation_loo_successful_count,cluster_sensitivity_pass,confirmation_permutation_p,confirmation_q_sealed_family,confirmation_multiplicity_pass,admissible_control_count,median_control_site_relative_contrast,median_control_adjusted_contrast,positive_control_adjusted_share,control_robustness_pass,control_robustness_status,protocol_match,protocol_notes,confirmation_status,confirmation_fl_maturity,confirmation_claim_scope
OBS084B-a69d98b6b8217d4059ce,C_vs_Cp3__no_window,C_vs_Cp3,no_window,C1_contrast-limited,False,relation_separation_attenuation,attenuation,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",margin_loss,site_greater_than_complement,predeclared minimum true-class-margin attenuation,0.1,0.6598778159816858,0.2149024381953582,True,9,45,3,4,3,True,True,True,0.015556384884044316,0.44240585210031685,1.0,2,True,0.004995004995004995,0.06493506493506493,True,8,0.1625211573695801,0.052381280825778115,0.625,True,control_adjusted_signal,True,,confirmation_reproduced_but_claim_capped_at_fl2,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-51b6faee33ac6cc790bd,C_vs_Cp2__no_window,C_vs_Cp2,no_window,C1_contrast-limited,False,log_loss_attenuation,attenuation,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",log_loss,site_greater_than_complement,predeclared minimum class-balanced log-loss increase,0.1,1.209437390265377,0.3039262169043379,True,13,36,4,4,4,True,True,True,0.08561420050346305,1.0447184416564765,1.0,3,True,0.016983016983016984,0.1103896103896104,False,8,0.15713852182611876,0.14678769507821915,0.875,True,control_adjusted_signal,True,,confirmation_multiplicity_not_survived,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-7ec663ae1af7424b1b72,C_vs_Cp2__no_window,C_vs_Cp2,no_window,C1_contrast-limited,False,relation_separation_attenuation,attenuation,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",margin_loss,site_greater_than_complement,predeclared minimum true-class-margin attenuation,0.1,0.8240949830415584,0.1590578389778226,True,13,36,4,4,4,True,True,True,0.03919094883662655,0.46100694859220387,1.0,3,True,0.1008991008991009,0.4372294372294372,False,8,0.09602668828116018,0.06303115069666243,0.625,True,control_adjusted_signal,True,,confirmation_multiplicity_not_survived,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-5c75c4f7df387f78f22c,C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,C1_contrast-limited,False,relation_separation_attenuation,attenuation,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",margin_loss,site_greater_than_complement,predeclared minimum true-class-margin attenuation,0.1,0.7361910909577157,0.1329901008100164,True,9,45,3,4,3,True,True,True,0.08342280290070692,0.18476196469767114,1.0,2,True,0.4995004995004995,1.0,False,8,0.19044345697834789,-0.0574533561683315,0.375,False,control_explained,True,,confirmation_control_explained,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-590dc8c788380700d526,C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,C1_contrast-limited,False,relation_separation_attenuation,attenuation,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",margin_loss,site_greater_than_complement,predeclared minimum true-class-margin attenuation,0.1,0.7950973021017317,0.10429575457673312,True,13,36,4,4,4,True,True,True,-0.03574797197609991,0.5352957751837074,1.0,3,False,0.2777222777222777,0.9025974025974025,False,8,0.11037386139780181,-0.006078106821068685,0.5,False,control_explained,True,,confirmation_uncertain_cluster_support,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-2f8f8e8bd729832e4f1c,C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,C1_contrast-limited,False,relation_separation_attenuation,attenuation,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",margin_loss,site_greater_than_complement,predeclared minimum true-class-margin attenuation,0.1,0.5790234780551029,0.08775762198558723,True,13,36,4,4,4,True,True,False,-0.09186541920771235,0.3110221256451754,0.6666666666666666,3,False,0.8321678321678322,1.0,False,8,0.13167679677727787,-0.043919174791690635,0.375,False,control_explained,True,,confirmation_signal_absent,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-c811fbc12bffe9acee2f,C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,C1_contrast-limited,False,relation_separation_attenuation,attenuation,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",margin_loss,site_greater_than_complement,predeclared minimum true-class-margin attenuation,0.1,0.5214657539450481,0.027643346893119702,True,13,36,4,4,4,True,True,False,-0.16162383274824865,0.4177410777271632,0.3333333333333333,3,False,0.5824175824175825,1.0,False,8,0.13167679677727787,-0.10403344988415816,0.125,False,control_explained,True,,confirmation_signal_absent,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-f4375eb30e72ed220004,C_vs_Cp2__no_window,C_vs_Cp2,no_window,C1_contrast-limited,False,local_criterion_breach,threshold_breach,scale_band:scale_band=early AND seam_relative:seam_relative_region=near,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}, {""column"": ""seam_relative_region"", ""operator"": ""eq"", ""support_family"": ""seam_relative"", ""value"": ""near""}]",misclassification_loss,site_greater_than_complement,registry threshold crossed locally while complement remains above threshold,0.1,0.5,0.07575757575757575,True,13,36,4,4,4,True,True,False,0.0,0.35714285714285715,0.6666666666666666,3,False,0.46153846153846156,1.0,False,8,0.06450216450216453,0.011255411255411213,0.5,False,control_explained,True,,confirmation_signal_absent,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-0f82f9c3b220ffa08e45,C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,C1_contrast-limited,False,relation_separation_attenuation,attenuation,scale_band:scale_band=early,"[{""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""early""}]",margin_loss,site_greater_than_complement,predeclared minimum true-class-margin attenuation,0.1,0.7647240853084731,,False,35,14,4,3,3,False,True,False,,,,0,False,1.0,1.0,False,1,0.37489203203391397,,0.0,False,control_explained,True,,confirmation_complement_inadmissible,FL2_unconfirmed,no FL3 claim entitlement
OBS084B-11e1ddfaec94b8ba1e20,C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,C1_contrast-limited,False,relation_separation_attenuation,attenuation,transition:transition=5→6 AND scale_band:scale_band=middle,"[{""column"": ""transition"", ""operator"": ""eq"", ""support_family"": ""transition"", ""value"": ""5\u21926""}, {""column"": ""scale_band"", ""operator"": ""eq"", ""support_family"": ""scale_band"", ""value"": ""middle""}]",margin_loss,site_greater_than_complement,predeclared minimum true-class-margin attenuation,0.1,0.613683918189107,-0.6135096542464351,False,12,42,1,4,1,False,True,False,-0.743186029826989,-0.1013824818285079,0.0,3,False,1.0,1.0,False,0,,,,False,no_admissible_controls,True,,confirmation_complement_inadmissible,FL2_unconfirmed,no FL3 claim entitlement
