record_id,support_id,failure_predicate,failure_mode,control_record_id,control_family,control_relation,control_carrier,target_site_relative_contrast,control_site_relative_contrast,control_adjusted_contrast,control_complement_admissible,control_site_rows,control_complement_rows,control_shared_clusters,control_status,control_admissibility_rule,candidate_id,confirmation_partition_id,row_type,admissible_control_count,alternative_control_count,median_control_site_relative_contrast,median_control_adjusted_contrast,positive_control_adjusted_share,control_robustness_pass,control_robustness_status,eligible_control_records_json
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp3__geometry_scores_only,relation_control,C_vs_Cp3,geometry_scores_only,,0.37489203203391397,,True,28.0,26.0,2.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-0f82f9c3b220ffa08e45,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,Cp2_vs_Cp3__geometry_scores_only,relation_control,Cp2_vs_Cp3,geometry_scores_only,,,,False,41.0,12.0,2.0,inadmissible_complement,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-0f82f9c3b220ffa08e45,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,three_way__geometry_scores_only,relation_control,three_way,geometry_scores_only,,,,False,52.0,26.0,3.0,inadmissible_complement,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-0f82f9c3b220ffa08e45,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,,,,False,35.0,14.0,3.0,inadmissible_complement,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-0f82f9c3b220ffa08e45,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__no_window,carrier_control,C_vs_Cp2,no_window,,,,False,35.0,14.0,3.0,inadmissible_complement,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-0f82f9c3b220ffa08e45,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_plus_geometry,carrier_control,C_vs_Cp2,stability_plus_geometry,,,,False,35.0,14.0,3.0,inadmissible_complement,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-0f82f9c3b220ffa08e45,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,,,,False,35.0,14.0,3.0,inadmissible_complement,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-0f82f9c3b220ffa08e45,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,,,,False,35.0,14.0,3.0,inadmissible_complement,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-0f82f9c3b220ffa08e45,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,C_vs_Cp3__geometry_scores_only,relation_control,C_vs_Cp3,geometry_scores_only,,0.19919786096256686,,True,28.0,26.0,2.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-34d66eb07912a939e6bf,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,Cp2_vs_Cp3__geometry_scores_only,relation_control,Cp2_vs_Cp3,geometry_scores_only,,,,False,41.0,12.0,2.0,inadmissible_complement,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-34d66eb07912a939e6bf,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
