artifact_role,artifact_path,exists,sha256,obs084a_freeze_manifest_id
obs084a_freeze_manifest,outputs/rig_registry/obs084_direct_failure_witness/bridge_resolution/obs084a_freeze_manifest.json,True,03b06c37945d82655814548595281264ef46faa62e40d9a130c8dec46dc0aa8a,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
canonical_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_table.csv,True,936802c75f758ab3b798d6c669e1cbc04323c2f1f610b5f7f39ad71c5437b6ca,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
canonical_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_manifest.csv,True,94ebfffb360c3d4f65d4ca480e65275ba651fa1b31d8dedf550222f6c58d1fe4,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,True,23b151b794a6d50aff9a5febe68c9478a52644974f959db62236d34bac283672,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,True,9956be0583256642827694e9694a8ba1f1c97616fc2cc6d132505be90ad823fc,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
numeric_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,True,b3706215227eeb5b2d000ebeace34ece2a902d46c6ba1fc1841ba3b1986174ad,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,True,daaffddaca8dfe402348b889f627b25b30103fac4c94a7d2298181b4295c590b,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
feature_contract_predictions,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,True,a09ca38d92a6d63a437e9402035a854190aa767447caee10b7c2a32ab3fe4c9a,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
structural_resampling_summary,outputs/comparisons/obs080d_structural_resampling_contract_sensitivity/obs080d_bootstrap_summary.csv,True,39762e5b3410d221566898d71eaaafc3601dd15db9e4920060f022e8bd46a6cb,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
registry,outputs/rig_registry/rig_relation_registry.csv,True,211d6270d948503ffda4a866558ca95fec0bc9fe99a5fe201616b842389ae631,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs083_subclasses,outputs/rig_registry/obs083_negative_control_localization/obs083_diagnostic_subclass_assignments.csv,True,c3fd28c1bbc31dde900cedf9ed6ea3b3f40cddbfb64d642e5521461b5a186701,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs083_relation_controls,outputs/rig_registry/obs083_negative_control_localization/obs083_relation_control_contrast.csv,True,d8362e49c97d1ba8566ab9704b400139e0315c5dd7f6201be891deb8032c70a9,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs083_carrier_controls,outputs/rig_registry/obs083_negative_control_localization/obs083_carrier_control_contrast.csv,True,58f0451b2b321fc4c192464134fb70566404ed4d169e41dee89204d90f5c37c5,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
canonical_geometry_contract_manifest,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_manifest.csv,True,8a21e7ab2ed24f3a5b544b6f46e8aa60bd592558478085252a49a93b421e132d,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
canonical_geometry_contract_manifest,outputs/comparisons/obs080d_structural_resampling_contract_sensitivity/obs080d_feature_contract_manifest.csv,True,f927eafec401d4aabc2934cc6d1ea366a428014cbfd0b3458bbee38fc16ae940,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
freeze_script,/Users/rvl/Desktop/LAB/pam-research/experiments/studies/obs084a_bridge_resolution_and_partition_freeze.py,True,8af100c08550526b08be5c7b0202572dc974abc6173676fb2c0589225ae8d6f3,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs084b_candidate_json,outputs/rig_registry/obs084_direct_failure_witness/discovery/obs084b_candidate_freeze_manifest.json,True,4deb25d622ab1ecb377d32468975aea6c332f18c2a88b64aa3cc1c67fef29167,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs084b_candidate_csv,outputs/rig_registry/obs084_direct_failure_witness/discovery/obs084b_candidate_freeze_manifest.csv,True,06575ec3bf85143f5ef3c11d18ae785f81019ae5470e2fa587c2ca0da5773f0f,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs084b_thresholds,outputs/rig_registry/obs084_direct_failure_witness/discovery/obs084b_support_thresholds.csv,True,38b97c1f3a6a822460a131907564eb29e2575ce46da3f750f3cb0d4fdcc2f49f,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs084b_input_manifest,outputs/rig_registry/obs084_direct_failure_witness/discovery/obs084b_input_manifest.csv,True,34b9c0adac5b19f93c12bd70b4bd6b6fb10c6762bfc3c6d5e25b045b20c268b3,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs084b_summary,outputs/rig_registry/obs084_direct_failure_witness/discovery/obs084b_discovery_summary.csv,True,d901c765af1428faafdaa210cb5d84b327f57eb633398d838e69eb34d2e803e1,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs084b_report,outputs/rig_registry/obs084_direct_failure_witness/discovery/obs084b_discovery_report.md,True,0db812dd7e20d1944b14c2d8e4208f695c380c27d76c3e23ef5a00fb638dc6cb,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs084b_script,experiments/studies/obs084b_direct_failure_support_discovery.py,True,7fcefb62fd43bff1da05ea4faa9e6554c0d487fa132795b120b3ced6224b90c3,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
obs084c_script,experiments/studies/obs084c_direct_failure_support_confirmation.py,True,5090aefa7dfde231a95ed65982af45c8f9af40cb323cba84ba199590b8c36c9c,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d
