record_id,support_id,failure_predicate,failure_mode,control_record_id,control_family,control_relation,control_carrier,target_site_relative_contrast,control_site_relative_contrast,control_adjusted_contrast,control_complement_admissible,control_site_rows,control_complement_rows,control_shared_clusters,control_status,control_admissibility_rule
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp3__geometry_scores_only,relation_control,C_vs_Cp3,geometry_scores_only,0.7647240853084731,0.46897892059241447,0.29574516471605866,True,24,30,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,Cp2_vs_Cp3__geometry_scores_only,relation_control,Cp2_vs_Cp3,geometry_scores_only,0.7647240853084731,-0.050242760723179236,0.8149668460316524,True,36,30,2,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,three_way__geometry_scores_only,relation_control,three_way,geometry_scores_only,0.7647240853084731,0.3481124729110551,0.416611612397418,True,42,48,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,0.7647240853084731,0.24715191611961074,0.5175721691888624,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__no_window,carrier_control,C_vs_Cp2,no_window,0.7647240853084731,0.698670239746497,0.06605384556197613,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_plus_geometry,carrier_control,C_vs_Cp2,stability_plus_geometry,0.7647240853084731,0.4606253437028822,0.3040987416055909,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,0.7647240853084731,0.6352421785474818,0.12948190676099136,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,relation_separation_attenuation,attenuation,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,0.7647240853084731,0.18758011353845216,0.577143971770021,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,C_vs_Cp3__geometry_scores_only,relation_control,C_vs_Cp3,geometry_scores_only,0.6666666666666666,0.33333333333333337,0.33333333333333326,True,24,30,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,Cp2_vs_Cp3__geometry_scores_only,relation_control,Cp2_vs_Cp3,geometry_scores_only,0.6666666666666666,-0.16666666666666666,0.8333333333333333,True,36,30,2,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,three_way__geometry_scores_only,relation_control,three_way,geometry_scores_only,0.6666666666666666,0.2222222222222222,0.4444444444444444,True,42,48,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,0.6666666666666666,0.05555555555555555,0.611111111111111,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,C_vs_Cp2__no_window,carrier_control,C_vs_Cp2,no_window,0.6666666666666666,0.4166666666666667,0.24999999999999994,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,C_vs_Cp2__stability_plus_geometry,carrier_control,C_vs_Cp2,stability_plus_geometry,0.6666666666666666,0.08333333333333333,0.5833333333333333,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,0.6666666666666666,0.36111111111111116,0.30555555555555547,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,local_criterion_breach,threshold_breach,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,0.6666666666666666,0.05555555555555555,0.611111111111111,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,log_loss_attenuation,attenuation,C_vs_Cp3__geometry_scores_only,relation_control,C_vs_Cp3,geometry_scores_only,0.6065090903942728,1.2863430949290933,-0.6798340045348205,True,24,30,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,log_loss_attenuation,attenuation,Cp2_vs_Cp3__geometry_scores_only,relation_control,Cp2_vs_Cp3,geometry_scores_only,0.6065090903942728,-0.038509689728521174,0.645018780122794,True,36,30,2,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,log_loss_attenuation,attenuation,three_way__geometry_scores_only,relation_control,three_way,geometry_scores_only,0.6065090903942728,1.762948649366183,-1.1564395589719103,True,42,48,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,log_loss_attenuation,attenuation,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,0.6065090903942728,0.41998124971081957,0.18652784068345324,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,log_loss_attenuation,attenuation,C_vs_Cp2__no_window,carrier_control,C_vs_Cp2,no_window,0.6065090903942728,1.0131533919623896,-0.4066443015681168,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,log_loss_attenuation,attenuation,C_vs_Cp2__stability_plus_geometry,carrier_control,C_vs_Cp2,stability_plus_geometry,0.6065090903942728,0.43082662124645865,0.17568246914781416,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,log_loss_attenuation,attenuation,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,0.6065090903942728,1.199816998330936,-0.5933079079366631,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,8eb760d133ac749e3327,log_loss_attenuation,attenuation,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,0.6065090903942728,0.20032472401595414,0.4061843663783187,True,24,36,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp3__geometry_scores_only,relation_control,C_vs_Cp3,geometry_scores_only,0.5790234780551029,0.4989299225554367,0.08009355549966618,True,11,43,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,Cp2_vs_Cp3__geometry_scores_only,relation_control,Cp2_vs_Cp3,geometry_scores_only,0.5790234780551029,-0.10963735652880258,0.6886608345839055,True,16,50,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,three_way__geometry_scores_only,relation_control,three_way,geometry_scores_only,0.5790234780551029,0.23661070066379974,0.34241277739130316,True,21,69,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,0.5790234780551029,0.3547707160916263,0.2242527619634766,True,15,45,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__no_window,carrier_control,C_vs_Cp2,no_window,0.5790234780551029,0.8240949830415584,-0.24507150498645547,True,15,45,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_plus_geometry,carrier_control,C_vs_Cp2,stability_plus_geometry,0.5790234780551029,0.5214657539450481,0.057557724110054775,True,15,45,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,0.5790234780551029,0.7950973021017317,-0.21607382404662878,True,15,45,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,0.5790234780551029,0.24648743982619759,0.3325360382289053,True,15,45,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,C_vs_Cp3__geometry_scores_only,relation_control,C_vs_Cp3,geometry_scores_only,0.467541245627326,1.2484844550048084,-0.7809432093774824,True,11,43,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,Cp2_vs_Cp3__geometry_scores_only,relation_control,Cp2_vs_Cp3,geometry_scores_only,0.467541245627326,-0.07595780116748801,0.543499046794814,True,16,50,3,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap"
