artifact_role,artifact_path,exists,sha256,freeze_manifest_id,freeze_status
obs084a_freeze_manifest,/Users/rvl/Desktop/LAB/pam-research/outputs/rig_registry/obs084_direct_failure_witness/bridge_resolution/obs084a_freeze_manifest.json,True,03b06c37945d82655814548595281264ef46faa62e40d9a130c8dec46dc0aa8a,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
canonical_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_table.csv,True,936802c75f758ab3b798d6c669e1cbc04323c2f1f610b5f7f39ad71c5437b6ca,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
canonical_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_manifest.csv,True,94ebfffb360c3d4f65d4ca480e65275ba651fa1b31d8dedf550222f6c58d1fe4,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,True,23b151b794a6d50aff9a5febe68c9478a52644974f959db62236d34bac283672,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,True,9956be0583256642827694e9694a8ba1f1c97616fc2cc6d132505be90ad823fc,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
numeric_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,True,b3706215227eeb5b2d000ebeace34ece2a902d46c6ba1fc1841ba3b1986174ad,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,True,daaffddaca8dfe402348b889f627b25b30103fac4c94a7d2298181b4295c590b,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
feature_contract_predictions,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,True,a09ca38d92a6d63a437e9402035a854190aa767447caee10b7c2a32ab3fe4c9a,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
structural_resampling_summary,outputs/comparisons/obs080d_structural_resampling_contract_sensitivity/obs080d_bootstrap_summary.csv,True,39762e5b3410d221566898d71eaaafc3601dd15db9e4920060f022e8bd46a6cb,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
registry,outputs/rig_registry/rig_relation_registry.csv,True,211d6270d948503ffda4a866558ca95fec0bc9fe99a5fe201616b842389ae631,c360f3b4cd5d65067c8b1cca45800524b6ee5cf7ad31ed43aaedcdb0fcd0566d,frozen_ready_for_discovery
