source_role,selected_path,exists,size_mb,sha256,rows_read,column_count,read_status,code_commit,script_version
canonical_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_table.csv,True,0.2442789077758789,936802c75f758ab3b798d6c669e1cbc04323c2f1f610b5f7f39ad71c5437b6ca,168,112,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
canonical_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_manifest.csv,True,0.008272171020507812,94ebfffb360c3d4f65d4ca480e65275ba651fa1b31d8dedf550222f6c58d1fe4,112,7,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,True,0.33971214294433594,23b151b794a6d50aff9a5febe68c9478a52644974f959db62236d34bac283672,4032,10,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,True,3.728994369506836,9956be0583256642827694e9694a8ba1f1c97616fc2cc6d132505be90ad823fc,37632,12,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
numeric_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,True,5.514468193054199,b3706215227eeb5b2d000ebeace34ece2a902d46c6ba1fc1841ba3b1986174ad,56448,12,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,True,4.549230575561523,daaffddaca8dfe402348b889f627b25b30103fac4c94a7d2298181b4295c590b,43288,16,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
feature_contract_predictions,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,True,9.815457344055176,a09ca38d92a6d63a437e9402035a854190aa767447caee10b7c2a32ab3fe4c9a,96768,12,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
structural_resampling_summary,outputs/comparisons/obs080d_structural_resampling_contract_sensitivity/obs080d_bootstrap_summary.csv,True,0.1352405548095703,39762e5b3410d221566898d71eaaafc3601dd15db9e4920060f022e8bd46a6cb,576,22,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
registry,outputs/rig_registry/rig_relation_registry.csv,True,0.02092456817626953,211d6270d948503ffda4a866558ca95fec0bc9fe99a5fe201616b842389ae631,24,47,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
obs083_subclasses,outputs/rig_registry/obs083_negative_control_localization/obs083_diagnostic_subclass_assignments.csv,True,0.018836021423339844,c3fd28c1bbc31dde900cedf9ed6ea3b3f40cddbfb64d642e5521461b5a186701,24,32,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
obs083_relation_controls,outputs/rig_registry/obs083_negative_control_localization/obs083_relation_control_contrast.csv,True,0.024133682250976562,d8362e49c97d1ba8566ab9704b400139e0315c5dd7f6201be891deb8032c70a9,72,16,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
obs083_carrier_controls,outputs/rig_registry/obs083_negative_control_localization/obs083_carrier_control_contrast.csv,True,0.04483604431152344,58f0451b2b321fc4c192464134fb70566404ed4d169e41dee89204d90f5c37c5,120,18,ok,2647b494eb688388bdad9b88d8dd32c8a5e95f69,1.0.0
