source_role,field,dtype,unique_values,primary_field_role,allowed_as_predictor,allowed_for_matching,allowed_for_partitioning,manual_review_required
canonical_feature_table,case,str,3,metadata_unresolved,False,True,False,True
canonical_feature_table,candidate_rank,int64,10,candidate_predictor,True,False,False,False
canonical_feature_table,object,str,8,grouping_partition,False,True,True,False
canonical_feature_table,scale_index_from,int64,5,candidate_predictor,True,False,False,False
canonical_feature_table,scale_index_to,int64,5,candidate_predictor,True,False,False,False
canonical_feature_table,cohort,str,6,grouping_partition,False,True,True,False
canonical_feature_table,dominant_family,str,4,metadata_unresolved,False,True,False,True
canonical_feature_table,n_paths,int64,117,grouping_partition,False,True,True,False
canonical_feature_table,n_windows,int64,117,grouping_partition,False,True,True,False
canonical_feature_table,mean_lambda_local_mean,float64,119,candidate_predictor,True,False,False,False
canonical_feature_table,mean_lambda_local_z,float64,119,candidate_predictor,True,False,False,False
canonical_feature_table,mean_delta_d_mean,float64,118,candidate_predictor,True,False,False,False
canonical_feature_table,mean_delta_d_z,float64,118,candidate_predictor,True,False,False,False
canonical_feature_table,bounded_share_mean,float64,119,candidate_predictor,True,False,False,False
canonical_feature_table,bounded_share_z,float64,119,candidate_predictor,True,False,False,False
canonical_feature_table,divergence_z_sum,float64,119,candidate_predictor,True,False,False,False
canonical_feature_table,transition_delta,int64,1,grouping_partition,False,True,True,False
canonical_feature_table,dominant_reason,str,7,metadata_unresolved,False,True,False,True
canonical_feature_table,pinch_score_total,float64,22,candidate_predictor,True,False,False,False
canonical_feature_table,support_score,float64,21,forbidden_predictive_leakage,False,False,False,False
canonical_feature_table,overlap_score,float64,16,forbidden_predictive_leakage,False,False,False,False
canonical_feature_table,shape_score,float64,22,forbidden_predictive_leakage,False,False,False,False
canonical_feature_table,id_score,float64,22,forbidden_predictive_leakage,False,False,False,False
canonical_feature_table,jaccard_loss,float64,10,forbidden_predictive_leakage,False,False,False,False
canonical_feature_table,centroid_drift,float64,22,candidate_predictor,True,False,False,False
canonical_feature_table,support_size_delta,int64,1,candidate_predictor,True,False,False,False
canonical_feature_table,overlap_delta_max,float64,17,candidate_predictor,True,False,False,False
canonical_feature_table,seam__core__path_enrichment,float64,116,grouping_partition,False,True,True,False
canonical_feature_table,seam__near__path_enrichment,float64,118,grouping_partition,False,True,True,False
canonical_feature_table,seam__core__path_log2_enrichment,float64,116,grouping_partition,False,True,True,False
canonical_feature_table,seam__near__path_log2_enrichment,float64,118,grouping_partition,False,True,True,False
canonical_feature_table,seam__core__path_share,float64,116,grouping_partition,False,True,True,False
canonical_feature_table,seam__near__path_share,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,seam__core__global_path_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,seam__near__global_path_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,seam__core__n_paths,float64,96,grouping_partition,False,True,True,False
canonical_feature_table,seam__near__n_paths,float64,116,grouping_partition,False,True,True,False
canonical_feature_table,seam__core__denom_paths,float64,115,grouping_partition,False,True,True,False
canonical_feature_table,seam__near__denom_paths,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,path_family__off_seam_reorganizing__path_enrichment,float64,113,grouping_partition,False,True,True,False
canonical_feature_table,path_family__reorganization_heavy__path_enrichment,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,path_family__settled_distant__path_enrichment,float64,108,grouping_partition,False,True,True,False
canonical_feature_table,path_family__stable_seam_corridor__path_enrichment,float64,118,grouping_partition,False,True,True,False
canonical_feature_table,path_family__off_seam_reorganizing__path_log2_enrichment,float64,113,grouping_partition,False,True,True,False
canonical_feature_table,path_family__reorganization_heavy__path_log2_enrichment,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,path_family__settled_distant__path_log2_enrichment,float64,108,grouping_partition,False,True,True,False
canonical_feature_table,path_family__stable_seam_corridor__path_log2_enrichment,float64,118,grouping_partition,False,True,True,False
canonical_feature_table,path_family__off_seam_reorganizing__path_share,float64,112,grouping_partition,False,True,True,False
canonical_feature_table,path_family__reorganization_heavy__path_share,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,path_family__settled_distant__path_share,float64,108,grouping_partition,False,True,True,False
canonical_feature_table,path_family__stable_seam_corridor__path_share,float64,118,grouping_partition,False,True,True,False
canonical_feature_table,path_family__off_seam_reorganizing__global_path_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,path_family__reorganization_heavy__global_path_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,path_family__settled_distant__global_path_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,path_family__stable_seam_corridor__global_path_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,path_family__off_seam_reorganizing__n_paths,float64,81,grouping_partition,False,True,True,False
canonical_feature_table,path_family__reorganization_heavy__n_paths,float64,114,grouping_partition,False,True,True,False
canonical_feature_table,path_family__settled_distant__n_paths,float64,77,grouping_partition,False,True,True,False
canonical_feature_table,path_family__stable_seam_corridor__n_paths,float64,114,grouping_partition,False,True,True,False
canonical_feature_table,path_family__off_seam_reorganizing__denom_paths,float64,112,grouping_partition,False,True,True,False
canonical_feature_table,path_family__reorganization_heavy__denom_paths,float64,116,grouping_partition,False,True,True,False
canonical_feature_table,path_family__settled_distant__denom_paths,float64,107,grouping_partition,False,True,True,False
canonical_feature_table,path_family__stable_seam_corridor__denom_paths,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,outcome__nonrecovering__path_enrichment,float64,116,grouping_partition,False,True,True,False
canonical_feature_table,outcome__recovering__path_enrichment,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,outcome__nonrecovering__path_log2_enrichment,float64,116,grouping_partition,False,True,True,False
canonical_feature_table,outcome__recovering__path_log2_enrichment,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,outcome__nonrecovering__path_share,float64,116,grouping_partition,False,True,True,False
canonical_feature_table,outcome__recovering__path_share,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,outcome__nonrecovering__global_path_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,outcome__recovering__global_path_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,outcome__nonrecovering__n_paths,float64,103,grouping_partition,False,True,True,False
canonical_feature_table,outcome__recovering__n_paths,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,outcome__nonrecovering__denom_paths,float64,115,grouping_partition,False,True,True,False
