source_role,source_path,key_family,canonical_column,source_column,canonical_unique,source_unique,value_overlap_count,canonical_overlap_ratio,source_overlap_ratio,schema_bridge_status,warning
canonical_feature_manifest,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_manifest.csv,case,case,,3,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
canonical_feature_manifest,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_manifest.csv,object,object,,8,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
canonical_feature_manifest,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_manifest.csv,cohort,cohort,,6,0,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
leave_structure_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,observation_id,,row_id,0,168,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
leave_structure_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,case,case,case,3,3,3,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
leave_structure_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,object,object,object,8,8,8,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
leave_structure_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,cohort,cohort,cohort,6,6,6,1.0,1.0,value_overlap_supported,shared names do not prove semantic equivalence
leave_structure_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,transition,,transition,0,5,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
leave_structure_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,scheme,,scheme,0,6,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
pairwise_predictions,/Users/rvl/Desktop/LAB/pam-research/outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,observation_id,,row_id,0,168,0,0.0,0.0,one_side_only,shared names do not prove semantic equivalence
