record_id,relation,carrier,subclass,cluster_family,cluster_column,discovery_clusters,confirmation_clusters,replication_clusters,minimum_class_partition_clusters,three_way_balance_candidate,status
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C2_localization-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__no_window,C_vs_Cp2,no_window,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__no_window,C_vs_Cp2,no_window,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__no_window,C_vs_Cp2,no_window,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,C2_localization-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,C2_localization-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__no_window,C_vs_Cp3,no_window,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__no_window,C_vs_Cp3,no_window,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__no_window,C_vs_Cp3,no_window,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,C1_contrast-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,C2_localization-limited,case,case,0,3,0,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,C2_localization-limited,case,case,0,2,0,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,C1_contrast-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,C1_contrast-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,C1_contrast-limited,case,case,0,2,0,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,C2_localization-limited,object,object,2,4,2,1,False,schema_balance_candidate_not_confirmation_ready
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,C2_localization-limited,cohort,cohort,2,2,2,2,False,schema_balance_candidate_not_confirmation_ready
