support_family,available,artifact_column_count,candidate_columns,requires_predeclared_discretization,discovery_status,confirmation_status
object,True,6,"[{""column"": ""object"", ""role"": ""canonical_feature_table"", ""unique"": 8}, {""column"": ""object"", ""role"": ""leave_structure_predictions"", ""unique"": 8}, {""column"": ""object"", ""role"": ""pairwise_predictions"", ""unique"": 8}, {""column"": ""object"", ""role"": ""numeric_transform_predictions"", ""unique"": 8}, {""column"": ""object"", ""role"": ""scale_band_predictions"", ""unique"": 8}, {""column"": ""object"", ""role"": ""feature_contract_predictions"", ""unique"": 8}]",False,available,not_evaluated
cohort,True,6,"[{""column"": ""cohort"", ""role"": ""canonical_feature_table"", ""unique"": 6}, {""column"": ""cohort"", ""role"": ""leave_structure_predictions"", ""unique"": 6}, {""column"": ""cohort"", ""role"": ""pairwise_predictions"", ""unique"": 6}, {""column"": ""cohort"", ""role"": ""numeric_transform_predictions"", ""unique"": 6}, {""column"": ""cohort"", ""role"": ""scale_band_predictions"", ""unique"": 6}, {""column"": ""cohort"", ""role"": ""feature_contract_predictions"", ""unique"": 6}]",False,available,not_evaluated
transition,True,8,"[{""column"": ""transition_delta"", ""role"": ""canonical_feature_table"", ""unique"": 1}, {""column"": ""transition"", ""role"": ""leave_structure_predictions"", ""unique"": 5}, {""column"": ""transition"", ""role"": ""pairwise_predictions"", ""unique"": 5}, {""column"": ""transition"", ""role"": ""numeric_transform_predictions"", ""unique"": 5}, {""column"": ""transition"", ""role"": ""scale_band_predictions"", ""unique"": 5}, {""column"": ""transition_delta"", ""role"": ""scale_band_predictions"", ""unique"": 1}, {""column"": ""transition_midpoint"", ""role"": ""scale_band_predictions"", ""unique"": 5}, {""column"": ""transition"", ""role"": ""feature_contract_predictions"", ""unique"": 5}]",False,available,not_evaluated
scale_band,True,9,"[{""column"": ""scale_index_from"", ""role"": ""canonical_feature_table"", ""unique"": 5}, {""column"": ""scale_index_to"", ""role"": ""canonical_feature_table"", ""unique"": 5}, {""column"": ""scale_index_from"", ""role"": ""scale_band_predictions"", ""unique"": 5}, {""column"": ""scale_index_to"", ""role"": ""scale_band_predictions"", ""unique"": 5}, {""column"": ""scale_band"", ""role"": ""scale_band_predictions"", ""unique"": 9}, {""column"": ""scale_band_n"", ""role"": ""registry"", ""unique"": 2}, {""column"": ""scale_band_mean_score"", ""role"": ""registry"", ""unique"": 4}, {""column"": ""scale_band_min_score"", ""role"": ""registry"", ""unique"": 4}, {""column"": ""scale_band_status"", ""role"": ""registry"", ""unique"": 2}]",False,available,not_evaluated
contract_or_transform,True,9,"[{""column"": ""transform"", ""role"": ""numeric_transform_predictions"", ""unique"": 7}, {""column"": ""feature_contract"", ""role"": ""feature_contract_predictions"", ""unique"": 12}, {""column"": ""feature_contract"", ""role"": ""structural_resampling_summary"", ""unique"": 6}, {""column"": ""resampling_contract"", ""role"": ""structural_resampling_summary"", ""unique"": 6}, {""column"": ""numeric_transform_n"", ""role"": ""registry"", ""unique"": 2}, {""column"": ""numeric_transform_mean_score"", ""role"": ""registry"", ""unique"": 4}, {""column"": ""numeric_transform_min_score"", ""role"": ""registry"", ""unique"": 4}, {""column"": ""numeric_transform_status"", ""role"": ""registry"", ""unique"": 2}, {""column"": ""contract_contrast_score"", ""role"": ""obs083_subclasses"", ""unique"": 0}]",False,available,not_evaluated
feature_family,True,22,"[{""column"": ""carrier"", ""role"": ""registry"", ""unique"": 6}, {""column"": ""carrier_role"", ""role"": ""registry"", ""unique"": 6}, {""column"": ""carrier_role_detail"", ""role"": ""registry"", ""unique"": 9}, {""column"": ""obs080c_carrier_ba"", ""role"": ""registry"", ""unique"": 19}, {""column"": ""obs080d_carrier_mean_ba"", ""role"": ""registry"", ""unique"": 20}, {""column"": ""obs080d_carrier_min_ci95_low"", ""role"": ""registry"", ""unique"": 19}, {""column"": ""obs080d_carrier_min_p_above_threshold"", ""role"": ""registry"", ""unique"": 7}, {""column"": ""feature_family_n"", ""role"": ""registry"", ""unique"": 1}, {""column"": ""feature_family_mean_score"", ""role"": ""registry"", ""unique"": 19}, {""column"": ""feature_family_min_score"", ""role"": ""registry"", ""unique"": 19}, {""column"": ""feature_family_status"", ""role"": ""registry"", ""unique"": 2}, {""column"": ""carrier"", ""role"": ""obs083_subclasses"", ""unique"": 6}, {""column"": ""carrier_contrast_score"", ""role"": ""obs083_subclasses"", ""unique"": 9}, {""column"": ""carrier"", ""role"": ""obs083_relation_controls"", ""unique"": 6}, {""column"": ""target_carrier"", ""role"": ""obs083_carrier_controls"", ""unique"": 6}, {""column"": ""control_carrier"", ""role"": ""obs083_carrier_controls"", ""unique"": 6}, {""column"": ""carrier_contrast_delta"", ""role"": ""obs083_carrier_controls"", ""unique"": 91}, {""column"": ""carrier_contrast_abs_delta"", ""role"": ""obs083_carrier_controls"", ""unique"": 46}, {""column"": ""carrier_role_expected"", ""role"": ""obs083_carrier_controls"", ""unique"": 6}, {""column"": ""carrier_role_observed"", ""role"": ""obs083_carrier_controls"", ""unique"": 5}, {""column"": ""carrier_specificity_support"", ""role"": ""obs083_carrier_controls"", ""unique"": 3}, {""column"": ""overbroad_carrier_flag"", ""role"": ""obs083_carrier_controls"", ""unique"": 2}]",False,available,not_evaluated
seam_relative,True,44,"[{""column"": ""seam__core__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 116}, {""column"": ""seam__near__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""seam__core__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 116}, {""column"": ""seam__near__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""seam__core__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 116}, {""column"": ""seam__near__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""seam__core__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""seam__near__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""seam__core__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 96}, {""column"": ""seam__near__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 116}, {""column"": ""seam__core__denom_paths"", ""role"": ""canonical_feature_table"", ""unique"": 115}, {""column"": ""seam__near__denom_paths"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""path_family__off_seam_reorganizing__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 113}, {""column"": ""path_family__stable_seam_corridor__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""path_family__off_seam_reorganizing__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 113}, {""column"": ""path_family__stable_seam_corridor__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""path_family__off_seam_reorganizing__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 112}, {""column"": ""path_family__stable_seam_corridor__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""path_family__off_seam_reorganizing__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""path_family__stable_seam_corridor__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""path_family__off_seam_reorganizing__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 81}, {""column"": ""path_family__stable_seam_corridor__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 114}, {""column"": ""path_family__off_seam_reorganizing__denom_paths"", ""role"": ""canonical_feature_table"", ""unique"": 112}, {""column"": ""path_family__stable_seam_corridor__denom_paths"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""proj__path_family__off_seam_reorganizing__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 120}, {""column"": ""proj__path_family__stable_seam_corridor__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 120}, {""column"": ""proj__seam_class__seam_contact__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 121}, {""column"": ""proj__seam_class__seam_distant__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 94}, {""column"": ""proj__seam_class__seam_grazing__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 108}, {""column"": ""proj__path_family__off_seam_reorganizing__global_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}]",True,available_after_discretization_freeze,not_evaluated
boundary_relative,False,0,[],False,unavailable,not_evaluated
window,True,2,"[{""column"": ""n_windows"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""level_5_no_window_ba"", ""role"": ""registry"", ""unique"": 4}]",False,available,not_evaluated
route_or_path,True,72,"[{""column"": ""n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""seam__core__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 116}, {""column"": ""seam__near__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""seam__core__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 116}, {""column"": ""seam__near__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""seam__core__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 116}, {""column"": ""seam__near__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""seam__core__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""seam__near__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""seam__core__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 96}, {""column"": ""seam__near__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 116}, {""column"": ""seam__core__denom_paths"", ""role"": ""canonical_feature_table"", ""unique"": 115}, {""column"": ""seam__near__denom_paths"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""path_family__off_seam_reorganizing__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 113}, {""column"": ""path_family__reorganization_heavy__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""path_family__settled_distant__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 108}, {""column"": ""path_family__stable_seam_corridor__path_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""path_family__off_seam_reorganizing__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 113}, {""column"": ""path_family__reorganization_heavy__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""path_family__settled_distant__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 108}, {""column"": ""path_family__stable_seam_corridor__path_log2_enrichment"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""path_family__off_seam_reorganizing__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 112}, {""column"": ""path_family__reorganization_heavy__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 117}, {""column"": ""path_family__settled_distant__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 108}, {""column"": ""path_family__stable_seam_corridor__path_share"", ""role"": ""canonical_feature_table"", ""unique"": 118}, {""column"": ""path_family__off_seam_reorganizing__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""path_family__reorganization_heavy__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""path_family__settled_distant__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""path_family__stable_seam_corridor__global_path_share"", ""role"": ""canonical_feature_table"", ""unique"": 3}, {""column"": ""path_family__off_seam_reorganizing__n_paths"", ""role"": ""canonical_feature_table"", ""unique"": 81}]",False,available,not_evaluated
