support_family,artifact_label,artifact_path,column_name,available,non_null_rows,unique_values,candidate_stage_ceiling,support_use,limitation
object,obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,object,True,168,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs078a_feature_table__2,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_feature_table.csv,object,True,168,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs078c_case_object_matrix,outputs/comparisons/obs078c_stability_signature_localization/obs078c_case_object_matrix.csv,object,True,8,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs078c_feature_zscores,outputs/comparisons/obs078c_stability_signature_localization/obs078c_feature_zscores.csv,object,True,168,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs078c_pairwise_case_contrasts,outputs/comparisons/obs078c_stability_signature_localization/obs078c_pairwise_case_contrasts.csv,object,True,109,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs078c_signature_by_object,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object.csv,object,True,21,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs078c_signature_by_object_cohort,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_cohort.csv,object,True,115,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs078c_signature_by_object_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_transition.csv,object,True,30,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs078c_top_separating_groups,outputs/comparisons/obs078c_stability_signature_localization/obs078c_top_separating_groups.csv,object,True,118,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs079a_leave_structure_predictions,outputs/comparisons/obs079a_stability_signature_leave_structure_out/obs079a_leave_structure_predictions.csv,object,True,4032,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs079b_bootstrap_ci_by_object,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_object.csv,object,True,210,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs079b_bootstrap_ci_by_object_cohort,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_object_cohort.csv,object,True,1150,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs079b_bootstrap_pairwise_case_contrasts_by_object,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts_by_object.csv,object,True,180,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs079b_feature_zscores,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_feature_zscores.csv,object,True,168,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs079b_group_inventory,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_group_inventory.csv,object,True,136,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs079c_pairwise_predictions,outputs/comparisons/obs079c_pairwise_stability_classifiers/obs079c_pairwise_predictions.csv,object,True,37632,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs080a_transform_predictions,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_predictions.csv,object,True,56448,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs080a_transformed_feature_table,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transformed_feature_table.csv,object,True,168,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs080b_scale_band_predictions,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_predictions.csv,object,True,43288,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,obs080c_feature_contract_predictions,outputs/comparisons/obs080c_feature_family_contract_sensitivity/obs080c_feature_contract_predictions.csv,object,True,96768,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
object,rig_stability_core_geometry,outputs/rig_navigator/views/rig_stability_core_geometry.csv,object,True,168,8,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,path_id,True,30000,27666,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,path_id,True,15000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,path_id,True,15000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,path_id,True,45000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,path_id,True,145000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,path_id,True,0,0,schema_reconnaissance_only,descriptor_only_insufficient_contrast,field contains no non-null values
route_or_path,obs073_feature_table__4,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_C0_instant_vs_Cp_v5/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__5,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_Cp_vs_Cp2_v5/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__6,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__7,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v2_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__8,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v3_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__9,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v4_full/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__10,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v4_smoke/obs073_feature_table.csv,path_id,True,30000,27666,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__11,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v5_full/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__12,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v5_smoke/obs073_feature_table.csv,path_id,True,30000,27666,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__13,outputs/obs073_C0_instant_vs_Cp_v5/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__14,outputs/obs073_C_vs_Cp_v5/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__15,outputs/obs073_Cp_vs_Cp2_v5/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__16,outputs/obs073_continuous_field_groupoid_reduction_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__17,outputs/obs073_continuous_field_groupoid_reduction_v2_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__18,outputs/obs073_continuous_field_groupoid_reduction_v3_smoke/obs073_feature_table.csv,path_id,True,30000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__19,outputs/obs073_continuous_field_groupoid_reduction_v4_full/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__20,outputs/obs073_continuous_field_groupoid_reduction_v4_smoke/obs073_feature_table.csv,path_id,True,30000,27666,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__21,outputs/obs073_continuous_field_groupoid_reduction_v5_full/obs073_feature_table.csv,path_id,True,200000,100000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs073_feature_table__22,outputs/obs073_continuous_field_groupoid_reduction_v5_smoke/obs073_feature_table.csv,path_id,True,30000,27666,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
route_or_path,obs074_feature_table__4,outputs/obs074_lexical_field_bridge_C_Cp_Cp2_v2_smoke/obs074_feature_table.csv,path_id,True,45000,15000,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs078c_feature_zscores,outputs/comparisons/obs078c_stability_signature_localization/obs078c_feature_zscores.csv,transition,True,168,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs078c_pairwise_case_contrasts,outputs/comparisons/obs078c_stability_signature_localization/obs078c_pairwise_case_contrasts.csv,transition,True,13,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
transition,obs078c_signature_by_object_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_transition.csv,transition,True,30,5,schema_reconnaissance_only,candidate_structural_support_and_partition_unit,
