source_artifact,record_id,relation,carrier,subclass,confirmation_eligibility,relation_control_count,relation_control_record_ids,carrier_control_count,carrier_control_record_ids,total_candidate_controls,control_feasibility,limitation
obs083_diagnostic_subclass_assignments,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C2_localization-limited,fl3_confirmation_eligible,3,C_vs_Cp3__stability_core_3|Cp2_vs_Cp3__stability_core_3|three_way__stability_core_3,5,C_vs_Cp2__geometry_scores_only|C_vs_Cp2__no_window|C_vs_Cp2__path_shares_only|C_vs_Cp2__stability_plus_geometry|C_vs_Cp2__strict_numeric_all,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,C1_contrast-limited,discovery_only_or_unknown,3,C_vs_Cp3__geometry_scores_only|Cp2_vs_Cp3__geometry_scores_only|three_way__geometry_scores_only,5,C_vs_Cp2__no_window|C_vs_Cp2__path_shares_only|C_vs_Cp2__stability_core_3|C_vs_Cp2__stability_plus_geometry|C_vs_Cp2__strict_numeric_all,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp2__no_window,C_vs_Cp2,no_window,C1_contrast-limited,discovery_only_or_unknown,3,C_vs_Cp3__no_window|Cp2_vs_Cp3__no_window|three_way__no_window,5,C_vs_Cp2__geometry_scores_only|C_vs_Cp2__path_shares_only|C_vs_Cp2__stability_core_3|C_vs_Cp2__stability_plus_geometry|C_vs_Cp2__strict_numeric_all,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,C1_contrast-limited,discovery_only_or_unknown,3,C_vs_Cp3__stability_plus_geometry|Cp2_vs_Cp3__stability_plus_geometry|three_way__stability_plus_geometry,5,C_vs_Cp2__geometry_scores_only|C_vs_Cp2__no_window|C_vs_Cp2__path_shares_only|C_vs_Cp2__stability_core_3|C_vs_Cp2__strict_numeric_all,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,C1_contrast-limited,discovery_only_or_unknown,3,C_vs_Cp3__strict_numeric_all|Cp2_vs_Cp3__strict_numeric_all|three_way__strict_numeric_all,5,C_vs_Cp2__geometry_scores_only|C_vs_Cp2__no_window|C_vs_Cp2__path_shares_only|C_vs_Cp2__stability_core_3|C_vs_Cp2__stability_plus_geometry,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,C2_localization-limited,fl3_confirmation_eligible,3,C_vs_Cp3__path_shares_only|Cp2_vs_Cp3__path_shares_only|three_way__path_shares_only,5,C_vs_Cp2__geometry_scores_only|C_vs_Cp2__no_window|C_vs_Cp2__stability_core_3|C_vs_Cp2__stability_plus_geometry|C_vs_Cp2__strict_numeric_all,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,C2_localization-limited,fl3_confirmation_eligible,3,C_vs_Cp2__stability_core_3|Cp2_vs_Cp3__stability_core_3|three_way__stability_core_3,5,C_vs_Cp3__geometry_scores_only|C_vs_Cp3__no_window|C_vs_Cp3__path_shares_only|C_vs_Cp3__stability_plus_geometry|C_vs_Cp3__strict_numeric_all,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp3__no_window,C_vs_Cp3,no_window,C1_contrast-limited,discovery_only_or_unknown,3,C_vs_Cp2__no_window|Cp2_vs_Cp3__no_window|three_way__no_window,5,C_vs_Cp3__geometry_scores_only|C_vs_Cp3__path_shares_only|C_vs_Cp3__stability_core_3|C_vs_Cp3__stability_plus_geometry|C_vs_Cp3__strict_numeric_all,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,C1_contrast-limited,discovery_only_or_unknown,3,C_vs_Cp2__stability_plus_geometry|Cp2_vs_Cp3__stability_plus_geometry|three_way__stability_plus_geometry,5,C_vs_Cp3__geometry_scores_only|C_vs_Cp3__no_window|C_vs_Cp3__path_shares_only|C_vs_Cp3__stability_core_3|C_vs_Cp3__strict_numeric_all,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
obs083_diagnostic_subclass_assignments,C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,C1_contrast-limited,discovery_only_or_unknown,3,C_vs_Cp2__strict_numeric_all|Cp2_vs_Cp3__strict_numeric_all|three_way__strict_numeric_all,5,C_vs_Cp3__geometry_scores_only|C_vs_Cp3__no_window|C_vs_Cp3__path_shares_only|C_vs_Cp3__stability_core_3|C_vs_Cp3__stability_plus_geometry,8,relation_and_carrier_controls_available,control admissibility and balance still require observation-level evidence
