artifact_label,artifact_path,suffix,priority_match,size_bytes,size_mb,sha256,rows_read,column_count,read_status,read_error
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,.csv,True,61813826,58.950258,fe032ff0b43aa8839c41d084a0b16b0c04ce6896020c172a4579a272c1d48d7e,30000.0,171,ok,
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,.csv,True,62266008,59.381493,3cc7e2566de631687c6e4890b835a495cfcb9b539f2366466d86a2b1351fc32f,30000.0,171,ok,
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,.csv,True,62093847,59.217307,e12e456e5ed6dc5604fd208dc8ffa62ff5210404da3a3e422483e028d39e1400,30000.0,171,ok,
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,.csv,True,27615063,26.335776,517d7f538b9561329413a8e836cc5f4853ea674e7f7dafca14a4a0cef39434b0,15000.0,138,ok,
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,.csv,True,44793293,42.718213,67fd828bf8cf92fad593c2e6797202668a9b436c130d34d2be7bf0f56038899a,15000.0,238,ok,
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,.csv,True,148169123,141.305087,60a16bc03706f55bb0002bb7f5ca30e24f32fc5aedf39542be7343868ea30b61,45000.0,238,ok,
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,.csv,True,486108643,463.589328,6a018014407b5a97c77f2827711994e519ac45de502c53a460ef69388d71ff74,145000.0,286,ok,
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,.csv,True,675108786,643.83391,22ac50d4be70de86371e118447dfe6b58eb96a150d406ba05f4fd4eb2ef7e819,0.0,146,header_only_size_limit,643.8 MB exceeds 512.0 MB
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,.csv,True,861443,0.821536,52d92eff5b16f65c6bcad3b7a08b00e72058fd5c6f3babb8f3821fb077b743b9,1200.0,50,ok,
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,.csv,True,861443,0.821536,52d92eff5b16f65c6bcad3b7a08b00e72058fd5c6f3babb8f3821fb077b743b9,1200.0,50,ok,
