artifact_label,artifact_path,unit_family,column_name,available,rows_read,non_null_rows,non_null_share,unique_units,median_rows_per_unit,largest_unit_rows,candidate_role,limitation
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,observation_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,object_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,route_id,path_id,True,30000,30000,1.0,15000,2.0,2,candidate_structural_partition_unit,
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,transition_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,window_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,cohort,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,regime,corpus,True,30000,30000,1.0,2,15000.0,15000,candidate_stratification_or_support_field,
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,scale,scale,True,30000,30000,1.0,1,30000.0,30000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,provenance,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,observation_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,object_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,route_id,path_id,True,30000,30000,1.0,27666,1.0,2,candidate_structural_partition_unit,
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,transition_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,window_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,cohort,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,regime,corpus,True,30000,30000,1.0,2,15000.0,15000,candidate_stratification_or_support_field,
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,scale,scale,True,30000,30000,1.0,1,30000.0,30000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs073_feature_table__2,outputs/comparisons/obs073_Cp2_vs_Cp3_v5_smoke/obs073_feature_table.csv,provenance,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,observation_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,object_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,route_id,path_id,True,30000,30000,1.0,15000,2.0,2,candidate_structural_partition_unit,
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,transition_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,window_id,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,cohort,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,regime,corpus,True,30000,30000,1.0,2,15000.0,15000,candidate_stratification_or_support_field,
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,scale,scale,True,30000,30000,1.0,1,30000.0,30000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs073_feature_table__3,outputs/comparisons/obs073_Cp_vs_Cp3_v5_smoke/obs073_feature_table.csv,provenance,,False,30000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,observation_id,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,object_id,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,route_id,path_id,True,15000,15000,1.0,15000,1.0,1,candidate_structural_partition_unit,
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,transition_id,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,window_id,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,cohort,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,regime,corpus,True,15000,15000,1.0,1,15000.0,15000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,scale,scale,True,15000,15000,1.0,1,15000.0,15000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs074_feature_table,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke/obs074_feature_table.csv,provenance,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,observation_id,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,object_id,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,route_id,path_id,True,15000,15000,1.0,15000,1.0,1,candidate_structural_partition_unit,
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,transition_id,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,window_id,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,cohort,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,regime,corpus,True,15000,15000,1.0,1,15000.0,15000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,scale,scale,True,15000,15000,1.0,1,15000.0,15000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs074_feature_table__2,outputs/comparisons/obs074_Cp3_lexical_field_bridge_smoke_v2/obs074_feature_table.csv,provenance,,False,15000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,observation_id,,False,45000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,object_id,,False,45000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,route_id,path_id,True,45000,45000,1.0,15000,3.0,3,candidate_structural_partition_unit,
