artifact_label,artifact_path,unit_family,unit_column,row_count,non_null_rows,unique_clusters,singleton_clusters,largest_cluster_rows,median_cluster_rows,regime_column,regime_levels,provenance_column,provenance_levels,feasible_two_way,feasible_three_way,recommended_design,limitation,partition_priority,independence_guardrail
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,route_id,path_id,145000,145000,100000,85000,4,1.0,corpus,4,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__4,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_C0_instant_vs_Cp_v5/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__5,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_Cp_vs_Cp2_v5/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__9,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v4_full/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__11,outputs/corpora/C/campaigns/canonical_legacy/pipeline/obs073_continuous_field_groupoid_reduction_v5_full/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__13,outputs/obs073_C0_instant_vs_Cp_v5/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__14,outputs/obs073_C_vs_Cp_v5/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__15,outputs/obs073_Cp_vs_Cp2_v5/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__19,outputs/obs073_continuous_field_groupoid_reduction_v4_full/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
obs073_feature_table__21,outputs/obs073_continuous_field_groupoid_reduction_v5_full/obs073_feature_table.csv,route_id,path_id,200000,200000,100000,0,2,2.0,corpus,2,,0,True,True,candidate_discovery_confirmation_replication,,2,keep overlapping windows and transitions from a route in one partition
