artifact_label,artifact_path,column_position,column_name,normalized_column,dtype,rows_read,non_null_rows,non_null_share,unique_non_null,uniqueness_share,candidate_roles,sample_values
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,0,path_id,path_id,str,30000,30000,1.0,15000,0.5,route_id,P37257 | P40293 | P26398
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,1,pn_node_id_x_mean,pn_node_id_x_mean,float64,30000,30000,1.0,1674,0.0558,,21.0 | 54.09090909090909 | 49.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,2,pn_node_id_x_std,pn_node_id_x_std,float64,30000,29838,0.9946,1338,0.04484214759702393,,8.04155872120988 | 18.28909262623242 | 8.843076387773658
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,3,pn_node_id_x_min,pn_node_id_x_min,float64,30000,30000,1.0,75,0.0025,,9.0 | 14.0 | 30.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,4,pn_node_id_x_max,pn_node_id_x_max,float64,30000,30000,1.0,75,0.0025,,26.0 | 71.0 | 68.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,5,pn_node_id_x_median,pn_node_id_x_median,float64,30000,30000,1.0,149,0.004966666666666667,,24.5 | 58.0 | 49.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,6,pn_node_id_x_sum,pn_node_id_x_sum,float64,30000,30000,1.0,807,0.0269,,84.0 | 595.0 | 539.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,7,pn_node_id_x_last_minus_first,pn_node_id_x_last_minus_first,float64,30000,29838,0.9946,148,0.004960117970373349,,17.0 | 54.0 | -38.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,8,pn_r_mean,pn_r_mean,float64,30000,30000,1.0,496,0.016533333333333334,,0.1375 | 0.2409090909090908 | 0.25
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,9,pn_r_std,pn_r_std,float64,30000,29838,0.9946,568,0.01903612842683826,,0.0249999999999999 | 0.0664009857539096 | 0.0223606797749978
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,10,pn_r_min,pn_r_min,float64,30000,30000,1.0,5,0.00016666666666666666,,0.1 | 0.1 | 0.2
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,11,pn_r_max,pn_r_max,float64,30000,30000,1.0,5,0.00016666666666666666,,0.15 | 0.3 | 0.3
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,12,pn_r_median,pn_r_median,float64,30000,30000,1.0,9,0.0003,,0.15 | 0.25 | 0.25
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,13,pn_r_sum,pn_r_sum,float64,30000,30000,1.0,271,0.009033333333333334,,0.55 | 2.6499999999999995 | 2.75
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,14,pn_r_last_minus_first,pn_r_last_minus_first,float64,30000,29838,0.9946,13,0.00043568603793819964,,0.0499999999999999 | 0.1999999999999999 | -0.0999999999999999
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,15,pn_alpha_mean,pn_alpha_mean,float64,30000,30000,1.0,818,0.027266666666666668,,0.1135714285714285 | 0.1312987012987012 | 0.0642857142857142
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,16,pn_alpha_std,pn_alpha_std,float64,30000,29838,0.9946,778,0.026074133655070716,,0.0082065180664828 | 0.0187077910808386 | 0.025998430093891
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,17,pn_alpha_min,pn_alpha_min,float64,30000,30000,1.0,15,0.0005,,0.1071428571428571 | 0.0985714285714285 | 0.03
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,18,pn_alpha_max,pn_alpha_max,float64,30000,30000,1.0,15,0.0005,,0.1242857142857142 | 0.15 | 0.0985714285714285
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,19,pn_alpha_median,pn_alpha_median,float64,30000,30000,1.0,29,0.0009666666666666667,,0.1114285714285714 | 0.1328571428571428 | 0.0642857142857142
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,20,pn_alpha_sum,pn_alpha_sum,float64,30000,30000,1.0,1112,0.037066666666666664,,0.454285714285714 | 1.4442857142857142 | 0.7071428571428569
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,21,pn_alpha_last_minus_first,pn_alpha_last_minus_first,float64,30000,29838,0.9946,63,0.0021114015684697367,,0.0171428571428571 | -0.0514285714285714 | -0.0685714285714285
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,22,pn_mds1_mean,pn_mds1_mean,float64,30000,30000,1.0,5638,0.18793333333333334,,-1.524111270144405 | -2.2321837874460573 | 1.3883248621178828
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,23,pn_mds1_std,pn_mds1_std,float64,30000,29838,0.9946,5084,0.17038675514444668,,0.389897977441979 | 0.5499398274958386 | 2.019106963646754
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,24,pn_mds1_min,pn_mds1_min,float64,30000,30000,1.0,150,0.005,,-2.0249604235873577 | -2.864857923483186 | -1.133583097989058
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,25,pn_mds1_max,pn_mds1_max,float64,30000,30000,1.0,147,0.0049,,-1.2055585076175956 | -1.133583097989058 | 4.516913618289135
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,26,pn_mds1_median,pn_mds1_median,float64,30000,30000,1.0,538,0.017933333333333332,,-1.4329630746863338 | -2.3485719123428117 | 0.8928929386183541
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,27,pn_mds1_sum,pn_mds1_sum,float64,30000,30000,1.0,5824,0.19413333333333332,,-6.09644508057762 | -24.554021661906628 | 15.27157348329671
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,28,pn_mds1_last_minus_first,pn_mds1_last_minus_first,float64,30000,29838,0.9946,7424,0.2488102419733226,,-0.8194019159697621 | 1.731274825494128 | 5.650496716278193
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,29,pn_mds2_mean,pn_mds2_mean,float64,30000,30000,1.0,5523,0.1841,,0.6979495303472516 | -0.4215896910961117 | -0.7053820887521753
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,30,pn_mds2_std,pn_mds2_std,float64,30000,29838,0.9946,5045,0.16907969703063208,,0.3367645577636614 | 0.3802398793152611 | 0.1895224084245055
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,31,pn_mds2_min,pn_mds2_min,float64,30000,30000,1.0,149,0.004966666666666667,,0.4795704675200857 | -0.903731854880663 | -0.9498777470883226
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,32,pn_mds2_max,pn_mds2_max,float64,30000,30000,1.0,147,0.0049,,1.1992635302320696 | 0.4381481920516262 | -0.2607834380748935
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,33,pn_mds2_median,pn_mds2_median,float64,30000,30000,1.0,615,0.0205,,0.5564820618184256 | -0.4163454164931315 | -0.7020230638331492
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,34,pn_mds2_sum,pn_mds2_sum,float64,30000,30000,1.0,5861,0.19536666666666666,,2.7917981213890064 | -4.637486602057229 | -7.759202976273928
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,35,pn_mds2_last_minus_first,pn_mds2_last_minus_first,float64,30000,29838,0.9946,7424,0.2488102419733226,,-0.6182878852583753 | -1.3418800469322891 | 0.6429484168057695
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,36,pn_node_id_y_mean,pn_node_id_y_mean,float64,30000,30000,1.0,1674,0.0558,,21.0 | 54.09090909090909 | 49.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,37,pn_node_id_y_std,pn_node_id_y_std,float64,30000,29838,0.9946,1338,0.04484214759702393,,8.04155872120988 | 18.28909262623242 | 8.843076387773658
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,38,pn_node_id_y_min,pn_node_id_y_min,float64,30000,30000,1.0,75,0.0025,,9.0 | 14.0 | 30.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,39,pn_node_id_y_max,pn_node_id_y_max,float64,30000,30000,1.0,75,0.0025,,26.0 | 71.0 | 68.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,40,pn_node_id_y_median,pn_node_id_y_median,float64,30000,30000,1.0,149,0.004966666666666667,,24.5 | 58.0 | 49.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,41,pn_node_id_y_sum,pn_node_id_y_sum,float64,30000,30000,1.0,807,0.0269,,84.0 | 595.0 | 539.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,42,pn_node_id_y_last_minus_first,pn_node_id_y_last_minus_first,float64,30000,29838,0.9946,148,0.004960117970373349,,17.0 | 54.0 | -38.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,43,pn_distance_to_seam_mean,pn_distance_to_seam_mean,float64,30000,30000,1.0,5141,0.17136666666666667,,0.1800755354162058 | 0.3886651022275912 | 1.045662905606424
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,44,pn_distance_to_seam_std,pn_distance_to_seam_std,float64,30000,29838,0.9946,4850,0.1625444064615591,,0.2080308174821237 | 0.3796823478212781 | 0.8112333931808852
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,45,pn_distance_to_seam_min,pn_distance_to_seam_min,float64,30000,30000,1.0,112,0.0037333333333333333,,0.0 | 0.0 | 0.3198631046736771
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,46,pn_distance_to_seam_max,pn_distance_to_seam_max,float64,30000,30000,1.0,114,0.0038,,0.3679507261167566 | 1.1203588446155317 | 2.6088831981531952
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,47,pn_distance_to_seam_median,pn_distance_to_seam_median,float64,30000,30000,1.0,594,0.0198,,0.1761757077740334 | 0.2593518114191133 | 0.6626886608218585
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,48,pn_distance_to_seam_sum,pn_distance_to_seam_sum,float64,30000,30000,1.0,4094,0.13646666666666665,,0.7203021416648234 | 4.275316124503504 | 11.502291961670664
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,49,pn_distance_to_seam_last_minus_first,pn_distance_to_seam_last_minus_first,float64,30000,29838,0.9946,6008,0.20135397814866948,,0.0155993105686897 | 0.567649543758288 | 1.4885243535376635
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,50,pn_signed_phase_mean,pn_signed_phase_mean,float64,30000,30000,1.0,4831,0.16103333333333333,,0.0662584980389486 | -0.1004827333113938 | -0.3847499518487582
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,51,pn_signed_phase_std,pn_signed_phase_std,float64,30000,29838,0.9946,4686,0.15704805952141565,,0.0765445982449634 | 0.1758045579641886 | 0.298491997077622
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,52,pn_signed_phase_min,pn_signed_phase_min,float64,30000,30000,1.0,113,0.003766666666666667,,0.0 | -0.4122342001499686 | -0.9599342957340056
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,53,pn_signed_phase_max,pn_signed_phase_max,float64,30000,30000,1.0,111,0.0037,,0.1353868664529472 | 0.2338927462971078 | -0.1176931049782431
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,54,pn_signed_phase_median,pn_signed_phase_median,float64,30000,30000,1.0,472,0.015733333333333332,,0.0648235628514236 | -0.0806815127328344 | -0.2438352063316816
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,55,pn_signed_phase_sum,pn_signed_phase_sum,float64,30000,30000,1.0,4132,0.13773333333333335,,0.2650339921557944 | -1.1053100664253326 | -4.232249470336341
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,56,pn_signed_phase_last_minus_first,pn_signed_phase_last_minus_first,float64,30000,29838,0.9946,6008,0.20135397814866948,,0.0057397407501 | -0.20886571901612 | -0.547700095584037
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,57,pn_obstruction_mean_abs_holonomy_mean,pn_obstruction_mean_abs_holonomy_mean,float64,30000,30000,1.0,3923,0.13076666666666667,,0.1231398809523809 | 0.1415945165945165 | 0.1066919191919191
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,58,pn_obstruction_mean_abs_holonomy_std,pn_obstruction_mean_abs_holonomy_std,float64,30000,29838,0.9946,4231,0.14179904819357866,,0.0623138749867356 | 0.0879844448773172 | 0.1316250786726374
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,59,pn_obstruction_mean_abs_holonomy_min,pn_obstruction_mean_abs_holonomy_min,float64,30000,30000,1.0,64,0.0021333333333333334,,0.0555555555555555 | 0.0 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,60,pn_obstruction_mean_abs_holonomy_max,pn_obstruction_mean_abs_holonomy_max,float64,30000,30000,1.0,72,0.0024,,0.2063492063492063 | 0.2827380952380953 | 0.4166666666666667
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,61,pn_obstruction_mean_abs_holonomy_median,pn_obstruction_mean_abs_holonomy_median,float64,30000,30000,1.0,416,0.013866666666666666,,0.1153273809523809 | 0.1121031746031745 | 0.0833333333333333
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,62,pn_obstruction_mean_abs_holonomy_sum,pn_obstruction_mean_abs_holonomy_sum,float64,30000,30000,1.0,3364,0.11213333333333333,,0.4925595238095236 | 1.557539682539682 | 1.173611111111111
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,63,pn_obstruction_mean_abs_holonomy_last_minus_first,pn_obstruction_mean_abs_holonomy_last_minus_first,float64,30000,29838,0.9946,1690,0.05663918493196595,,0.0952380952380952 | -0.0833333333333332 | 0.1111111111111111
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,64,pn_obstruction_signed_sum_holonomy_mean,pn_obstruction_signed_sum_holonomy_mean,float64,30000,30000,1.0,4107,0.1369,,-0.3258928571428571 | -0.2290764790764791 | 0.3686868686868687
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,65,pn_obstruction_signed_sum_holonomy_std,pn_obstruction_signed_sum_holonomy_std,float64,30000,29838,0.9946,4468,0.14974193980829814,,0.1261169859380617 | 0.4648791855784531 | 0.5305615050700317
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,66,pn_obstruction_signed_sum_holonomy_min,pn_obstruction_signed_sum_holonomy_min,float64,30000,30000,1.0,72,0.0024,,-0.4781746031746031 | -1.1309523809523814 | -0.0833333333333332
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,67,pn_obstruction_signed_sum_holonomy_max,pn_obstruction_signed_sum_holonomy_max,float64,30000,30000,1.0,67,0.0022333333333333333,,-0.2222222222222222 | 0.3174603174603173 | 1.666666666666667
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,68,pn_obstruction_signed_sum_holonomy_median,pn_obstruction_signed_sum_holonomy_median,float64,30000,30000,1.0,352,0.011733333333333333,,-0.3015873015873015 | -0.1666666666666669 | 0.2222222222222222
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,69,pn_obstruction_signed_sum_holonomy_sum,pn_obstruction_signed_sum_holonomy_sum,float64,30000,30000,1.0,3209,0.10696666666666667,,-1.3035714285714284 | -2.5198412698412707 | 4.055555555555556
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,70,pn_obstruction_signed_sum_holonomy_last_minus_first,pn_obstruction_signed_sum_holonomy_last_minus_first,float64,30000,29838,0.9946,1690,0.05663918493196595,,-0.1587301587301586 | -0.0833333333333332 | 0.2222222222222222
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,71,pn_absolute_holonomy_node_mean,pn_absolute_holonomy_node_mean,float64,30000,30000,1.0,3923,0.13076666666666667,,0.1231398809523809 | 0.1415945165945165 | 0.1066919191919191
