summary_group,summary_key,value
universe,registry_records,24
universe,global_unique_support_templates,85
universe,record_scoped_support_definitions,1434
universe,predicate_indexed_addresses,5736
universe,failure_predicates,4
obs084_context,sealed_candidates,13
obs084_context,confirmed_fl3_witnesses,0
obs084_context,sealed_confirmation_feasible,8
obs084_context,sealed_end_to_end_feasible,8
obs084_context,sealed_fl3_entitled,1
obs084_context,sealed_feasible_and_fl3_entitled,0
entitlement,fl3_entitled_records,12
entitlement,fl3_entitlement_capped_records,12
partition::confirmation,evidence_feasible_addresses,1320
partition::confirmation,evidence_infeasible_addresses,4416
partition::confirmation,g1_support_presence_pass,3648
partition::confirmation,g1_support_presence_fail,2088
partition::confirmation,g2_complement_presence_pass,5736
partition::confirmation,g2_complement_presence_fail,0
partition::confirmation,g3_support_cluster_coverage_pass,2688
partition::confirmation,g3_support_cluster_coverage_fail,3048
partition::confirmation,g4_complement_cluster_coverage_pass,5736
partition::confirmation,g4_complement_cluster_coverage_fail,0
partition::confirmation,g5_class_bearing_coverage_pass,1560
partition::confirmation,g5_class_bearing_coverage_fail,4176
partition::confirmation,g6_matched_complement_admissibility_pass,1320
partition::confirmation,g6_matched_complement_admissibility_fail,4416
partition::confirmation,g7_control_availability_pass,1920
partition::confirmation,g7_control_availability_fail,3816
partition::confirmation,g8_joint_target_control_estimability_pass,1656
partition::confirmation,g8_joint_target_control_estimability_fail,4080
partition::confirmation,g9_outcome_estimability_pass,1560
partition::confirmation,g9_outcome_estimability_fail,4176
partition::confirmation,g10_multiplicity_family_definition_pass,5736
partition::confirmation,g10_multiplicity_family_definition_fail,0
partition::discovery,evidence_feasible_addresses,1944
partition::discovery,evidence_infeasible_addresses,3792
partition::discovery,g1_support_presence_pass,5736
partition::discovery,g1_support_presence_fail,0
partition::discovery,g2_complement_presence_pass,5736
partition::discovery,g2_complement_presence_fail,0
partition::discovery,g3_support_cluster_coverage_pass,3720
partition::discovery,g3_support_cluster_coverage_fail,2016
partition::discovery,g4_complement_cluster_coverage_pass,5712
partition::discovery,g4_complement_cluster_coverage_fail,24
partition::discovery,g5_class_bearing_coverage_pass,3240
partition::discovery,g5_class_bearing_coverage_fail,2496
partition::discovery,g6_matched_complement_admissibility_pass,1944
partition::discovery,g6_matched_complement_admissibility_fail,3792
partition::discovery,g7_control_availability_pass,2976
partition::discovery,g7_control_availability_fail,2760
partition::discovery,g8_joint_target_control_estimability_pass,2976
partition::discovery,g8_joint_target_control_estimability_fail,2760
partition::discovery,g9_outcome_estimability_pass,3240
partition::discovery,g9_outcome_estimability_fail,2496
partition::discovery,g10_multiplicity_family_definition_pass,5736
partition::discovery,g10_multiplicity_family_definition_fail,0
campaign_structure,discovery_and_confirmation_feasible,984
campaign_structure,statistically_feasible_but_entitlement_capped,456
