failure_predicate,partition,simulator_id,address_id,baseline_target_control_correlation,simulated_target_control_correlation,absolute_correlation_change,covariance_estimable,covariance_audit_status,joint_target_control_declared,covariance_model,joint_cluster_count_min
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,2089c8ead568c49eba0d317f,,,,False,baseline_and_simulated_correlation_unavailable,True,empirical joint target-control dependence through shared cluster resampling,4
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,2f394559fbe5789c99da9eda,,,,False,baseline_and_simulated_correlation_unavailable,True,empirical joint target-control dependence through shared cluster resampling,4
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,63063743372cd08e7e4c4ed8,0.8401814189531307,0.4727875369046271,0.3673938820485036,True,preservation_estimable,True,empirical joint target-control dependence through shared cluster resampling,4
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,9a1b8537bb0aac4dd2f70530,,0.7610512715265128,,False,baseline_correlation_unavailable,True,empirical joint target-control dependence through shared cluster resampling,4
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,a24a4754e3d139d456235b65,,,,False,baseline_and_simulated_correlation_unavailable,True,empirical joint target-control dependence through shared cluster resampling,4
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,cba4ba2ba78612dd885992ab,,-0.150566561604852,,False,baseline_correlation_unavailable,True,empirical joint target-control dependence through shared cluster resampling,4
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,2089c8ead568c49eba0d317f,,0.1338591085614694,,False,baseline_correlation_unavailable,True,positive-semidefinite shrinkage covariance across target and controls,4
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,2f394559fbe5789c99da9eda,,,,False,baseline_and_simulated_correlation_unavailable,True,positive-semidefinite shrinkage covariance across target and controls,4
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,63063743372cd08e7e4c4ed8,0.8401814189531307,0.008772428075185535,0.8314089908779452,True,preservation_estimable,True,positive-semidefinite shrinkage covariance across target and controls,4
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,9a1b8537bb0aac4dd2f70530,,0.39416556162456934,,False,baseline_correlation_unavailable,True,positive-semidefinite shrinkage covariance across target and controls,4
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,a24a4754e3d139d456235b65,,0.4054671099681933,,False,baseline_correlation_unavailable,True,positive-semidefinite shrinkage covariance across target and controls,4
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,cba4ba2ba78612dd885992ab,,0.548316948615939,,False,baseline_correlation_unavailable,True,positive-semidefinite shrinkage covariance across target and controls,4
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,2089c8ead568c49eba0d317f,,,,False,baseline_and_simulated_correlation_unavailable,True,cross-component residual signs shared within object cluster,4
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,2f394559fbe5789c99da9eda,,,,False,baseline_and_simulated_correlation_unavailable,True,cross-component residual signs shared within object cluster,4
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,63063743372cd08e7e4c4ed8,0.8401814189531307,-0.3142340995425318,1.1544155184956626,True,preservation_estimable,True,cross-component residual signs shared within object cluster,4
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,9a1b8537bb0aac4dd2f70530,,-1.0872189904690126e-17,,False,baseline_correlation_unavailable,True,cross-component residual signs shared within object cluster,4
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,a24a4754e3d139d456235b65,,,,False,baseline_and_simulated_correlation_unavailable,True,cross-component residual signs shared within object cluster,4
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,cba4ba2ba78612dd885992ab,,0.49232768160196605,,False,baseline_correlation_unavailable,True,cross-component residual signs shared within object cluster,4
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,2089c8ead568c49eba0d317f,,,,False,baseline_and_simulated_correlation_unavailable,True,empirical joint target-control dependence through shared cluster resampling,4
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,2f394559fbe5789c99da9eda,,0.9985367878688038,,False,baseline_correlation_unavailable,True,empirical joint target-control dependence through shared cluster resampling,4
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,63063743372cd08e7e4c4ed8,0.49738182023090344,0.6595944299823939,0.1622126097514905,True,preservation_estimable,True,empirical joint target-control dependence through shared cluster resampling,4
