stage,scope_id,reason,detail,severity
simulator_qualification,local_criterion_breach::confirmation::joint_empirical_cluster_bootstrap,required_qualification_gate_failed,"[""Q2"",""Q3"",""Q5"",""Q8""]",error
simulator_qualification,local_criterion_breach::confirmation::joint_gaussian_regularized_cluster,required_qualification_gate_failed,"[""Q2"",""Q8""]",error
simulator_qualification,local_criterion_breach::confirmation::joint_wild_cluster_rademacher,required_qualification_gate_failed,"[""Q2"",""Q8""]",error
simulator_qualification,local_criterion_breach::discovery::joint_empirical_cluster_bootstrap,required_qualification_gate_failed,"[""Q2"",""Q3"",""Q5"",""Q8""]",error
simulator_qualification,local_criterion_breach::discovery::joint_gaussian_regularized_cluster,required_qualification_gate_failed,"[""Q8""]",error
simulator_qualification,local_criterion_breach::discovery::joint_wild_cluster_rademacher,required_qualification_gate_failed,"[""Q2"",""Q8""]",error
simulator_qualification,log_loss_attenuation::confirmation::joint_empirical_cluster_bootstrap,required_qualification_gate_failed,"[""Q2"",""Q3"",""Q5"",""Q8""]",error
simulator_qualification,log_loss_attenuation::confirmation::joint_gaussian_regularized_cluster,required_qualification_gate_failed,"[""Q8""]",error
simulator_qualification,log_loss_attenuation::confirmation::joint_wild_cluster_rademacher,required_qualification_gate_failed,"[""Q8""]",error
simulator_qualification,log_loss_attenuation::discovery::joint_empirical_cluster_bootstrap,required_qualification_gate_failed,"[""Q2"",""Q3"",""Q5"",""Q8""]",error
simulator_qualification,log_loss_attenuation::discovery::joint_gaussian_regularized_cluster,required_qualification_gate_failed,"[""Q8""]",error
simulator_qualification,log_loss_attenuation::discovery::joint_wild_cluster_rademacher,required_qualification_gate_failed,"[""Q8""]",error
simulator_qualification,measurement_missingness_concentration::confirmation::joint_empirical_cluster_bootstrap,required_qualification_gate_failed,"[""Q2"",""Q3"",""Q5"",""Q8""]",error
simulator_qualification,measurement_missingness_concentration::discovery::joint_empirical_cluster_bootstrap,required_qualification_gate_failed,"[""Q2"",""Q3"",""Q5"",""Q8""]",error
simulator_qualification,relation_separation_attenuation::confirmation::joint_empirical_cluster_bootstrap,required_qualification_gate_failed,"[""Q2"",""Q3"",""Q5"",""Q8""]",error
simulator_qualification,relation_separation_attenuation::confirmation::joint_gaussian_regularized_cluster,required_qualification_gate_failed,"[""Q8""]",error
simulator_qualification,relation_separation_attenuation::confirmation::joint_wild_cluster_rademacher,required_qualification_gate_failed,"[""Q8""]",error
simulator_qualification,relation_separation_attenuation::discovery::joint_empirical_cluster_bootstrap,required_qualification_gate_failed,"[""Q2"",""Q3"",""Q5"",""Q8""]",error
simulator_qualification,relation_separation_attenuation::discovery::joint_gaussian_regularized_cluster,required_qualification_gate_failed,"[""Q8""]",error
simulator_qualification,relation_separation_attenuation::discovery::joint_wild_cluster_rademacher,required_qualification_gate_failed,"[""Q8""]",error
