partition,simulator_id,prospective_cluster_count,control_response_lambda,delta,addresses,macro_mean_gate_passage_probability,minimum_address_probability,median_address_probability,maximum_address_probability
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.25,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.5,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.75,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,1.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,1.5,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,2.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.5,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.75,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,1.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,1.5,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,2.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.5,0.25,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.5,0.5,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.5,0.75,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.5,1.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.5,1.5,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.5,2.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,1.0,0.25,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,1.0,0.5,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,1.0,0.75,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,1.0,1.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,1.0,1.5,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,3,1.0,2.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,4,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,4,0.0,0.25,6,0.006333333333333333,0.0,0.0005,0.022
confirmation,joint_gaussian_regularized_cluster,4,0.0,0.5,6,0.017166666666666667,0.0,0.002,0.05
confirmation,joint_gaussian_regularized_cluster,4,0.0,0.75,6,0.03516666666666667,0.0,0.005,0.132
confirmation,joint_gaussian_regularized_cluster,4,0.0,1.0,6,0.042666666666666665,0.0,0.001,0.184
confirmation,joint_gaussian_regularized_cluster,4,0.0,1.5,6,0.04816666666666667,0.0,0.004,0.225
confirmation,joint_gaussian_regularized_cluster,4,0.0,2.0,6,0.0615,0.0,0.003,0.304
confirmation,joint_gaussian_regularized_cluster,4,0.25,0.25,6,0.004666666666666667,0.0,0.001,0.017
confirmation,joint_gaussian_regularized_cluster,4,0.25,0.5,6,0.018,0.0,0.0025,0.061
confirmation,joint_gaussian_regularized_cluster,4,0.25,0.75,6,0.032,0.0,0.0025,0.132
confirmation,joint_gaussian_regularized_cluster,4,0.25,1.0,6,0.041666666666666664,0.0,0.003,0.191
confirmation,joint_gaussian_regularized_cluster,4,0.25,1.5,6,0.057,0.0,0.004,0.273
confirmation,joint_gaussian_regularized_cluster,4,0.25,2.0,6,0.06216666666666667,0.0,0.006500000000000001,0.298
confirmation,joint_gaussian_regularized_cluster,4,0.5,0.25,6,0.004,0.0,0.0,0.014
confirmation,joint_gaussian_regularized_cluster,4,0.5,0.5,6,0.015333333333333332,0.0,0.0025,0.063
confirmation,joint_gaussian_regularized_cluster,4,0.5,0.75,6,0.030666666666666665,0.0,0.0025,0.126
confirmation,joint_gaussian_regularized_cluster,4,0.5,1.0,6,0.03983333333333333,0.0,0.001,0.186
confirmation,joint_gaussian_regularized_cluster,4,0.5,1.5,6,0.0525,0.0,0.0025,0.252
confirmation,joint_gaussian_regularized_cluster,4,0.5,2.0,6,0.05716666666666667,0.0,0.0025,0.28
confirmation,joint_gaussian_regularized_cluster,4,1.0,0.25,6,0.004333333333333333,0.0,0.0005,0.013
confirmation,joint_gaussian_regularized_cluster,4,1.0,0.5,6,0.009833333333333333,0.0,0.0005,0.04
confirmation,joint_gaussian_regularized_cluster,4,1.0,0.75,6,0.015166666666666667,0.0,0.001,0.066
confirmation,joint_gaussian_regularized_cluster,4,1.0,1.0,6,0.02266666666666667,0.0,0.001,0.11
confirmation,joint_gaussian_regularized_cluster,4,1.0,1.5,6,0.01933333333333333,0.0,0.0,0.093
confirmation,joint_gaussian_regularized_cluster,4,1.0,2.0,6,0.022833333333333334,0.0,0.001,0.107
confirmation,joint_gaussian_regularized_cluster,5,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,5,0.0,0.25,6,0.017,0.0,0.0045000000000000005,0.051
confirmation,joint_gaussian_regularized_cluster,5,0.0,0.5,6,0.05499999999999999,0.0,0.010499999999999999,0.16
confirmation,joint_gaussian_regularized_cluster,5,0.0,0.75,6,0.09249999999999999,0.0,0.0115,0.347
