entitlement_status,partition,simulator_id,prospective_cluster_count,delta,control_response_lambda,addresses,mean_gate_passage_probability,maximum_gate_passage_probability
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.25,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.25,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.5,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.5,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.5,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.5,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.75,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.75,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.75,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,0.75,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,1.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,1.0,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,1.0,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,1.0,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,1.5,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,1.5,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,1.5,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,1.5,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,2.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,2.0,0.25,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,2.0,0.5,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,3,2.0,1.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,4,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.0,3,0.005,0.015
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.25,3,0.0029999999999999996,0.009
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,4,0.25,0.5,3,0.0033333333333333335,0.01
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,4,0.25,1.0,3,0.004333333333333333,0.013
