partition,simulator_id,prospective_cluster_count,delta,control_response_lambda,failed_gates_json,replicate_count
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,"[""effect_direction_reproduced_pass"",""target_contrast_positive_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass"",""control_specificity_pass""]",3760
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,"[""complement_admissible_pass"",""effect_direction_reproduced_pass"",""target_contrast_positive_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass"",""control_specificity_pass""]",1946
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,"[""support_available_pass"",""complement_admissible_pass"",""effect_direction_reproduced_pass"",""target_contrast_positive_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass"",""control_specificity_pass""]",294
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",1727
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""complement_admissible_pass"",""effect_direction_reproduced_pass"",""target_contrast_positive_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass"",""control_specificity_pass""]",1219
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""effect_direction_reproduced_pass"",""target_contrast_positive_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass"",""control_specificity_pass""]",861
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",611
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""complement_admissible_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",537
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",505
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""support_available_pass"",""complement_admissible_pass"",""effect_direction_reproduced_pass"",""target_contrast_positive_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass"",""control_specificity_pass""]",270
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass""]",105
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""complement_admissible_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",64
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""minimum_effect_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",61
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""complement_admissible_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",36
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""complement_admissible_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass""]",3
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,"[""minimum_effect_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass""]",1
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,"[""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",1666
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,"[""complement_admissible_pass"",""effect_direction_reproduced_pass"",""target_contrast_positive_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass"",""control_specificity_pass""]",1267
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,"[""effect_direction_reproduced_pass"",""target_contrast_positive_pass"",""minimum_effect_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass"",""control_adjusted_contrast_pass"",""control_specificity_pass""]",869
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,"[""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",612
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,"[""complement_admissible_pass"",""cluster_uncertainty_pass"",""raw_statistical_threshold_pass"",""multiplicity_adjusted_threshold_pass""]",470
