scenario_id,base_scenario_id,address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,prospective_cluster_count,minimum_attainable_exact_p,structurally_attainable,delta,control_response_lambda,replicates,overall_gate_pass_count,conditional_gate_passage_probability,monte_carlo_wilson_low,monte_carlo_wilson_high,empirically_passable,effective_resolution_attainable_count,effective_resolution_attainable_probability,support_available_pass_count,support_available_pass_probability,complement_admissible_pass_count,complement_admissible_pass_probability,effect_direction_reproduced_pass_count,effect_direction_reproduced_pass_probability,target_contrast_positive_pass_count,target_contrast_positive_pass_probability,minimum_effect_pass_count,minimum_effect_pass_probability,cluster_uncertainty_pass_count,cluster_uncertainty_pass_probability,raw_statistical_threshold_pass_count,raw_statistical_threshold_pass_probability,multiplicity_adjusted_threshold_pass_count,multiplicity_adjusted_threshold_pass_probability,control_adjusted_contrast_pass_count,control_adjusted_contrast_pass_probability,control_specificity_pass_count,control_specificity_pass_probability,mean_target_contrast,min_target_contrast,max_target_contrast,mean_target_response_from_simulated_null,min_target_response_from_simulated_null,max_target_response_from_simulated_null,mean_control_adjusted_contrast,min_control_adjusted_contrast,max_control_adjusted_contrast,mean_positive_control_adjusted_share,min_positive_control_adjusted_share,max_positive_control_adjusted_share,mean_bootstrap_ci_low,min_bootstrap_ci_low,max_bootstrap_ci_low,mean_bootstrap_positive_share,min_bootstrap_positive_share,max_bootstrap_positive_share,mean_direction_consistency,min_direction_consistency,max_direction_consistency,mean_independent_cluster_count,min_independent_cluster_count,max_independent_cluster_count,mean_raw_permutation_p,min_raw_permutation_p,max_raw_permutation_p,mean_source_template_unique_count,min_source_template_unique_count,max_source_template_unique_count,mean_source_template_reuse_fraction,min_source_template_reuse_fraction,max_source_template_reuse_fraction
CS-a3b3170921138c8fa91b1c15,BS-8db185df478614abb3ca98f3,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.125,False,0.0,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,0,0.0,1000,1.0,880,0.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.497,0.0,3.0,1.0,1.0,1.0,2.318,1.0,3.0,0.22733333333333475,0.0,0.6666666666666667
CS-5b8e7585ddeba4adfa378aae,BS-8db185df478614abb3ca98f3,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,4,0.0625,True,0.0,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,59,0.059,1000,1.0,949,0.949,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.017,0.0,4.0,1.0,1.0,1.0,2.76,1.0,4.0,0.31,0.0,0.75
CS-ae17c7c854d09ae0f0b20d67,BS-8db185df478614abb3ca98f3,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,5,0.03125,True,0.0,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,193,0.193,1000,1.0,982,0.982,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.522,0.0,5.0,1.0,1.0,1.0,3.063,1.0,4.0,0.3873999999999957,0.19999999999999996,0.8
CS-65975a962089ead7e71a2e3e,BS-8db185df478614abb3ca98f3,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,6,0.015625,True,0.0,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,348,0.348,1000,1.0,996,0.996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,3.02,0.0,6.0,1.0,1.0,1.0,3.302,1.0,4.0,0.4496666666666651,0.33333333333333337,0.8333333333333334
CS-52e9680d64ce3df80c1680a8,BS-8db185df478614abb3ca98f3,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,8,0.00390625,True,0.0,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,653,0.653,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,4.028,0.0,8.0,1.0,1.0,1.0,3.605,2.0,4.0,0.549375,0.5,0.75
CS-35f8141814fa04506a6884d6,BS-8db185df478614abb3ca98f3,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,10,0.0009765625,True,0.0,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,828,0.828,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,5.033,0.0,10.0,1.0,1.0,1.0,3.776,2.0,4.0,0.6224000000000092,0.6,0.8
CS-936e7c784a1c0bfe0c0ec1c8,BS-8db185df478614abb3ca98f3,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,12,0.000244140625,True,0.0,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,931,0.931,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,6.067,1.0,11.0,1.0,1.0,1.0,3.86,2.0,4.0,0.6783333333333305,0.6666666666666667,0.8333333333333334
CS-92046ce8bdc11855cfc9bb39,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.125,False,0.25,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,0,0.0,1000,1.0,869,0.869,862,0.862,862,0.862,619,0.619,300,0.3,0,0.0,0,0.0,815,0.815,862,0.862,0.17252589407672386,0.0,0.875,0.17252589407672386,0.0,0.875,0.17252589407672386,0.0,0.875,0.8941908713692946,0.0,1.0,0.11744444444444466,0.022222222222222223,0.6,0.9947021484375,0.9521484375,1.0,0.7969187675070029,0.0,1.0,1.451,0.0,3.0,0.69125,0.125,1.0,2.301,1.0,3.0,0.23300000000000148,0.0,0.6666666666666667
CS-f6bd94eb12030489f1e92a53,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,4,0.0625,True,0.25,0.0,1000,22,0.022,0.014572707764791058,0.03308567334739963,True,48,0.048,1000,1.0,936,0.936,934,0.934,934,0.934,663,0.663,464,0.464,22,0.022,22,0.022,860,0.86,934,0.934,0.17180870955215477,0.0,0.6666666666666666,0.17180870955215477,0.0,0.6666666666666666,0.17180870955215477,0.0,0.6666666666666666,0.9424823410696267,0.0,1.0,0.1026637535310739,0.0,0.6,0.9900067862817796,0.666015625,1.0,0.8382058970514746,0.0,1.0,1.932,0.0,4.0,0.54475,0.0625,1.0,2.724,1.0,4.0,0.319,0.0,0.75
CS-4a5ed6527ea236d24d45e865,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,5,0.03125,True,0.25,0.0,1000,51,0.051,0.03900094277526684,0.06643548634476165,True,157,0.157,1000,1.0,983,0.983,973,0.973,973,0.973,719,0.719,582,0.582,53,0.053,53,0.053,902,0.902,973,0.973,0.1724465988360757,0.0,0.6153846153846154,0.1724465988360757,0.0,0.6153846153846154,0.1724465988360757,0.0,0.6153846153846154,0.9749498997995992,0.0,1.0,0.08926453957996824,0.0,0.6,0.9851125492225363,0.6787109375,1.0,0.8767752715121133,0.0,1.0,2.429,0.0,5.0,0.42309375,0.03125,1.0,3.054,1.0,4.0,0.3891999999999971,0.19999999999999996,0.8
