partition,simulator_id,prospective_cluster_count,delta,control_response_lambda,gate_order,gate_name,cumulative_pass_count,replicates,cumulative_pass_probability
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,1,support_available_pass,5706,6000,0.951
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,2,complement_admissible_pass,3760,6000,0.6266666666666667
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,3,effect_direction_reproduced_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,4,target_contrast_positive_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,5,minimum_effect_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,6,cluster_uncertainty_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,7,raw_statistical_threshold_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,8,multiplicity_adjusted_threshold_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,9,control_adjusted_contrast_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.0,0.0,10,control_specificity_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,1,support_available_pass,5730,6000,0.955
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,2,complement_admissible_pass,3871,6000,0.6451666666666667
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,3,effect_direction_reproduced_pass,3010,6000,0.5016666666666667
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,4,target_contrast_positive_pass,3010,6000,0.5016666666666667
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,5,minimum_effect_pass,2338,6000,0.38966666666666666
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,6,cluster_uncertainty_pass,611,6000,0.10183333333333333
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,7,raw_statistical_threshold_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,8,multiplicity_adjusted_threshold_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,9,control_adjusted_contrast_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.0,10,control_specificity_pass,0,6000,0.0
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,1,support_available_pass,5744,6000,0.9573333333333334
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,2,complement_admissible_pass,3872,6000,0.6453333333333333
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,3,effect_direction_reproduced_pass,3003,6000,0.5005
confirmation,joint_gaussian_regularized_cluster,3,0.25,0.25,4,target_contrast_positive_pass,3003,6000,0.5005
