scenario_id,base_scenario_id,prospective_cluster_count,delta,control_response_lambda,replicates,master_seed,engineering_smoke,nested_campaign_prefix,scenario_semantics
CS-a3b3170921138c8fa91b1c15,BS-8db185df478614abb3ca98f3,3,0.0,0.0,1000,85200,False,True,prospective null gate-attainability calibration
CS-5b8e7585ddeba4adfa378aae,BS-8db185df478614abb3ca98f3,4,0.0,0.0,1000,85200,False,True,prospective null gate-attainability calibration
CS-ae17c7c854d09ae0f0b20d67,BS-8db185df478614abb3ca98f3,5,0.0,0.0,1000,85200,False,True,prospective null gate-attainability calibration
CS-65975a962089ead7e71a2e3e,BS-8db185df478614abb3ca98f3,6,0.0,0.0,1000,85200,False,True,prospective null gate-attainability calibration
CS-52e9680d64ce3df80c1680a8,BS-8db185df478614abb3ca98f3,8,0.0,0.0,1000,85200,False,True,prospective null gate-attainability calibration
CS-35f8141814fa04506a6884d6,BS-8db185df478614abb3ca98f3,10,0.0,0.0,1000,85200,False,True,prospective null gate-attainability calibration
CS-936e7c784a1c0bfe0c0ec1c8,BS-8db185df478614abb3ca98f3,12,0.0,0.0,1000,85200,False,True,prospective null gate-attainability calibration
CS-92046ce8bdc11855cfc9bb39,BS-86908245b500f51dceb1a9bd,3,0.25,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-f6bd94eb12030489f1e92a53,BS-86908245b500f51dceb1a9bd,4,0.25,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-4a5ed6527ea236d24d45e865,BS-86908245b500f51dceb1a9bd,5,0.25,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-60825502233b89b1be20314b,BS-86908245b500f51dceb1a9bd,6,0.25,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-c3a99d3f00478c06aaedf1e7,BS-86908245b500f51dceb1a9bd,8,0.25,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-2098eae7ab7aed0edbbd7903,BS-86908245b500f51dceb1a9bd,10,0.25,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-9b95a29717cdd20543e1d887,BS-86908245b500f51dceb1a9bd,12,0.25,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,3,0.25,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-bbbe56da6053bff6a237c985,BS-6158ce693345d379a6e101af,4,0.25,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-ae406e92d3a2233d8cb9df31,BS-6158ce693345d379a6e101af,5,0.25,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-384ff01cf1e263eff584f911,BS-6158ce693345d379a6e101af,6,0.25,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-ff949eb5bc9bcc5eab0aca93,BS-6158ce693345d379a6e101af,8,0.25,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-aa74fb88335931e4e98c0840,BS-6158ce693345d379a6e101af,10,0.25,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-fb546e656ceec14c2cc39eab,BS-6158ce693345d379a6e101af,12,0.25,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-0a692859acfa2ef37da4ab01,BS-0ea9ecc769eeb0f5d5e7d5af,3,0.25,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-0c871475b529cddf96a3f200,BS-0ea9ecc769eeb0f5d5e7d5af,4,0.25,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-6ea04e5e9a0f6abcb872aff4,BS-0ea9ecc769eeb0f5d5e7d5af,5,0.25,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-9f07b6b4d5ede33ab166f02d,BS-0ea9ecc769eeb0f5d5e7d5af,6,0.25,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-72b424060e795b71d61ae85f,BS-0ea9ecc769eeb0f5d5e7d5af,8,0.25,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-e19de2261cf5e2037940f7b3,BS-0ea9ecc769eeb0f5d5e7d5af,10,0.25,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-0fb7173352565665845e86ac,BS-0ea9ecc769eeb0f5d5e7d5af,12,0.25,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,3,0.25,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-3be91a6d3ddfb0f0fadd6c8a,BS-e36baf63813fec681418d6ce,4,0.25,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-21dd3107e775321df2beb828,BS-e36baf63813fec681418d6ce,5,0.25,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-aed85a40147fcde122ba0ae0,BS-e36baf63813fec681418d6ce,6,0.25,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-370b78065a5b7d30ca08ebf8,BS-e36baf63813fec681418d6ce,8,0.25,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-56850921ec617a5f02bc87a7,BS-e36baf63813fec681418d6ce,10,0.25,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-cb3dbcf6e1d6a3787323f4cf,BS-e36baf63813fec681418d6ce,12,0.25,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,3,0.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
