address_id,partition,prospective_cluster_count,delta,control_response_lambda,simulator_count,minimum_simulator_probability,maximum_simulator_probability,mean_simulator_probability,between_simulator_spread
03ef63db7584762143dc3914,confirmation,3,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.25,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.25,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.25,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.25,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.5,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.5,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.5,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.5,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.75,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.75,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.75,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,0.75,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,1.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,1.0,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,1.0,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,1.0,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,1.5,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,1.5,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,1.5,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,1.5,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,2.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,2.0,0.25,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,2.0,0.5,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,3,2.0,1.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,4,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,4,0.25,0.0,2,0.022,0.026,0.024,0.004
03ef63db7584762143dc3914,confirmation,4,0.25,0.25,2,0.017,0.022,0.0195,0.0049999999999999975
03ef63db7584762143dc3914,confirmation,4,0.25,0.5,2,0.014,0.019,0.0165,0.004999999999999999
03ef63db7584762143dc3914,confirmation,4,0.25,1.0,2,0.011,0.012,0.0115,0.0010000000000000009
