partition,simulator_id,prospective_cluster_count,cluster_uncertainty_decision_status,replicate_count,replicate_share
confirmation,joint_gaussian_regularized_cluster,3,exact_insufficient_clusters,108598,0.7239866666666667
confirmation,joint_gaussian_regularized_cluster,3,exact_positive_certificate,29462,0.19641333333333333
confirmation,joint_gaussian_regularized_cluster,3,exact_direction_failure,8837,0.05891333333333333
confirmation,joint_gaussian_regularized_cluster,3,mc_percentile_ambiguous_vector,3103,0.020686666666666666
confirmation,joint_gaussian_regularized_cluster,4,exact_insufficient_clusters,95895,0.6393
confirmation,joint_gaussian_regularized_cluster,4,exact_positive_certificate,38160,0.2544
confirmation,joint_gaussian_regularized_cluster,4,exact_direction_failure,8271,0.05514
confirmation,joint_gaussian_regularized_cluster,4,mc_percentile_ambiguous_vector,7674,0.05116
confirmation,joint_gaussian_regularized_cluster,5,exact_insufficient_clusters,86756,0.5783733333333333
confirmation,joint_gaussian_regularized_cluster,5,exact_positive_certificate,44306,0.2953733333333333
confirmation,joint_gaussian_regularized_cluster,5,mc_percentile_ambiguous_vector,11695,0.07796666666666667
confirmation,joint_gaussian_regularized_cluster,5,exact_direction_failure,7243,0.048286666666666665
confirmation,joint_gaussian_regularized_cluster,6,exact_insufficient_clusters,79597,0.5306466666666667
confirmation,joint_gaussian_regularized_cluster,6,exact_positive_certificate,48908,0.3260533333333333
confirmation,joint_gaussian_regularized_cluster,6,mc_percentile_ambiguous_vector,14891,0.09927333333333334
confirmation,joint_gaussian_regularized_cluster,6,exact_direction_failure,6604,0.044026666666666665
confirmation,joint_gaussian_regularized_cluster,8,exact_insufficient_clusters,69080,0.46053333333333335
confirmation,joint_gaussian_regularized_cluster,8,exact_positive_certificate,55278,0.36852
confirmation,joint_gaussian_regularized_cluster,8,mc_percentile_ambiguous_vector,19571,0.13047333333333333
confirmation,joint_gaussian_regularized_cluster,8,exact_direction_failure,6071,0.04047333333333333
confirmation,joint_gaussian_regularized_cluster,10,exact_insufficient_clusters,62376,0.41584
confirmation,joint_gaussian_regularized_cluster,10,exact_positive_certificate,58798,0.39198666666666665
confirmation,joint_gaussian_regularized_cluster,10,mc_percentile_ambiguous_vector,23052,0.15368
confirmation,joint_gaussian_regularized_cluster,10,exact_direction_failure,5774,0.03849333333333333
confirmation,joint_gaussian_regularized_cluster,12,exact_positive_certificate,60669,0.40446
confirmation,joint_gaussian_regularized_cluster,12,exact_insufficient_clusters,58004,0.38669333333333333
confirmation,joint_gaussian_regularized_cluster,12,mc_percentile_ambiguous_vector,25818,0.17212
confirmation,joint_gaussian_regularized_cluster,12,exact_direction_failure,5509,0.036726666666666664
confirmation,joint_wild_cluster_rademacher,3,exact_insufficient_clusters,108483,0.72322
confirmation,joint_wild_cluster_rademacher,3,exact_positive_certificate,29594,0.19729333333333332
confirmation,joint_wild_cluster_rademacher,3,exact_direction_failure,8764,0.05842666666666667
confirmation,joint_wild_cluster_rademacher,3,mc_percentile_ambiguous_vector,3159,0.02106
confirmation,joint_wild_cluster_rademacher,4,exact_insufficient_clusters,95774,0.6384933333333334
confirmation,joint_wild_cluster_rademacher,4,exact_positive_certificate,38434,0.25622666666666666
confirmation,joint_wild_cluster_rademacher,4,exact_direction_failure,8132,0.054213333333333336
confirmation,joint_wild_cluster_rademacher,4,mc_percentile_ambiguous_vector,7660,0.05106666666666667
confirmation,joint_wild_cluster_rademacher,5,exact_insufficient_clusters,86570,0.5771333333333334
confirmation,joint_wild_cluster_rademacher,5,exact_positive_certificate,44581,0.2972066666666667
confirmation,joint_wild_cluster_rademacher,5,mc_percentile_ambiguous_vector,11627,0.07751333333333334
confirmation,joint_wild_cluster_rademacher,5,exact_direction_failure,7222,0.048146666666666664
confirmation,joint_wild_cluster_rademacher,6,exact_insufficient_clusters,79529,0.5301933333333333
confirmation,joint_wild_cluster_rademacher,6,exact_positive_certificate,49133,0.3275533333333333
confirmation,joint_wild_cluster_rademacher,6,mc_percentile_ambiguous_vector,14839,0.09892666666666666
confirmation,joint_wild_cluster_rademacher,6,exact_direction_failure,6499,0.043326666666666666
confirmation,joint_wild_cluster_rademacher,8,exact_insufficient_clusters,69286,0.4619066666666667
confirmation,joint_wild_cluster_rademacher,8,exact_positive_certificate,55308,0.36872
confirmation,joint_wild_cluster_rademacher,8,mc_percentile_ambiguous_vector,19461,0.12974
confirmation,joint_wild_cluster_rademacher,8,exact_direction_failure,5945,0.03963333333333333
confirmation,joint_wild_cluster_rademacher,10,exact_insufficient_clusters,62492,0.41661333333333334
confirmation,joint_wild_cluster_rademacher,10,exact_positive_certificate,58800,0.392
confirmation,joint_wild_cluster_rademacher,10,mc_percentile_ambiguous_vector,22965,0.1531
confirmation,joint_wild_cluster_rademacher,10,exact_direction_failure,5743,0.03828666666666666
confirmation,joint_wild_cluster_rademacher,12,exact_positive_certificate,60725,0.4048333333333333
confirmation,joint_wild_cluster_rademacher,12,exact_insufficient_clusters,57967,0.38644666666666666
confirmation,joint_wild_cluster_rademacher,12,mc_percentile_ambiguous_vector,25804,0.17202666666666666
