address_id,partition,simulator_id,profile_scope,address_effect_control_cells,empirically_passable_cells,empirically_passable_share,minimum_k_for_any_passage,minimum_k_for_any_0_50_reliability,minimum_k_for_any_0_80_reliability,minimum_k_for_any_0_90_reliability,cells_reaching_0_50,cells_reaching_0_80,cells_reaching_0_90,maximum_tested_gate_passage_probability,median_final_gate_passage_probability,dominant_persistent_nonpassage_class,mean_nominal_support_efficiency_at_max_k,mean_effective_cluster_count_at_max_k
03ef63db7584762143dc3914,all,all,address_all_contexts,100,96,0.96,4.0,5.0,6.0,8.0,72,62,52,1.0,0.902,mixed_gate_limited,0.6246366666666667,7.49564
1cce3e5fe7c50070e58676c9,all,all,address_all_contexts,100,48,0.48,4.0,,,,0,0,0,0.383,0.0,mixed_gate_limited,0.12477166666666667,1.49726
1dbc920edffba9363b404b4e,all,all,address_all_contexts,100,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
bfa569fbae807b7f50c3389f,all,all,address_all_contexts,100,48,0.48,4.0,,,,0,0,0,0.368,0.0,mixed_gate_limited,0.125125,1.5014999999999998
d10b3aec4edc47fefb2bd92f,all,all,address_all_contexts,100,48,0.48,4.0,,,,0,0,0,0.373,0.0,mixed_gate_limited,0.12459833333333332,1.4951799999999997
fe17c18b39eb86c6e9f982bd,all,all,address_all_contexts,100,96,0.96,4.0,5.0,6.0,8.0,69,60,55,1.0,0.9095,mixed_gate_limited,0.7493083333333332,8.991700000000002
03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,address_partition_simulator,25,24,0.96,4.0,8.0,10.0,12.0,18,14,10,0.932,0.88,mixed_gate_limited,0.49851999999999996,5.982240000000001
03ef63db7584762143dc3914,confirmation,joint_wild_cluster_rademacher,address_partition_simulator,25,24,0.96,4.0,8.0,10.0,12.0,18,14,12,0.933,0.895,mixed_gate_limited,0.5003,6.0036000000000005
03ef63db7584762143dc3914,discovery,joint_gaussian_regularized_cluster,address_partition_simulator,25,24,0.96,4.0,5.0,6.0,8.0,18,17,15,1.0,0.983,mixed_gate_limited,0.74993,8.99916
03ef63db7584762143dc3914,discovery,joint_wild_cluster_rademacher,address_partition_simulator,25,24,0.96,4.0,5.0,6.0,8.0,18,17,15,1.0,0.977,mixed_gate_limited,0.7497966666666668,8.99756
1cce3e5fe7c50070e58676c9,confirmation,joint_gaussian_regularized_cluster,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
1cce3e5fe7c50070e58676c9,confirmation,joint_wild_cluster_rademacher,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
1cce3e5fe7c50070e58676c9,discovery,joint_gaussian_regularized_cluster,address_partition_simulator,25,24,0.96,4.0,,,,0,0,0,0.383,0.28,mixed_gate_limited,0.25017,3.00204
1cce3e5fe7c50070e58676c9,discovery,joint_wild_cluster_rademacher,address_partition_simulator,25,24,0.96,4.0,,,,0,0,0,0.359,0.275,mixed_gate_limited,0.24891666666666665,2.987
1dbc920edffba9363b404b4e,confirmation,joint_gaussian_regularized_cluster,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_wild_cluster_rademacher,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_gaussian_regularized_cluster,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_wild_cluster_rademacher,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
bfa569fbae807b7f50c3389f,confirmation,joint_gaussian_regularized_cluster,address_partition_simulator,25,24,0.96,4.0,,,,0,0,0,0.368,0.243,mixed_gate_limited,0.25015333333333334,3.00184
bfa569fbae807b7f50c3389f,confirmation,joint_wild_cluster_rademacher,address_partition_simulator,25,24,0.96,4.0,,,,0,0,0,0.362,0.239,mixed_gate_limited,0.2503466666666666,3.0041599999999993
bfa569fbae807b7f50c3389f,discovery,joint_gaussian_regularized_cluster,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_wild_cluster_rademacher,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_gaussian_regularized_cluster,address_partition_simulator,25,24,0.96,4.0,,,,0,0,0,0.365,0.317,mixed_gate_limited,0.24855,2.9825999999999997
d10b3aec4edc47fefb2bd92f,confirmation,joint_wild_cluster_rademacher,address_partition_simulator,25,24,0.96,4.0,,,,0,0,0,0.373,0.332,mixed_gate_limited,0.24984333333333336,2.99812
d10b3aec4edc47fefb2bd92f,discovery,joint_gaussian_regularized_cluster,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_wild_cluster_rademacher,address_partition_simulator,25,0,0.0,,,,,0,0,0,0.0,0.0,mixed_gate_limited,0.0,0.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_gaussian_regularized_cluster,address_partition_simulator,25,24,0.96,4.0,5.0,6.0,8.0,17,15,13,1.0,0.904,mixed_gate_limited,0.7496133333333335,8.99536
fe17c18b39eb86c6e9f982bd,confirmation,joint_wild_cluster_rademacher,address_partition_simulator,25,24,0.96,4.0,5.0,6.0,8.0,17,15,14,1.0,0.908,mixed_gate_limited,0.74887,8.98644
fe17c18b39eb86c6e9f982bd,discovery,joint_gaussian_regularized_cluster,address_partition_simulator,25,24,0.96,4.0,5.0,6.0,8.0,18,15,14,1.0,0.923,mixed_gate_limited,0.74777,8.97324
fe17c18b39eb86c6e9f982bd,discovery,joint_wild_cluster_rademacher,address_partition_simulator,25,24,0.96,4.0,5.0,6.0,8.0,17,15,14,1.0,0.92,mixed_gate_limited,0.75098,9.01176
