aggregation_scope,partition,simulator_id,prospective_cluster_count,evaluated_cells,empirically_passable_cells,empirically_passable_share,newly_passable_cells_from_previous,lost_passable_cells_from_previous,mean_gate_passage_probability,mean_probability_gain_from_previous,cells_reaching_0_50,cells_reaching_0_80,cells_reaching_0_90,mean_effective_cluster_count,coverage_plateau_start_k,diagnostic_design_status
global,all,all,3,600,0,0.0,0,0,0.0,,0,0,0,0.8751366666666667,6,structurally_unattainable
global,all,all,4,600,307,0.5116666666666667,307,0,0.042085,0.042085,0,0,0,1.1670150000000001,6,coverage_expanding
global,all,all,5,600,334,0.5566666666666666,28,1,0.09629833333333333,0.054213333333333336,47,0,0,1.457725,6,coverage_expanding
global,all,all,6,600,336,0.56,2,0,0.144905,0.04860666666666667,78,19,0,1.7500066666666665,6,coverage_plateau_probability_gain_continues
global,all,all,8,600,336,0.56,0,0,0.21365333333333333,0.06874833333333333,124,71,52,2.3318483333333333,6,coverage_plateau_probability_gain_continues
global,all,all,10,600,336,0.56,0,0,0.26006,0.04640666666666668,130,107,71,2.9143499999999998,6,coverage_plateau_probability_gain_continues
global,all,all,12,600,336,0.56,0,0,0.29566166666666666,0.03560166666666664,141,122,107,3.4968800000000004,6,coverage_plateau_probability_gain_within_epsilon
partition_simulator,confirmation,joint_gaussian_regularized_cluster,3,150,0,0.0,0,0,0.0,,0,0,0,0.8743400000000001,6,structurally_unattainable
partition_simulator,confirmation,joint_gaussian_regularized_cluster,4,150,81,0.54,81,0,0.028806666666666664,0.028806666666666664,0,0,0,1.1674133333333334,6,coverage_expanding
partition_simulator,confirmation,joint_gaussian_regularized_cluster,5,150,94,0.6266666666666667,14,1,0.07202,0.04321333333333334,6,0,0,1.4575600000000002,6,coverage_expanding
partition_simulator,confirmation,joint_gaussian_regularized_cluster,6,150,96,0.64,2,0,0.11807333333333332,0.04605333333333332,12,2,0,1.7498733333333334,6,coverage_plateau_probability_gain_continues
partition_simulator,confirmation,joint_gaussian_regularized_cluster,8,150,96,0.64,0,0,0.19741999999999998,0.07934666666666666,29,11,7,2.331986666666667,6,coverage_plateau_probability_gain_continues
partition_simulator,confirmation,joint_gaussian_regularized_cluster,10,150,96,0.64,0,0,0.2591666666666667,0.06174666666666673,32,23,11,2.9126733333333332,6,coverage_plateau_probability_gain_continues
partition_simulator,confirmation,joint_gaussian_regularized_cluster,12,150,96,0.64,0,0,0.30783999999999995,0.048673333333333235,35,29,23,3.4936733333333345,6,coverage_plateau_probability_gain_within_epsilon
partition_simulator,confirmation,joint_wild_cluster_rademacher,3,150,0,0.0,0,0,0.0,,0,0,0,0.8769266666666667,5,structurally_unattainable
partition_simulator,confirmation,joint_wild_cluster_rademacher,4,150,89,0.5933333333333334,89,0,0.029079999999999995,0.029079999999999995,0,0,0,1.1688733333333332,5,coverage_expanding
partition_simulator,confirmation,joint_wild_cluster_rademacher,5,150,96,0.64,7,0,0.07271333333333334,0.04363333333333334,6,0,0,1.4588133333333333,5,coverage_plateau_probability_gain_continues
partition_simulator,confirmation,joint_wild_cluster_rademacher,6,150,96,0.64,0,0,0.11894,0.046226666666666666,12,1,0,1.7520466666666663,5,coverage_plateau_probability_gain_continues
partition_simulator,confirmation,joint_wild_cluster_rademacher,8,150,96,0.64,0,0,0.1974333333333333,0.07849333333333329,29,9,6,2.332733333333333,5,coverage_plateau_probability_gain_continues
partition_simulator,confirmation,joint_wild_cluster_rademacher,10,150,96,0.64,0,0,0.26032,0.0628866666666667,32,24,10,2.91606,5,coverage_plateau_probability_gain_continues
partition_simulator,confirmation,joint_wild_cluster_rademacher,12,150,96,0.64,0,0,0.3096066666666667,0.0492866666666667,35,29,26,3.49872,5,coverage_plateau_probability_gain_within_epsilon
partition_simulator,discovery,joint_gaussian_regularized_cluster,3,150,0,0.0,0,0,0.0,,0,0,0,0.8741666666666666,5,structurally_unattainable
partition_simulator,discovery,joint_gaussian_regularized_cluster,4,150,68,0.4533333333333333,68,0,0.05592,0.05592,0,0,0,1.1655,5,coverage_expanding
partition_simulator,discovery,joint_gaussian_regularized_cluster,5,150,72,0.48,4,0,0.11973999999999999,0.06381999999999999,17,0,0,1.4557866666666668,5,coverage_plateau_probability_gain_continues
partition_simulator,discovery,joint_gaussian_regularized_cluster,6,150,72,0.48,0,0,0.1711,0.05136000000000002,27,7,0,1.7487066666666666,5,coverage_plateau_probability_gain_continues
partition_simulator,discovery,joint_gaussian_regularized_cluster,8,150,72,0.48,0,0,0.2301733333333333,0.05907333333333331,33,25,19,2.33032,5,coverage_plateau_probability_gain_continues
partition_simulator,discovery,joint_gaussian_regularized_cluster,10,150,72,0.48,0,0,0.26071333333333335,0.03054000000000004,33,30,25,2.91318,5,coverage_plateau_probability_gain_continues
partition_simulator,discovery,joint_gaussian_regularized_cluster,12,150,72,0.48,0,0,0.2826533333333333,0.02193999999999996,36,32,29,3.4957400000000005,5,coverage_plateau_probability_gain_within_epsilon
partition_simulator,discovery,joint_wild_cluster_rademacher,3,150,0,0.0,0,0,0.0,,0,0,0,0.8751133333333333,5,structurally_unattainable
partition_simulator,discovery,joint_wild_cluster_rademacher,4,150,69,0.46,69,0,0.05453333333333333,0.05453333333333333,0,0,0,1.1662733333333335,5,coverage_expanding
partition_simulator,discovery,joint_wild_cluster_rademacher,5,150,72,0.48,3,0,0.12071999999999998,0.06618666666666664,18,0,0,1.4587400000000001,5,coverage_plateau_probability_gain_continues
partition_simulator,discovery,joint_wild_cluster_rademacher,6,150,72,0.48,0,0,0.17150666666666667,0.05078666666666669,27,9,0,1.7494,5,coverage_plateau_probability_gain_continues
partition_simulator,discovery,joint_wild_cluster_rademacher,8,150,72,0.48,0,0,0.2295866666666667,0.05808000000000002,33,26,20,2.332353333333333,5,coverage_plateau_probability_gain_continues
partition_simulator,discovery,joint_wild_cluster_rademacher,10,150,72,0.48,0,0,0.26004,0.030453333333333305,33,30,25,2.915486666666667,5,coverage_plateau_probability_gain_continues
partition_simulator,discovery,joint_wild_cluster_rademacher,12,150,72,0.48,0,0,0.28254666666666667,0.022506666666666675,35,32,29,3.4993866666666666,5,coverage_plateau_probability_gain_within_epsilon
