artifact_role,artifact_path,expected_size_bytes,actual_size_bytes,expected_sha256,actual_sha256,validation_status
frozen_obs085c_manifest,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_manifest.json,17663,17663,713dc5bd37d234de9f4c0a8bf366058478f99cfc79c11252f38026f4117b0e9e,713dc5bd37d234de9f4c0a8bf366058478f99cfc79c11252f38026f4117b0e9e,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_address_manifest.csv,3444,3444,c55c1efae8d18e8f74da79756158ba58910a9cd55a6ccad75d30747e24822aaf,c55c1efae8d18e8f74da79756158ba58910a9cd55a6ccad75d30747e24822aaf,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_attainability_map.csv,2269,2269,561a699ed6144cb8362f3874647f8891fcbce2d5e1fd3af7b04935f764abeefa,561a699ed6144cb8362f3874647f8891fcbce2d5e1fd3af7b04935f764abeefa,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_authorized_cells.csv,2596,2596,4ed5245c15f4e018e8b67d7b10242d966b3a85f5e3a0055016a61401d6c44db9,4ed5245c15f4e018e8b67d7b10242d966b3a85f5e3a0055016a61401d6c44db9,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_campaign_curve_summary.csv,62036,62036,b24343213be82dab9df31753f00d7ad0f6150656a38b9e0c69ac422ce4c8353b,b24343213be82dab9df31753f00d7ad0f6150656a38b9e0c69ac422ce4c8353b,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_design_manifest.csv,1645,1645,91f0dd490d098cd01bf112fedacbc578f94a148befedc25541992f61f5214d0e,91f0dd490d098cd01bf112fedacbc578f94a148befedc25541992f61f5214d0e,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_entitlement_overlay.csv,133447,133447,edee5bda1a8b3b4538414f66b3c2fc959111819a02b5d6f3666a6b2408071956,edee5bda1a8b3b4538414f66b3c2fc959111819a02b5d6f3666a6b2408071956,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_failure_combinations.csv,1959099,1959099,15214093098efe0b69f2209c81e38506156964be4ffd8ae10e626a7ec0e89a89,15214093098efe0b69f2209c81e38506156964be4ffd8ae10e626a7ec0e89a89,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_failures.csv,38,38,49aec4e591dc9dabf1dbf1bac0f611bd6d7a0bdd59c83a83cfaa36d4718be47f,49aec4e591dc9dabf1dbf1bac0f611bd6d7a0bdd59c83a83cfaa36d4718be47f,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_gate_contract.csv,2067,2067,1b293650737b2d1f891abf9060efbceff7b98f6e4982873461105ca445e9d23e,1b293650737b2d1f891abf9060efbceff7b98f6e4982873461105ca445e9d23e,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_gate_failure_summary.csv,6729224,6729224,72522ad89845e679fbe7bbd75ca7a410879d02077186086dadadc2b06c38d135,72522ad89845e679fbe7bbd75ca7a410879d02077186086dadadc2b06c38d135,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_gate_passage_summary.csv,3105395,3105395,cb836818d94f8d0e5b1dff769dc5ff4ccfff639635408e1ac3ff7dbd93779787,cb836818d94f8d0e5b1dff769dc5ff4ccfff639635408e1ac3ff7dbd93779787,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_input_manifest.csv,2264,2264,de3833c3c7fd7014ddfeb2d8a7830831293fb73b83c41071ac96aa37e5178cd8,de3833c3c7fd7014ddfeb2d8a7830831293fb73b83c41071ac96aa37e5178cd8,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_minimum_required_clusters.csv,369360,369360,c1b20fe14883f3b18a255acaa07c9df8c2cdcff0e57770642167f34fd24420f5,c1b20fe14883f3b18a255acaa07c9df8c2cdcff0e57770642167f34fd24420f5,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_ordered_gate_passage.csv,759101,759101,7e280909a00981978fb3a2942861bcb7d4db8103e2318a8efbb880cbeb06f1ce,7e280909a00981978fb3a2942861bcb7d4db8103e2318a8efbb880cbeb06f1ce,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_report.md,18156,18156,8993056755b0295c69f720696973f0d536f9185aab4d9d34cd5d1a49e7f14449,8993056755b0295c69f720696973f0d536f9185aab4d9d34cd5d1a49e7f14449,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_scenario_manifest.csv,27308,27308,52d23eac75239b99fd3a7ee6a9f1e9ffde764aededfc2dc61381cac33cb6755d,52d23eac75239b99fd3a7ee6a9f1e9ffde764aededfc2dc61381cac33cb6755d,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_simulator_envelope.csv,160423,160423,94a55024ed8ebb3e94c5c2182728725af2b05b8b946bf7990191967a037b4f3d,94a55024ed8ebb3e94c5c2182728725af2b05b8b946bf7990191967a037b4f3d,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_source_template_audit.csv,20916,20916,9f846b41e379992790de0d9b4a6badd85aba6c6f5679bee92d4c5a1eb00ed532,9f846b41e379992790de0d9b4a6badd85aba6c6f5679bee92d4c5a1eb00ed532,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/obs085c_uncertainty_engine_audit.csv,10836,10836,438b22dea5abd151c93a8bafc68ddd0184ba7f6ae6c58d99428373c719192c14,438b22dea5abd151c93a8bafc68ddd0184ba7f6ae6c58d99428373c719192c14,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/replicates/obs085c_replicates_k03.csv.gz,26736747,26736747,11c15877895836466d65450c3006a384450792acb2e74003e4c802458fb0c467,11c15877895836466d65450c3006a384450792acb2e74003e4c802458fb0c467,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/replicates/obs085c_replicates_k04.csv.gz,29481501,29481501,21ad44916caa9b59a280d897cf229c2271fe338a07aac221d7d4533b32193507,21ad44916caa9b59a280d897cf229c2271fe338a07aac221d7d4533b32193507,validated
frozen_obs085c_output,outputs/rig_registry/obs085_detection_envelope/obs085c_campaign_attainability_simulation/replicates/obs085c_replicates_k05.csv.gz,31917462,31917462,8e0e2cf468f3d59d6b289685e4a3e9aa31f81a1fd9234710dd0bc0dc3416c016,8e0e2cf468f3d59d6b289685e4a3e9aa31f81a1fd9234710dd0bc0dc3416c016,validated
