aggregation_scope,partition,simulator_id,previous_cluster_count,next_cluster_count,evaluated_cells,newly_empirically_passable_cells,lost_empirically_passable_cells,mean_gate_passage_probability_gain,median_gate_passage_probability_gain,minimum_gate_passage_probability_gain,maximum_gate_passage_probability_gain,positive_probability_gain_share,mean_effective_cluster_gain,newly_reached_probability_0_5,lost_probability_0_5,newly_reached_probability_0_8,lost_probability_0_8,newly_reached_probability_0_9,lost_probability_0_9
global,all,all,3,4,600,307,0,0.042085,0.001,0.0,0.351,0.5116666666666667,0.29187833333333335,0,0,0,0,0,0
global,all,all,4,5,600,28,1,0.05421333333333333,0.004,-0.001,0.345,0.5566666666666666,0.29071,47,0,0,0,0,0
global,all,all,5,6,600,2,0,0.048606666666666666,0.006999999999999999,0.0,0.246,0.56,0.29228166666666666,31,0,19,0,0,0
global,all,all,6,8,600,0,0,0.06874833333333333,0.020499999999999997,-0.0010000000000000009,0.306,0.5566666666666666,0.5818416666666667,46,0,52,0,52,0
global,all,all,8,10,600,0,0,0.046406666666666666,0.015499999999999998,-0.028000000000000025,0.22299999999999998,0.525,0.5825016666666666,6,0,36,0,19,0
global,all,all,10,12,600,0,0,0.03560166666666667,0.0020000000000000018,-0.04200000000000001,0.17299999999999993,0.5066666666666667,0.58253,11,0,15,0,36,0
partition_simulator,confirmation,joint_gaussian_regularized_cluster,3,4,150,81,0,0.028806666666666664,0.001,0.0,0.304,0.54,0.2930733333333333,0,0,0,0,0,0
partition_simulator,confirmation,joint_gaussian_regularized_cluster,4,5,150,14,1,0.04321333333333333,0.007,-0.001,0.316,0.6266666666666667,0.2901466666666667,6,0,0,0,0,0
partition_simulator,confirmation,joint_gaussian_regularized_cluster,5,6,150,2,0,0.046053333333333335,0.014499999999999999,0.0,0.246,0.64,0.29231333333333337,6,0,2,0,0,0
partition_simulator,confirmation,joint_gaussian_regularized_cluster,6,8,150,0,0,0.07934666666666666,0.05299999999999999,0.0,0.303,0.64,0.5821133333333334,17,0,9,0,7,0
partition_simulator,confirmation,joint_gaussian_regularized_cluster,8,10,150,0,0,0.06174666666666666,0.032,-0.013999999999999957,0.22299999999999998,0.6266666666666667,0.5806866666666667,3,0,12,0,4,0
partition_simulator,confirmation,joint_gaussian_regularized_cluster,10,12,150,0,0,0.048673333333333325,0.01550000000000001,-0.025000000000000022,0.16000000000000003,0.6066666666666667,0.581,3,0,6,0,12,0
partition_simulator,confirmation,joint_wild_cluster_rademacher,3,4,150,89,0,0.029079999999999995,0.002,0.0,0.29,0.5933333333333334,0.2919466666666667,0,0,0,0,0,0
partition_simulator,confirmation,joint_wild_cluster_rademacher,4,5,150,7,0,0.043633333333333336,0.0065,0.0,0.336,0.64,0.28994,6,0,0,0,0,0
partition_simulator,confirmation,joint_wild_cluster_rademacher,5,6,150,0,0,0.04622666666666666,0.015000000000000001,0.0,0.22600000000000003,0.64,0.29323333333333335,6,0,1,0,0,0
partition_simulator,confirmation,joint_wild_cluster_rademacher,6,8,150,0,0,0.07849333333333335,0.047,0.0,0.306,0.64,0.5806866666666667,17,0,8,0,6,0
partition_simulator,confirmation,joint_wild_cluster_rademacher,8,10,150,0,0,0.06288666666666666,0.032,-0.028000000000000025,0.21600000000000003,0.62,0.5833266666666667,3,0,15,0,4,0
partition_simulator,confirmation,joint_wild_cluster_rademacher,10,12,150,0,0,0.04928666666666667,0.017000000000000008,-0.026000000000000023,0.16399999999999992,0.6,0.5826600000000001,3,0,5,0,16,0
partition_simulator,discovery,joint_gaussian_regularized_cluster,3,4,150,68,0,0.05592,0.0,0.0,0.351,0.4533333333333333,0.29133333333333333,0,0,0,0,0,0
partition_simulator,discovery,joint_gaussian_regularized_cluster,4,5,150,4,0,0.06382,0.0,0.0,0.328,0.48,0.2902866666666667,17,0,0,0,0,0
partition_simulator,discovery,joint_gaussian_regularized_cluster,5,6,150,0,0,0.051359999999999996,0.0,0.0,0.236,0.48,0.29292,10,0,7,0,0,0
partition_simulator,discovery,joint_gaussian_regularized_cluster,6,8,150,0,0,0.05907333333333334,0.0,-0.0009999999999999454,0.303,0.47333333333333333,0.5816133333333333,6,0,18,0,19,0
partition_simulator,discovery,joint_gaussian_regularized_cluster,8,10,150,0,0,0.030539999999999998,0.0,-0.017000000000000015,0.20399999999999996,0.42,0.58286,0,0,5,0,6,0
partition_simulator,discovery,joint_gaussian_regularized_cluster,10,12,150,0,0,0.02194,0.0,-0.038000000000000006,0.15199999999999997,0.4066666666666667,0.5825599999999999,3,0,2,0,4,0
partition_simulator,discovery,joint_wild_cluster_rademacher,3,4,150,69,0,0.05453333333333333,0.0,0.0,0.324,0.46,0.29116,0,0,0,0,0,0
partition_simulator,discovery,joint_wild_cluster_rademacher,4,5,150,3,0,0.06618666666666667,0.0,0.0,0.345,0.48,0.2924666666666667,18,0,0,0,0,0
partition_simulator,discovery,joint_wild_cluster_rademacher,5,6,150,0,0,0.05078666666666667,0.0,0.0,0.236,0.48,0.29066,9,0,9,0,0,0
partition_simulator,discovery,joint_wild_cluster_rademacher,6,8,150,0,0,0.05808,0.0,-0.0010000000000000009,0.29300000000000004,0.47333333333333333,0.5829533333333333,6,0,17,0,20,0
partition_simulator,discovery,joint_wild_cluster_rademacher,8,10,150,0,0,0.030453333333333336,0.0,-0.020000000000000018,0.19999999999999996,0.43333333333333335,0.5831333333333333,0,0,4,0,5,0
partition_simulator,discovery,joint_wild_cluster_rademacher,10,12,150,0,0,0.022506666666666668,0.0,-0.04200000000000001,0.17299999999999993,0.41333333333333333,0.5838999999999999,2,0,2,0,4,0
