address_id,partition,delta,control_response_lambda,comparison_type,left_label,right_label,mean_absolute_probability_difference,maximum_absolute_probability_difference,trajectory_pearson_correlation,first_pass_k_left,first_pass_k_right,first_pass_k_agreement,empirical_passability_agreement,minimum_k_0_50_agreement,minimum_k_0_80_agreement,minimum_k_0_90_agreement,final_probability_left,final_probability_right,probability_vector_left_json,probability_vector_right_json
03ef63db7584762143dc3914,confirmation,0.0,0.0,simulator,gaussian,wild,0.0,0.0,1.0,,,True,True,True,True,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
03ef63db7584762143dc3914,confirmation,0.25,0.0,simulator,gaussian,wild,0.017428571428571436,0.03200000000000003,0.999094654255274,4.0,4.0,True,True,True,True,True,0.659,0.677,"{""10"":0.503,""12"":0.659,""3"":0.0,""4"":0.022,""5"":0.051,""6"":0.134,""8"":0.31}","{""10"":0.52,""12"":0.677,""3"":0.0,""4"":0.026,""5"":0.078,""6"":0.158,""8"":0.342}"
03ef63db7584762143dc3914,confirmation,0.5,0.0,simulator,gaussian,wild,0.007428571428571426,0.01799999999999996,0.9998689345410842,4.0,4.0,True,True,True,True,True,0.897,0.895,"{""10"":0.786,""12"":0.897,""3"":0.0,""4"":0.049,""5"":0.149,""6"":0.295,""8"":0.578}","{""10"":0.776,""12"":0.895,""3"":0.0,""4"":0.041,""5"":0.143,""6"":0.277,""8"":0.57}"
03ef63db7584762143dc3914,confirmation,0.75,0.0,simulator,gaussian,wild,0.0107142857142857,0.02400000000000002,0.9996146989886526,4.0,4.0,True,True,True,True,True,0.917,0.905,"{""10"":0.817,""12"":0.917,""3"":0.0,""4"":0.069,""5"":0.185,""6"":0.339,""8"":0.635}","{""10"":0.802,""12"":0.905,""3"":0.0,""4"":0.058,""5"":0.184,""6"":0.351,""8"":0.611}"
03ef63db7584762143dc3914,confirmation,1.0,0.0,simulator,gaussian,wild,0.017285714285714283,0.03499999999999992,0.9996871745028632,4.0,4.0,True,True,True,True,True,0.932,0.917,"{""10"":0.843,""12"":0.932,""3"":0.0,""4"":0.07,""5"":0.187,""6"":0.338,""8"":0.64}","{""10"":0.808,""12"":0.917,""3"":0.0,""4"":0.06,""5"":0.162,""6"":0.318,""8"":0.624}"
03ef63db7584762143dc3914,confirmation,1.5,0.0,simulator,gaussian,wild,0.008857142857142857,0.020999999999999963,0.9994945977278477,4.0,4.0,True,True,True,True,True,0.93,0.927,"{""10"":0.818,""12"":0.93,""3"":0.0,""4"":0.056,""5"":0.186,""6"":0.347,""8"":0.614}","{""10"":0.835,""12"":0.927,""3"":0.0,""4"":0.065,""5"":0.18,""6"":0.326,""8"":0.62}"
03ef63db7584762143dc3914,confirmation,2.0,0.0,simulator,gaussian,wild,0.007714285714285711,0.013999999999999999,0.9998932057548796,4.0,4.0,True,True,True,True,True,0.926,0.922,"{""10"":0.823,""12"":0.926,""3"":0.0,""4"":0.059,""5"":0.181,""6"":0.345,""8"":0.623}","{""10"":0.813,""12"":0.922,""3"":0.0,""4"":0.045,""5"":0.172,""6"":0.331,""8"":0.62}"
03ef63db7584762143dc3914,confirmation,0.25,0.25,simulator,gaussian,wild,0.012857142857142857,0.023999999999999966,0.9985433522508462,4.0,4.0,True,True,True,True,True,0.665,0.682,"{""10"":0.521,""12"":0.665,""3"":0.0,""4"":0.017,""5"":0.063,""6"":0.122,""8"":0.348}","{""10"":0.54,""12"":0.682,""3"":0.0,""4"":0.022,""5"":0.073,""6"":0.137,""8"":0.324}"
03ef63db7584762143dc3914,confirmation,0.5,0.25,simulator,gaussian,wild,0.012428571428571424,0.03699999999999992,0.9996706884161861,4.0,4.0,True,True,True,True,False,0.88,0.902,"{""10"":0.766,""12"":0.88,""3"":0.0,""4"":0.042,""5"":0.143,""6"":0.287,""8"":0.548}","{""10"":0.785,""12"":0.902,""3"":0.0,""4"":0.047,""5"":0.146,""6"":0.288,""8"":0.585}"
03ef63db7584762143dc3914,confirmation,0.75,0.25,simulator,gaussian,wild,0.008714285714285718,0.019000000000000017,0.9997083064276255,4.0,4.0,True,True,True,True,True,0.918,0.922,"{""10"":0.826,""12"":0.918,""3"":0.0,""4"":0.055,""5"":0.166,""6"":0.3,""8"":0.603}","{""10"":0.815,""12"":0.922,""3"":0.0,""4"":0.066,""5"":0.182,""6"":0.319,""8"":0.603}"
