address_id,record_id,support_id,relation,carrier,entitlement_status,reliability_target,tested_scenario_cells,sealed_candidate_cells,sealed_candidate_share,partition_discordant_cells,simulator_discordant_cells,outside_tested_reliability_envelope_cells,no_go_under_frozen_contract_cells,nonmonotonicity_hold_cells,minimum_total_nominal_objects_among_candidates,median_total_nominal_objects_among_candidates,maximum_total_nominal_objects_among_candidates,maximum_paired_robust_final_probability,median_paired_robust_final_probability,candidate_family_status,sealed_candidate_ids_json,scenario_conditioning_warning
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,25,18,0.72,0,0,6,1,0,13.0,13.0,20.0,0.927,0.88,sealed_candidate_for_restricted_scenario_subset,"[""PP-0570bfcda3948bc848c616ca"",""PP-14fdc1d25c6b1196ab09bf24"",""PP-3790fb0e5559953faaa66807"",""PP-38df9acc0b637ad805379e51"",""PP-4c59e20c33782071fd3811ff"",""PP-7df13a5fa3485c9a6a114767"",""PP-8d63ef506eb04a20e701df2f"",""PP-90af40a91a74c8f0a0a7ae29"",""PP-940afef89192d494552c3ab4"",""PP-9cabce8d3078ca274ef484a2"",""PP-9ce0941c8a80e4586a4ac649"",""PP-a3b315ba23676a4c31d99572"",""PP-ad9e7d8e94f915558566f655"",""PP-bd290ec076c737e3d680a878"",""PP-bf9dc21bd8a91623df2b8744"",""PP-c2f4087261b7e76662273358"",""PP-cae8df08c8138f1f8e11afc0"",""PP-dcf31ac6e330465f30987de6""]",candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.8,25,14,0.56,3,0,7,1,0,16.0,18.0,20.0,0.927,0.88,sealed_candidate_for_restricted_scenario_subset,"[""PP-1616a263e0689babc6a7bde7"",""PP-42d0789db1df2e8a4433d4f0"",""PP-5a2ebc0122ed5f9f36b1722d"",""PP-5c6d50936817816e1ad75406"",""PP-6dbd1a0d134e7568b2d79ea8"",""PP-77eb0cc296f9f1711c7450ff"",""PP-a65adf32dee4acf4ae5f4743"",""PP-bf2a8f6e81e24a76f927ee36"",""PP-bf628a612740758145abcbe8"",""PP-c21f7f4a0d25d018f14d8196"",""PP-ced167cf5636b666fa4cea1e"",""PP-cf73f56aaea3a0afac2b16ae"",""PP-e509aa8d1154cfbd2def1b96"",""PP-f8fb3a70d82cef4b2d7ea186""]",candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.9,25,10,0.4,5,0,9,1,0,20.0,20.0,20.0,0.927,0.88,sealed_candidate_for_restricted_scenario_subset,"[""PP-0788c61dff5344a358fe50e3"",""PP-20f2a5007097e2bf5fc7ae11"",""PP-243ed4887685955b18266d03"",""PP-5e05edb688e23a1894282277"",""PP-65f62de924f0292373e9c2cb"",""PP-8b5fe8477f896ea91ef483b6"",""PP-a9c74274569fa414629474d0"",""PP-b838d544328b3dd91dac3f9a"",""PP-c495f29bc94dc81f1452221b"",""PP-c707be6083a3ea071942ec9c""]",candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,0.5,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,0.8,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
1cce3e5fe7c50070e58676c9,Cp2_vs_Cp3__strict_numeric_all,0262d70dda595cb6cda6,Cp2_vs_Cp3,strict_numeric_all,fl3_entitlement_capped,0.9,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,0.5,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,0.8,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,0.9,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,0.5,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,0.8,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,0.9,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,0.5,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,0.8,25,0,0.0,0,0,0,25,0,,,,0.0,0.0,no_sealed_candidate_under_tested_envelope,[],candidate share is over simulator stress-test cells; delta and lambda are not selectable campaign properties
