paired_design_id,address_id,record_id,support_id,relation,carrier,entitlement_status,delta,control_response_lambda,reliability_target,scenario_axis_semantics,probability_semantics,discovery_partition_design_id,confirmation_partition_design_id,discovery_minimum_nominal_k,confirmation_minimum_nominal_k,minimum_total_nominal_objects,maximum_partition_nominal_k,partition_allocation_imbalance,discovery_robust_probability_at_selected_k,confirmation_robust_probability_at_selected_k,paired_robust_probability_at_selected_allocations,discovery_robust_final_tested_probability,confirmation_robust_final_tested_probability,paired_robust_final_tested_probability,partition_final_probability_gap,maximum_simulator_probability_spread_across_partitions,discovery_selected_support_efficiency_min,confirmation_selected_support_efficiency_min,paired_selected_support_efficiency_min,discovery_selected_mean_effective_clusters_min,confirmation_selected_mean_effective_clusters_min,paired_selected_mean_effective_clusters_min,discovery_design_class,confirmation_design_class,material_nonmonotone_any_partition,paired_design_class,paired_design_action,sealed_candidate_eligible,partition_separation_required,pooled_evaluation_prohibited,posthoc_object_migration_prohibited,confirmation_protocol_sealed_before_confirmation_access,simulator_stress_test_not_observed_evidence,extrapolation_beyond_tested_k_prohibited,required_next_action,numeric_extrapolation_performed,claim_entitlement_change_permitted
PP-690ed6e13199c1ad108d8586,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.25,0.0,0.8,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-a2e3d1085cb9bb80909ea296,PD-e80662d592287edcda8306ea,10.0,,,,,0.804,,,0.886,0.659,0.659,0.22699999999999998,0.03200000000000003,0.7473,,,7.473,,,robust_target_reached,robust_passage_below_target,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-8814e6e850dcc857da08744f,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.25,0.25,0.8,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-f90952f124f9387d5d7ec13d,PD-0bd45a388956c8a2f486a8ad,12.0,,,,,0.859,,,0.859,0.665,0.665,0.19399999999999995,0.023999999999999966,0.74975,,,8.997,,,robust_target_reached,robust_passage_below_target,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-0f860b869ff6185a91a5d2d4,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,0.5,0.8,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-5dd5857ecad5b8227cd74762,PD-152110deae6c0b6f151ca709,10.0,,,,,0.865,,,0.902,0.761,0.761,0.14100000000000001,0.026000000000000023,0.7476,,,7.476,,,robust_target_reached,robust_passage_below_target,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-9641b9956900a9d2eb9aef71,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,0.0,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-12b291b33809fa48c1a500cb,PD-25132f57dc5849a6ee19a980,10.0,,,,,0.973,,,0.994,0.895,0.895,0.09899999999999998,0.04099999999999998,0.7487,,,7.487,,,robust_target_reached,robust_passage_below_target,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-a1431958c59230c4312aa62a,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,0.25,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-5ea4dfd4e52004046c15df5e,PD-2ffc84aa652db3792cb99fb4,10.0,,,,,0.956,,,0.987,0.88,0.88,0.10699999999999998,0.03699999999999992,0.7421,,,7.421,,,robust_target_reached,simulator_discordant_target_reach,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-a0d3046ed488fc8180ce1013,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,0.5,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-5c070ffc4360238062af662a,PD-cc6728aa25294b5ee1633831,12.0,,,,,0.902,,,0.902,0.761,0.761,0.14100000000000001,0.026000000000000023,0.7493333333333334,,,8.992,,,robust_target_reached,robust_passage_below_target,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-e9dacb841a35a58cee7bbbdb,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.75,0.5,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-392d0ef354087d36f9dd35c5,PD-67ad417a89ab67be756ccd8e,10.0,,,,,0.928,,,0.949,0.85,0.85,0.09899999999999998,0.03600000000000003,0.7482,,,7.482,,,robust_target_reached,robust_passage_below_target,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-5c50a3dfe493a15ad001ffec,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,1.0,0.5,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-d4b3cfd1003ff6f0f54e0cd8,PD-8db043f9178de9a4f61f7e83,8.0,,,,,0.915,,,0.977,0.892,0.892,0.08499999999999996,0.025000000000000022,0.7435,,,5.948,,,robust_target_reached,simulator_discordant_target_reach,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-6b42a13adcaafcfc7abefcf3,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.5,0.25,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-1c9f345875aa7185df77e0d8,PD-200a5c94ae050aa4f299d643,12.0,,,,,0.92,,,0.92,0.898,0.898,0.02200000000000002,0.03700000000000003,0.7451666666666666,,,8.942,,,robust_target_reached,simulator_discordant_target_reach,False,partition_discordant_target_reach,no_go_partition_discordance,False,True,True,True,True,True,True,do not pool partitions; investigate acquisition or partition sensitivity before proposing a new design,False,False
PP-a98097d0ea5f891f87230000,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.25,0.5,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,PD-477434393c2ea350d372104f,PD-b2d3d16bc2bb33aa6c70968a,,,,,,,,,0.49,0.486,0.486,0.0040000000000000036,0.035,,,,,,,simulator_discordant_target_reach,robust_passage_below_target,False,simulator_discordance_in_at_least_one_partition,no_go_simulator_discordance,False,True,True,True,True,True,True,do not seal; simulator-robust target reach is absent,False,False
