paired_design_id,address_id,record_id,support_id,relation,carrier,entitlement_status,delta,control_response_lambda,reliability_target,discovery_nominal_independent_objects,confirmation_nominal_independent_objects,total_nominal_independent_objects,discovery_selected_mean_effective_clusters_min,confirmation_selected_mean_effective_clusters_min,discovery_selected_support_efficiency_min,confirmation_selected_support_efficiency_min,paired_robust_probability_at_selected_allocations,paired_selected_support_efficiency_min,target_global_rank,address_target_rank,partition_protocol,pooling_rule,replacement_rule,evaluation_rule,claim_rule,scenario_axis_semantics
PP-19435a331c22b9fc81f57849,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,2.0,0.25,0.5,5.0,5.0,10.0,3.749,3.713,0.7498,0.7426,0.594,0.7426,1,1,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-3a32cba2577d20eb727d1d07,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,2.0,0.0,0.5,5.0,5.0,10.0,3.722,3.787,0.7444,0.7574,0.591,0.7444,2,2,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-d48c2e20b1fa2bcc7a7594c5,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,2.0,0.5,0.5,5.0,5.0,10.0,3.739,3.716,0.7478,0.7432000000000001,0.545,0.7432000000000001,3,3,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-2839fbfcdb146183f5f176be,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.5,0.25,0.5,5.0,5.0,10.0,3.719,3.756,0.7438,0.7512,0.544,0.7438,4,4,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-aa51c7a661e9d5cf92d9586c,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.5,0.0,0.5,5.0,5.0,10.0,3.721,3.717,0.7442,0.7434000000000001,0.528,0.7434000000000001,5,5,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-59f9069becd2b22c9feb34b0,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.5,0.5,0.5,5.0,5.0,10.0,3.727,3.77,0.7454,0.754,0.521,0.7454,6,6,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-074c3928f9efd72e03e7620c,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.0,0.0,0.5,6.0,6.0,12.0,4.496,4.505,0.7493333333333334,0.7508333333333334,0.646,0.7493333333333334,7,7,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-8e88953379b7f656e03b3e2d,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.0,0.25,0.5,6.0,6.0,12.0,4.456,4.474,0.7426666666666667,0.7456666666666667,0.643,0.7426666666666667,8,8,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-0e91c8dc827c8cf662b093b2,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,1.0,0.5,0.5,6.0,6.0,12.0,4.471,4.477,0.7451666666666666,0.7461666666666668,0.569,0.7451666666666666,9,9,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
PP-6541f319c6d4136649eca24f,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.75,0.0,0.5,6.0,6.0,12.0,4.492,4.461,0.7486666666666667,0.7435,0.531,0.7435,10,10,acquire and evaluate discovery and confirmation independently; seal the confirmation protocol before confirmation-data access,pooling discovery and confirmation for evidence evaluation is prohibited,"any replacement rule must be pre-registered and independent of observed effect direction, magnitude, or gate passage",apply the frozen evidence contract separately in each partition,carry entitlement status unchanged; candidate success cannot increase claim entitlement,"delta and control_response_lambda are simulator stress-test axes, not operational campaign settings"
