partition_design_id,address_id,record_id,support_id,relation,carrier,entitlement_status,partition,delta,control_response_lambda,failure_predicate,reliability_target,scenario_axis_semantics,probability_semantics,tested_cluster_grid_json,simulators_required,simulators_observed,simulator_ids_json,simulator_first_target_k_json,simulator_first_positive_k_json,robust_probability_vector_json,mean_probability_vector_json,simulator_spread_vector_json,minimum_nominal_k_reaching_target,first_robust_positive_passage_k,target_reached_by_both_simulators,simulator_target_reach_count_any_tested_k,robust_gate_passage_probability_at_selected_k,mean_gate_passage_probability_at_selected_k,simulator_probability_spread_at_selected_k,robust_final_tested_probability,mean_final_tested_probability,simulator_probability_spread_at_max_tested_k,maximum_simulator_probability_spread,material_nonmonotone_any,probability_shapes_json,trajectory_classes_json,selected_mean_effective_cluster_count_min,selected_mean_effective_cluster_count_mean,selected_nominal_support_efficiency_min,selected_nominal_support_efficiency_mean,selected_probability_effective_k_at_least_4_min,selected_probability_effective_k_at_least_6_min,selected_probability_effective_k_at_least_8_min,max_tested_mean_effective_cluster_count_min,max_tested_mean_effective_cluster_count_mean,max_tested_nominal_support_efficiency_min,max_tested_nominal_support_efficiency_mean,max_tested_probability_effective_k_at_least_4_min,max_tested_probability_effective_k_at_least_6_min,max_tested_probability_effective_k_at_least_8_min,design_class,design_action,candidate_eligible_partition,within_tested_support_envelope,extrapolation_beyond_tested_k_prohibited,partition_pooling_prohibited
PD-5c5d2b416c8c938172b3bd2c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.0,0.0,measurement_missingness_concentration,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}",,,False,0,,,,0.0,0.0,0.0,0.0,False,"[""all_zero""]","[""empirically_never_passable""]",,,,,,,,5.939,6.003,0.4949166666666666,0.50025,0.931,0.588,0.179,empirically_never_passable,no_go_under_frozen_contract,False,False,True,True
PD-43e75fcf070f88c0d80885d6,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.0,0.0,measurement_missingness_concentration,0.8,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}",,,False,0,,,,0.0,0.0,0.0,0.0,False,"[""all_zero""]","[""empirically_never_passable""]",,,,,,,,5.939,6.003,0.4949166666666666,0.50025,0.931,0.588,0.179,empirically_never_passable,no_go_under_frozen_contract,False,False,True,True
PD-07ec15c9da0a88e06dae7b04,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.0,0.0,measurement_missingness_concentration,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}",,,False,0,,,,0.0,0.0,0.0,0.0,False,"[""all_zero""]","[""empirically_never_passable""]",,,,,,,,5.939,6.003,0.4949166666666666,0.50025,0.931,0.588,0.179,empirically_never_passable,no_go_under_frozen_contract,False,False,True,True
PD-2258c66ccf11c9623c5bf03d,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.25,0.0,measurement_missingness_concentration,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":10,""joint_wild_cluster_rademacher"":10}","{""joint_gaussian_regularized_cluster"":4,""joint_wild_cluster_rademacher"":4}","{""10"":0.503,""12"":0.659,""3"":0.0,""4"":0.022,""5"":0.051,""6"":0.134,""8"":0.31}","{""10"":0.5115000000000001,""12"":0.668,""3"":0.0,""4"":0.024,""5"":0.0645,""6"":0.14600000000000002,""8"":0.326}","{""10"":0.017000000000000015,""12"":0.018000000000000016,""3"":0.0,""4"":0.004,""5"":0.027000000000000003,""6"":0.023999999999999994,""8"":0.03200000000000003}",10.0,4.0,True,2,0.503,0.5115000000000001,0.017000000000000015,0.659,0.668,0.018000000000000016,0.03200000000000003,False,"[""observed_non_decreasing""]","[""early_passable""]",4.853,4.9455,0.4852999999999999,0.49454999999999993,0.812,0.334,0.053,5.836,5.932,0.4863333333333333,0.4943333333333333,0.919,0.564,0.18,robust_target_reached,candidate_within_tested_envelope,True,True,True,True
PD-e80662d592287edcda8306ea,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.25,0.0,measurement_missingness_concentration,0.8,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""joint_gaussian_regularized_cluster"":4,""joint_wild_cluster_rademacher"":4}","{""10"":0.503,""12"":0.659,""3"":0.0,""4"":0.022,""5"":0.051,""6"":0.134,""8"":0.31}","{""10"":0.5115000000000001,""12"":0.668,""3"":0.0,""4"":0.024,""5"":0.0645,""6"":0.14600000000000002,""8"":0.326}","{""10"":0.017000000000000015,""12"":0.018000000000000016,""3"":0.0,""4"":0.004,""5"":0.027000000000000003,""6"":0.023999999999999994,""8"":0.03200000000000003}",,4.0,False,0,,,,0.659,0.668,0.018000000000000016,0.03200000000000003,False,"[""observed_non_decreasing""]","[""early_passable""]",,,,,,,,5.836,5.932,0.4863333333333333,0.4943333333333333,0.919,0.564,0.18,robust_passage_below_target,outside_tested_reliability_envelope_no_extrapolation,False,False,True,True
PD-b88c66e471d8a539d0e32c31,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.25,0.0,measurement_missingness_concentration,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""joint_gaussian_regularized_cluster"":4,""joint_wild_cluster_rademacher"":4}","{""10"":0.503,""12"":0.659,""3"":0.0,""4"":0.022,""5"":0.051,""6"":0.134,""8"":0.31}","{""10"":0.5115000000000001,""12"":0.668,""3"":0.0,""4"":0.024,""5"":0.0645,""6"":0.14600000000000002,""8"":0.326}","{""10"":0.017000000000000015,""12"":0.018000000000000016,""3"":0.0,""4"":0.004,""5"":0.027000000000000003,""6"":0.023999999999999994,""8"":0.03200000000000003}",,4.0,False,0,,,,0.659,0.668,0.018000000000000016,0.03200000000000003,False,"[""observed_non_decreasing""]","[""early_passable""]",,,,,,,,5.836,5.932,0.4863333333333333,0.4943333333333333,0.919,0.564,0.18,robust_passage_below_target,outside_tested_reliability_envelope_no_extrapolation,False,False,True,True
PD-abbecc52a4824589774f06d6,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.25,0.25,measurement_missingness_concentration,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":10,""joint_wild_cluster_rademacher"":10}","{""joint_gaussian_regularized_cluster"":4,""joint_wild_cluster_rademacher"":4}","{""10"":0.521,""12"":0.665,""3"":0.0,""4"":0.017,""5"":0.063,""6"":0.122,""8"":0.324}","{""10"":0.5305,""12"":0.6735,""3"":0.0,""4"":0.0195,""5"":0.068,""6"":0.1295,""8"":0.33599999999999997}","{""10"":0.019000000000000017,""12"":0.017000000000000015,""3"":0.0,""4"":0.0049999999999999975,""5"":0.009999999999999995,""6"":0.015000000000000013,""8"":0.023999999999999966}",10.0,4.0,True,2,0.521,0.5305,0.019000000000000017,0.665,0.6735,0.017000000000000015,0.023999999999999966,False,"[""observed_non_decreasing""]","[""early_passable""]",5.0,5.015499999999999,0.5,0.5015499999999999,0.84,0.379,0.039,6.011,6.0169999999999995,0.5009166666666667,0.5014166666666666,0.928,0.618,0.186,robust_target_reached,candidate_within_tested_envelope,True,True,True,True
PD-0bd45a388956c8a2f486a8ad,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.25,0.25,measurement_missingness_concentration,0.8,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""joint_gaussian_regularized_cluster"":4,""joint_wild_cluster_rademacher"":4}","{""10"":0.521,""12"":0.665,""3"":0.0,""4"":0.017,""5"":0.063,""6"":0.122,""8"":0.324}","{""10"":0.5305,""12"":0.6735,""3"":0.0,""4"":0.0195,""5"":0.068,""6"":0.1295,""8"":0.33599999999999997}","{""10"":0.019000000000000017,""12"":0.017000000000000015,""3"":0.0,""4"":0.0049999999999999975,""5"":0.009999999999999995,""6"":0.015000000000000013,""8"":0.023999999999999966}",,4.0,False,0,,,,0.665,0.6735,0.017000000000000015,0.023999999999999966,False,"[""observed_non_decreasing""]","[""early_passable""]",,,,,,,,6.011,6.0169999999999995,0.5009166666666667,0.5014166666666666,0.928,0.618,0.186,robust_passage_below_target,outside_tested_reliability_envelope_no_extrapolation,False,False,True,True
PD-36bfddc553e52ba73cc0b338,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.25,0.25,measurement_missingness_concentration,0.9,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":null,""joint_wild_cluster_rademacher"":null}","{""joint_gaussian_regularized_cluster"":4,""joint_wild_cluster_rademacher"":4}","{""10"":0.521,""12"":0.665,""3"":0.0,""4"":0.017,""5"":0.063,""6"":0.122,""8"":0.324}","{""10"":0.5305,""12"":0.6735,""3"":0.0,""4"":0.0195,""5"":0.068,""6"":0.1295,""8"":0.33599999999999997}","{""10"":0.019000000000000017,""12"":0.017000000000000015,""3"":0.0,""4"":0.0049999999999999975,""5"":0.009999999999999995,""6"":0.015000000000000013,""8"":0.023999999999999966}",,4.0,False,0,,,,0.665,0.6735,0.017000000000000015,0.023999999999999966,False,"[""observed_non_decreasing""]","[""early_passable""]",,,,,,,,6.011,6.0169999999999995,0.5009166666666667,0.5014166666666666,0.928,0.618,0.186,robust_passage_below_target,outside_tested_reliability_envelope_no_extrapolation,False,False,True,True
PD-eb0284e5ab1ee75fa730c8db,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,0.25,0.5,measurement_missingness_concentration,0.5,simulated stress-test axes; not observed facts or operationally selectable campaign properties,frozen conditional gate-passage probability,"[3,4,5,6,8,10,12]",2,2,"[""joint_gaussian_regularized_cluster"",""joint_wild_cluster_rademacher""]","{""joint_gaussian_regularized_cluster"":12,""joint_wild_cluster_rademacher"":12}","{""joint_gaussian_regularized_cluster"":4,""joint_wild_cluster_rademacher"":4}","{""10"":0.427,""12"":0.552,""3"":0.0,""4"":0.014,""5"":0.056,""6"":0.12,""8"":0.269}","{""10"":0.4355,""12"":0.5575,""3"":0.0,""4"":0.0165,""5"":0.0565,""6"":0.127,""8"":0.2705}","{""10"":0.017000000000000015,""12"":0.010999999999999899,""3"":0.0,""4"":0.004999999999999999,""5"":0.0010000000000000009,""6"":0.014000000000000012,""8"":0.0030000000000000027}",12.0,4.0,True,2,0.552,0.5575,0.010999999999999899,0.552,0.5575,0.010999999999999899,0.017000000000000015,False,"[""observed_non_decreasing""]","[""early_passable""]",5.963,5.975,0.4969166666666667,0.4979166666666667,0.919,0.602,0.19,5.963,5.975,0.4969166666666667,0.4979166666666667,0.919,0.602,0.19,robust_target_reached,candidate_within_tested_envelope,True,True,True,True
