input_role,artifact_path,size_bytes,sha256,validation_status
frozen_obs086a_manifest,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_manifest.json,6371,ab5f3a1c4123d7ac621747b7965c34583097dc970b9b9078978100525207bc91,validated
frozen_obs086a_script,experiments/studies/obs086a_campaign_design_synthesis.py,95597,d2a4724d17774faebf0f93306d6fa34489143fc1545fbe462d301b76eb97d4d6,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_address_decision_summary.csv,9103,47c72dd05fd5104ec265a4d0d877aafa6aa8b829c27d2133bd1984b84619f2b0,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_entitlement_overlay.csv,3590,cde4eb5bc921d9ba3b55cce1a8d5c53fe2b61f6a2c7590dcd5f01d5034af3704,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_failures.csv,38,49aec4e591dc9dabf1dbf1bac0f611bd6d7a0bdd59c83a83cfaa36d4718be47f,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_input_manifest.csv,3232,7e2c77b1134aad857900702b365c0e4bef5f770ce7ce06a3f820dfb0ae044eee,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_outside_tested_envelope.csv,241265,b7d82df5a9590975b60913c5ae2901d2589710785d4d3955b42d600de2681f9f,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_paired_partition_designs.csv,272165,1bd932d098eaf4dced13dbddb9ef881873a1e49ea6a462ba0fd15f9c93c69b82,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_partition_design_envelope.csv,1074581,464a23e53ec1814efb9a07cd24680312f98ebeac82344ddd15c058a46510d421,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_partition_allocation_plan.csv,69755,8763062e06b725706a801896f9b99701a19a75c8759b1eb382ee3ace5cda1be5,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_protocol_decision_rules.csv,2347,348ebb98ed61b08b63ae62266123d6cc40bdb153ddbd00fa39553f0b0ff86930,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_report.md,11092,f99f408da9646a553d0672a7770471b13076ef7d1cac70a264152e3f7f80866d,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_sealed_candidate_set.csv,72665,f6c8e0e1afdd0e3fb562039653d392a3c38d7f885474dd291cfca6db59e3d597,validated
frozen_obs086a_output,outputs/rig_registry/obs086_campaign_design/obs086a_campaign_design_synthesis/obs086a_support_attrition_summary.csv,11155,5d75fa90c8885089e7affc936eb132e3687f87866b9774397fd592d1af80908a,validated
