operational_family_id,address_id,record_id,support_id,relation,carrier,entitlement_status,reliability_target,discovery_nominal_k,confirmation_nominal_k,total_nominal_objects,maximum_partition_nominal_k,partition_allocation_imbalance,origin_sealed_candidate_cells,origin_sealed_candidate_ids_json,origin_delta_values_json,origin_control_response_lambda_values_json,origin_minimum_paired_probability,origin_median_paired_probability,origin_minimum_support_efficiency,origin_minimum_mean_effective_clusters,origin_material_nonmonotone,scenario_axis_semantics,tested_stress_scenario_cells,defensible_target_reaching_scenario_cells,raw_target_reaching_scenario_cells,material_nonmonotone_hold_cells,partition_discordant_cells_at_fixed_allocation,below_target_cells_at_fixed_allocation,defensible_stress_test_coverage,origin_sealed_member_share,coverage_class,worst_case_paired_probability_all_scenarios,q10_paired_probability_all_scenarios,q25_paired_probability_all_scenarios,median_paired_probability_all_scenarios,mean_paired_probability_all_scenarios,maximum_paired_probability_all_scenarios,minimum_paired_probability_defensible_scenarios,median_paired_probability_defensible_scenarios,maximum_partition_probability_gap,mean_partition_probability_gap,maximum_simulator_spread_at_fixed_allocation,mean_probability_shortfall,maximum_probability_shortfall,all_tested_scenarios_defensibly_reach_target,operational_family_eligible,family_interpretation,dominated_by_count,dominates_count,dominated_by_family_ids_json,dominates_family_ids_json,pareto_nondominated,pareto_status,selection_roles_json,maximum_group_defensible_cells,defensible_cell_shortfall_from_group_maximum,near_maximum_coverage_eligible,majority_coverage_required,protocol_selection_rank,protocol_selection_status,protocol_selection_reason,protocol_freeze_review_eligible
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,8,3,11,"[""PP-0570bfcda3948bc848c616ca"",""PP-3790fb0e5559953faaa66807"",""PP-4c59e20c33782071fd3811ff"",""PP-7df13a5fa3485c9a6a114767"",""PP-90af40a91a74c8f0a0a7ae29"",""PP-940afef89192d494552c3ab4"",""PP-9cabce8d3078ca274ef484a2"",""PP-a3b315ba23676a4c31d99572"",""PP-bd290ec076c737e3d680a878"",""PP-bf9dc21bd8a91623df2b8744"",""PP-cae8df08c8138f1f8e11afc0""]","[0.75,1.0,1.5,2.0]","[0.0,0.25,0.5]",0.547,0.589,0.488875,3.699,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,11,11,3,3,8,0.44,0.44,restricted_tested_stress_coverage,0.0,0.1562,0.198,0.479,0.3954,0.62,0.547,0.589,0.12299999999999994,0.04208,0.06300000000000006,0.14284,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""cost_anchor""]",18.0,7.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-17a97f86750bc6e8b305317a,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,6,8,14,8,2,3,"[""PP-14fdc1d25c6b1196ab09bf24"",""PP-ad9e7d8e94f915558566f655"",""PP-dcf31ac6e330465f30987de6""]","[0.5,0.75]","[0.0,0.25,0.5]",0.548,0.57,0.499,3.992,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,14,14,3,1,7,0.56,0.12,majority_tested_stress_coverage,0.0,0.1888,0.206,0.57,0.43632000000000004,0.626,0.548,0.6114999999999999,0.21799999999999997,0.1154,0.04600000000000004,0.12072,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""partition_balance_anchor""]",18.0,4.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-0f7d22d4a500b33e49584c7a,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,6,10,16,10,4,1,"[""PP-c2f4087261b7e76662273358""]",[0.5],[0.5],0.601,0.601,0.4993,4.472,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,15,15,3,2,5,0.6,0.04,majority_tested_stress_coverage,0.0,0.219,0.257,0.669,0.54784,0.82,0.601,0.784,0.14900000000000002,0.04132,0.040000000000000036,0.10576,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,[],18.0,3.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-311882fce98aca90bae5f40e,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,8,10,18,10,2,2,"[""PP-8d63ef506eb04a20e701df2f"",""PP-9ce0941c8a80e4586a4ac649""]",[0.25],"[0.0,0.25]",0.503,0.512,0.4852999999999999,4.853,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,17,17,3,1,4,0.68,0.08,majority_tested_stress_coverage,0.0,0.22440000000000002,0.257,0.766,0.58528,0.827,0.503,0.802,0.16100000000000003,0.109,0.03499999999999992,0.08932000000000001,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""partition_balance_anchor""]",18.0,1.0,True,True,1.0,protocol_selected_for_preregistration_review,within_one_stress_cell_of_group_maximum; majority_coverage; lexicographically_best_under_frozen_rule,True
OF-839130280c26f74afd06f2f7,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,8,12,20,12,4,1,"[""PP-38df9acc0b637ad805379e51""]",[0.25],[0.5],0.532,0.532,0.4969166666666667,5.963,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,18,18,3,0,4,0.72,0.04,majority_tested_stress_coverage,0.0,0.2336,0.261,0.88,0.6689200000000001,0.927,0.532,0.9085000000000001,0.051999999999999935,0.027839999999999976,0.038000000000000006,0.08244,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""coverage_anchor""]",18.0,0.0,True,True,2.0,pareto_near_maximum_not_protocol_selected,eligible_near_maximum_family_ranked_below_selected_family,False
OF-ae359db10e2d91b84d4dc8dd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.8,6,10,16,10,4,5,"[""PP-1616a263e0689babc6a7bde7"",""PP-5a2ebc0122ed5f9f36b1722d"",""PP-5c6d50936817816e1ad75406"",""PP-6dbd1a0d134e7568b2d79ea8"",""PP-f8fb3a70d82cef4b2d7ea186""]","[1.5,2.0]","[0.0,0.25,0.5]",0.806,0.813,0.4926,4.449,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,5,5,3,4,13,0.2,0.2,restricted_tested_stress_coverage,0.0,0.219,0.257,0.669,0.54784,0.82,0.806,0.813,0.14900000000000002,0.04132,0.040000000000000036,0.25468,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""cost_anchor""]",14.0,9.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-57663c3c1e833458f2127059,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.8,8,10,18,10,2,4,"[""PP-42d0789db1df2e8a4433d4f0"",""PP-bf628a612740758145abcbe8"",""PP-ced167cf5636b666fa4cea1e"",""PP-cf73f56aaea3a0afac2b16ae""]","[0.75,1.0]","[0.0,0.25]",0.802,0.8065,0.4921999999999999,4.922,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,9,9,3,5,8,0.36,0.16,restricted_tested_stress_coverage,0.0,0.22440000000000002,0.257,0.766,0.58528,0.827,0.802,0.813,0.16100000000000003,0.109,0.03499999999999992,0.2192,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""partition_balance_anchor""]",14.0,5.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
OF-f4d6170f6448c54b7802cf9d,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.8,8,12,20,12,4,5,"[""PP-77eb0cc296f9f1711c7450ff"",""PP-a65adf32dee4acf4ae5f4743"",""PP-bf2a8f6e81e24a76f927ee36"",""PP-c21f7f4a0d25d018f14d8196"",""PP-e509aa8d1154cfbd2def1b96""]","[0.5,0.75,1.0,1.5]","[0.0,0.25,0.5]",0.85,0.892,0.4972499999999999,5.945,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,14,14,3,0,8,0.56,0.2,majority_tested_stress_coverage,0.0,0.2336,0.261,0.88,0.6689200000000001,0.927,0.85,0.9175,0.051999999999999935,0.027839999999999976,0.038000000000000006,0.19144000000000003,0.8,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""coverage_anchor""]",14.0,0.0,True,True,1.0,protocol_selected_for_preregistration_review,within_one_stress_cell_of_group_maximum; majority_coverage; lexicographically_best_under_frozen_rule,True
OF-a2ed80d5454aca252ccbdac3,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.9,8,12,20,12,4,10,"[""PP-0788c61dff5344a358fe50e3"",""PP-20f2a5007097e2bf5fc7ae11"",""PP-243ed4887685955b18266d03"",""PP-5e05edb688e23a1894282277"",""PP-65f62de924f0292373e9c2cb"",""PP-8b5fe8477f896ea91ef483b6"",""PP-a9c74274569fa414629474d0"",""PP-b838d544328b3dd91dac3f9a"",""PP-c495f29bc94dc81f1452221b"",""PP-c707be6083a3ea071942ec9c""]","[0.75,1.0,1.5,2.0]","[0.0,0.25,0.5]",0.905,0.9205000000000001,0.4905833333333333,5.887,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,10,10,3,1,11,0.4,0.4,restricted_tested_stress_coverage,0.0,0.2336,0.261,0.88,0.6689200000000001,0.927,0.905,0.9205000000000001,0.051999999999999935,0.027839999999999976,0.038000000000000006,0.23875999999999997,0.9,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""coverage_anchor"",""cost_anchor"",""partition_balance_anchor""]",10.0,0.0,True,True,1.0,protocol_hold_low_coverage,near_maximum_family_retained_for_review_but_group_maximum_is_below_majority_coverage,False
OF-0f0e7dbfb15cd38ad5dfa64a,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,0.5,5,5,10,5,0,6,"[""PP-19435a331c22b9fc81f57849"",""PP-2839fbfcdb146183f5f176be"",""PP-3a32cba2577d20eb727d1d07"",""PP-59f9069becd2b22c9feb34b0"",""PP-aa51c7a661e9d5cf92d9586c"",""PP-d48c2e20b1fa2bcc7a7594c5""]","[1.5,2.0]","[0.0,0.25,0.5]",0.521,0.5445,0.7426,3.713,False,"delta and control_response_lambda are frozen simulator stress-test axes, not selectable campaign settings",25,6,6,4,0,15,0.24,0.24,restricted_tested_stress_coverage,0.0,0.0328,0.158,0.21,0.28096,0.594,0.521,0.5445,0.04899999999999999,0.0192,0.046999999999999986,0.23196000000000003,0.5,False,True,"fixed discovery/confirmation allocation evaluated over the complete frozen stress-test grid; coverage is combinatorial, not a real-world probability",0,0,[],[],True,nondominated_operational_family,"[""cost_anchor"",""partition_balance_anchor""]",17.0,11.0,False,True,,pareto_frontier_outside_near_maximum_band,more_than_one_stress_cell_below_group_maximum,False
