operational_family_id,address_id,record_id,support_id,relation,carrier,entitlement_status,reliability_target,discovery_nominal_k,confirmation_nominal_k,total_nominal_objects,partition_allocation_imbalance,delta,control_response_lambda,origin_sealed_member_scenario,discovery_robust_probability_at_fixed_k,confirmation_robust_probability_at_fixed_k,paired_robust_probability_at_fixed_allocation,discovery_target_reached,confirmation_target_reached,paired_target_reached_before_stability_hold,material_nonmonotone_any_partition,defensible_paired_target_reached,partition_probability_gap_at_fixed_allocation,maximum_simulator_spread_at_fixed_allocation,paired_probability_shortfall,scenario_evaluation_action,scenario_axis_semantics,partition_separation_required,pooled_evaluation_prohibited,extrapolation_beyond_tested_k_prohibited
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.0,0.0,False,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.5,fixed_allocation_below_target,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.25,0.0,False,0.198,0.31,0.198,False,False,False,False,False,0.11199999999999999,0.03200000000000003,0.302,fixed_allocation_below_target,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.25,0.25,False,0.221,0.324,0.221,False,False,False,False,False,0.10300000000000001,0.023999999999999966,0.279,fixed_allocation_below_target,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.25,0.5,False,0.175,0.269,0.175,False,False,False,False,False,0.09400000000000003,0.0040000000000000036,0.325,fixed_allocation_below_target,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.25,1.0,False,0.079,0.111,0.079,False,False,False,False,False,0.032,0.016,0.421,fixed_allocation_below_target,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.5,0.0,False,0.447,0.57,0.447,False,True,False,False,False,0.12299999999999994,0.04099999999999998,0.05299999999999999,fixed_allocation_partition_discordance,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.5,0.25,False,0.479,0.548,0.479,False,True,False,False,False,0.06900000000000006,0.03699999999999992,0.02100000000000002,fixed_allocation_partition_discordance,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.5,0.5,False,0.419,0.487,0.419,False,False,False,False,False,0.068,0.025000000000000022,0.08100000000000002,fixed_allocation_below_target,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.5,1.0,False,0.145,0.193,0.145,False,False,False,True,False,0.048000000000000015,0.038000000000000006,0.355,hold_material_nonmonotonicity,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
OF-3d71624a7ef373c0600f420c,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,0.5,5,8,13,3,0.75,0.0,True,0.562,0.611,0.562,True,True,True,False,True,0.04899999999999993,0.02400000000000002,0.0,fixed_allocation_target_reached,stress-test uncertainty cell; not an observed or selectable setting,True,True,True
