input_role,artifact_path,size_bytes,sha256,validation_status,outcome_bearing_data_inspected
frozen_obs086b_manifest,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_manifest.json,8156,0adbab5209bf3ac4d8ee36df43ebcb5db0150a066d47235440b65e77f4c157d2,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_address_recommendations.csv,7617,5a9e11f85d4608487546703bfe68b56360bd0ab5b320f18e31519ff68f68ff49,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_entitlement_overlay.csv,2785,ddaa5dce651c949c324a0df34693efd3ab59fcbbb63d0b5d73cd1730b036b841,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_failures.csv,38,49aec4e591dc9dabf1dbf1bac0f611bd6d7a0bdd59c83a83cfaa36d4718be47f,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_family_dominance_table.csv,342,e6a4d09f08d228941ae79b0536756973019d16e1c112ba5c7a19be15daef0fe7,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_held_campaign_families.csv,3155,a5dcdcedd82e96f2d2eb8695faea8dad6eee56579dbacbc9de70945b1b24ee68,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_input_manifest.csv,2985,f59ea4e87dfa51d05051612729bf7289f07b8ca93be5107b34321be7c8788758,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_operational_family_summary.csv,25970,7aa29a6f17fb06149a2604566fdb293d073b5e5f62c1ecb505d5e1bda9120f2d,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_pareto_frontier.csv,25970,7aa29a6f17fb06149a2604566fdb293d073b5e5f62c1ecb505d5e1bda9120f2d,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_protocol_freeze_table.csv,7075,45b3bfb52466fdeb4cf9ef48ab663ca2922f6994961ff0a29065899bd66d66db,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_rejected_campaign_families.csv,1852,3e57e5a9d4b20bc80c7cc5c1dcd78deafd1e6ce30b543bbe7042c973e8f42781,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_report.md,19125,4572bfbb9c4fd587c1cc1fa95ce4cc9fa78095fd067bcb91f7552c8c11ecb11a,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_scenario_allocation_evaluation.csv,225748,72f363af479e30e396c496752daf0bed8596bf5e1a5c3225049a5c0b7d082ef7,validated,False
frozen_obs086b_output,outputs/rig_registry/obs086_campaign_design/obs086b_robust_campaign_family_selection/obs086b_selected_campaign_families.csv,7061,f9603a1bebe91617329f33868e8e19e4ca89c7acf0e6ee79891bf47e2f773643,validated,False
frozen_obs086b_script,experiments/studies/obs086b_robust_campaign_family_selection.py,109214,0f9b4704f0ad3499f713bc0b0ce05c13ac4d37aea21776f45ad1ac26b85b6147,validated,False
protocol_semantic_anchor_no_outcomes_read,docs/05_project/084_rig_direct_failure_support_witness_protocol.md,31397,f199ab3516368790795b2689b551e3e241c89c4b601a3b358e033781adc7c579,hashed_and_frozen_as_semantic_anchor,False
protocol_semantic_anchor_no_outcomes_read,experiments/studies/obs084b_direct_failure_support_discovery.py,100655,7fcefb62fd43bff1da05ea4faa9e6554c0d487fa132795b120b3ced6224b90c3,hashed_and_frozen_as_semantic_anchor,False
protocol_semantic_anchor_no_outcomes_read,experiments/studies/obs084c_direct_failure_support_confirmation.py,76840,5090aefa7dfde231a95ed65982af45c8f9af40cb323cba84ba199590b8c36c9c,hashed_and_frozen_as_semantic_anchor,False
