freeze_order,freeze_category,frozen_field,frozen_value,scope,mutability_after_obs086c,freeze_status
1,lineage,obs086b_manifest_id,exact frozen manifest identity,global,immutable_without_documented_protocol_deviation,frozen_before_activation
2,profile_set,protocol_profile_ids,"[""PR-0acc5b724625a5033327986b"",""PR-8d5c884228be9454cd794d62"",""PR-ae1bc88174da78efeb9bc1b5"",""PR-b0a098e76aa6219c1eef6e42"",""PR-b7df17242f938b67d3f9da24""]",global,immutable_without_documented_protocol_deviation,frozen_before_activation
3,activation,global_campaign_selection,none in OBS-086c,global,immutable_without_documented_protocol_deviation,frozen_before_activation
4,activation,activation_inputs,"entitlement, budget, carrier, measurement, structural feasibility, predeclared target preference",global,immutable_without_documented_protocol_deviation,frozen_before_activation
5,assignment,assignment_algorithm,sha256_commit_reveal_cluster_blocked_object_assignment_v1,global,immutable_without_documented_protocol_deviation,frozen_before_activation
6,assignment,seed_commitment_timing,before eligible roster identity is known,global,immutable_without_documented_protocol_deviation,frozen_before_activation
7,assignment,seed_reveal_timing,after roster hash; before assignment,global,immutable_without_documented_protocol_deviation,frozen_before_activation
8,assignment,partition_pooling,prohibited,global,immutable_without_documented_protocol_deviation,frozen_before_activation
9,assignment,post_freeze_object_migration,prohibited,global,immutable_without_documented_protocol_deviation,frozen_before_activation
10,admissibility,outcome_dependent_exclusion,prohibited,global,immutable_without_documented_protocol_deviation,frozen_before_activation
11,replacement,same_partition_reserve_only,required,global,immutable_without_documented_protocol_deviation,frozen_before_activation
12,replacement,analysis_quota_expansion,prohibited,global,immutable_without_documented_protocol_deviation,frozen_before_activation
13,support,minimum_effective_clusters_for_exact_gate,4,each_partition,immutable_without_documented_protocol_deviation,frozen_before_activation
14,monitoring,permitted_inputs,structural and blinded only,global,immutable_without_documented_protocol_deviation,frozen_before_activation
15,futility,outcome_based_futility,prohibited,global,immutable_without_documented_protocol_deviation,frozen_before_activation
16,discovery,candidate_search_scope,discovery partition only,global,immutable_without_documented_protocol_deviation,frozen_before_activation
17,confirmation,opening_count,exactly once,global,immutable_without_documented_protocol_deviation,frozen_before_activation
18,confirmation,candidate_search,prohibited,global,immutable_without_documented_protocol_deviation,frozen_before_activation
19,gates,gate_modification,prohibited,global,immutable_without_documented_protocol_deviation,frozen_before_activation
20,entitlement,entitlement_increase,prohibited,global,immutable_without_documented_protocol_deviation,frozen_before_activation
21,scope,new_simulation,none,global,immutable_without_documented_protocol_deviation,frozen_before_activation
22,scope,observed_evidence_inspection,none,global,immutable_without_documented_protocol_deviation,frozen_before_activation
