protocol_profile_id,record_id,carrier,reliability_target,partition,planned_analysis_objects,origin_minimum_support_efficiency,artifact_derived_maximum_screened_or_reserved_objects,artifact_derived_reserve_objects,derivation_rule,derivation_lineage,analysis_allocation_may_expand,reserve_use,interpretation
PR-b0a098e76aa6219c1eef6e42,C_vs_Cp3__path_shares_only,path_shares_only,0.5,confirmation,12,0.7426666666666667,17,5,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-b0a098e76aa6219c1eef6e42,C_vs_Cp3__path_shares_only,path_shares_only,0.5,discovery,12,0.7426666666666667,17,5,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-b7df17242f938b67d3f9da24,C_vs_Cp3__path_shares_only,path_shares_only,0.8,confirmation,10,0.745,14,4,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-b7df17242f938b67d3f9da24,C_vs_Cp3__path_shares_only,path_shares_only,0.8,discovery,10,0.745,14,4,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-0acc5b724625a5033327986b,C_vs_Cp3__path_shares_only,path_shares_only,0.9,confirmation,12,0.7468333333333333,17,5,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-0acc5b724625a5033327986b,C_vs_Cp3__path_shares_only,path_shares_only,0.9,discovery,12,0.7468333333333333,17,5,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-8d5c884228be9454cd794d62,three_way__no_window,no_window,0.5,confirmation,10,0.4852999999999999,21,11,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-8d5c884228be9454cd794d62,three_way__no_window,no_window,0.5,discovery,8,0.4852999999999999,17,9,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-ae1bc88174da78efeb9bc1b5,three_way__no_window,no_window,0.8,confirmation,12,0.4972499999999999,25,13,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
PR-ae1bc88174da78efeb9bc1b5,three_way__no_window,no_window,0.8,discovery,8,0.4972499999999999,17,9,ceil(planned_analysis_objects / frozen OBS-086b origin minimum support efficiency),OBS-086b origin support-efficiency field inherited from OBS-086a/OBS-085d,False,same-partition structural replacement only; no outcome-based replacement,"artifact-derived screening-envelope recommendation, not a guaranteed sufficiency bound and not support-grid extrapolation"
