relation_id,task,carrier,carrier_role,carrier_role_detail,task_geometry_needed_level,task_geometry_needed_label,task_geometry_needed_rationale,level_1_stability_core_ba,level_3_geometry_ba,level_4_paths_ba,level_3_stability_plus_geometry_ba,level_5_no_window_ba,level_5_strict_numeric_ba
three_way__stability_core_3,three_way,stability_core_3,compact_core_carrier,compact carrier with contextual sensitivity,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896
three_way__geometry_scores_only,three_way,geometry_scores_only,geometry_sharpening_carrier,geometry carrier that preserves or sharpens relation,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896
three_way__path_shares_only,three_way,path_shares_only,path_support_carrier,structurally supported path carrier with feature-family lower-tail sensitivity,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896
three_way__stability_plus_geometry,three_way,stability_plus_geometry,enriched_geometry_carrier,enriched stability-geometry carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896
three_way__no_window,three_way,no_window,non_window_redundant_carrier,non-window redundant carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896
three_way__strict_numeric_all,three_way,strict_numeric_all,strict_numeric_reference_carrier,strict numeric reference carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling stability+geometry sharpens relation,0.9161616161616164,0.907716049382716,0.7964646464646465,0.9727891156462584,0.8891975308641976,0.9627368461508896
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,compact_core_carrier,primary compact carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,geometry_sharpening_carrier,geometry carrier that preserves or sharpens relation,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_support_carrier,weak path/cohort carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,enriched_geometry_carrier,enriched stability-geometry carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694
C_vs_Cp2__no_window,C_vs_Cp2,no_window,non_window_redundant_carrier,non-window redundant carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,strict_numeric_reference_carrier,strict numeric reference carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9875541125541124,1.0,0.9041666666666668,1.0,0.9610544217687076,0.979591836734694
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,compact_core_carrier,primary compact carrier,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_sharpening_carrier,geometry carrier that preserves or sharpens relation,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_support_carrier,structurally supported path carrier with feature-family lower-tail sensitivity,Level 1,compact core sufficient,stability_core_3 exceeds threshold and survives structural resampling,0.9897959183673468,0.9625,0.8794534763057765,0.9897959183673468,0.9405050155655484,0.9930555555555556
